relative area,mean(keratin),std(keratin)
0.05,99.16580152000458,23.360935231943788
0.15000000000000002,107.59923788053638,70.81634282962357
0.25,169.34760689497236,23.32093917812904
0.35000000000000003,192.84563633593535,23.729227561694636
0.45,230.7752799852158,12.769654981332447
0.55,251.4240294563979,9.453761966554415
0.65,266.8816546829629,12.075869292051888
0.75,300.24997763217704,9.52129581335535
0.8500000000000001,315.7427288892593,7.771290964948847
0.9500000000000001,330.6240236000954,10.33929664505182
