time (s),keratin (a.u.)
1.0,6.036
2.0,7.455
3.0,8.282
4.0,8.863
5.0,9.202
6.0,9.375
7.0,9.481
8.0,9.743
9.0,9.766
10.0,9.875
11.0,10.008
12.0,10.053
13.0,10.152
14.0,10.223
15.0,10.295
16.0,10.475
17.0,10.473
18.0,10.483
19.0,10.576
20.0,10.772
21.0,10.827
22.0,10.874
23.0,10.867
24.0,10.939
25.0,10.932
26.0,11.046
27.0,11.13
28.0,11.076
29.0,11.252
30.0,11.302
31.0,11.277
32.0,11.395
33.0,11.455
34.0,11.457
35.0,11.633
36.0,11.572
37.0,11.672
38.0,11.76
39.0,11.715
40.0,11.882
41.0,11.785
42.0,12.038
43.0,11.974
44.0,12.008
45.0,12.08
46.0,12.214
47.0,12.291
48.0,12.263
49.0,12.379
50.0,12.313
51.0,12.37
52.0,12.446
53.0,12.466
54.0,12.496
55.0,12.626
56.0,12.755
57.0,12.724
58.0,12.794
59.0,12.791
60.0,12.825
61.0,12.769
62.0,12.944
63.0,12.818
64.0,13.025
65.0,13.028
66.0,13.043
67.0,13.047
68.0,13.097
69.0,13.023
70.0,13.109
71.0,13.231
72.0,13.112
73.0,13.302
74.0,13.228
75.0,13.266
76.0,13.309
77.0,13.356
78.0,13.362
79.0,13.529
80.0,13.463
81.0,13.557
82.0,13.507
83.0,13.541
84.0,13.607
85.0,13.679
86.0,13.59
87.0,13.662
88.0,13.684
89.0,13.638
90.0,13.754
91.0,13.847
92.0,13.764
93.0,13.751
94.0,13.836
95.0,13.971
96.0,13.927
97.0,13.995
98.0,14.032
99.0,13.96
100.0,14.065
101.0,14.113
102.0,14.16
103.0,14.145
104.0,14.337
105.0,14.165
106.0,14.148
107.0,14.372
108.0,14.39
109.0,14.309
110.0,14.298
111.0,14.449
112.0,14.389
113.0,14.417
114.0,14.416
115.0,14.586
116.0,14.505
117.0,14.567
118.0,14.664
119.0,14.7
120.0,14.519
121.0,14.692
122.0,14.765
123.0,14.742
124.0,14.763
125.0,14.771
126.0,14.864
127.0,14.783
128.0,14.947
129.0,14.88
130.0,14.955
131.0,14.962
132.0,14.885
133.0,14.96
134.0,15.098
135.0,15.021
136.0,15.063
137.0,15.006
138.0,14.959
139.0,14.985
140.0,15.076
141.0,15.15
142.0,14.976
143.0,15.093
144.0,15.067
145.0,15.228
146.0,15.333
147.0,15.338
148.0,15.405
149.0,15.392
150.0,15.397
151.0,15.443
152.0,15.486
153.0,15.552
154.0,15.373
155.0,15.556
156.0,15.561
157.0,15.598
158.0,15.628
159.0,15.688
160.0,15.795
161.0,15.761
162.0,15.698
163.0,15.668
164.0,15.856
165.0,15.835
166.0,15.878
167.0,15.868
168.0,15.879
169.0,15.893
170.0,15.981
171.0,15.999
172.0,16.008
173.0,16.301
174.0,16.153
175.0,16.162
176.0,16.053
177.0,16.151
178.0,15.983
179.0,15.728
180.0,15.631
181.0,15.478
182.0,15.421
183.0,15.424
184.0,15.39
185.0,15.247
186.0,15.175
187.0,15.21
188.0,15.101
189.0,15.063
190.0,15.023
191.0,14.989
192.0,14.885
193.0,14.983
194.0,14.917
195.0,14.901
196.0,14.842
197.0,14.895
198.0,14.759
199.0,14.783
200.0,14.683
201.0,14.792
202.0,14.713
203.0,14.576
204.0,14.679
205.0,14.495
206.0,14.583
207.0,14.607
208.0,14.535
209.0,14.363
210.0,14.536
211.0,14.301
212.0,14.388
213.0,14.363
214.0,14.432
215.0,14.283
216.0,14.23
217.0,14.231
218.0,14.326
219.0,14.034
220.0,14.249
221.0,14.041
222.0,14.062
223.0,14.185
224.0,14.134
225.0,14.228
226.0,14.032
227.0,14.032
228.0,14.085
229.0,14.07
230.0,13.895
231.0,14.062
232.0,13.949
233.0,13.888
234.0,13.783
235.0,13.946
236.0,13.822
237.0,13.871
238.0,13.833
239.0,13.772
240.0,13.724
241.0,13.759
242.0,13.699
243.0,13.782
244.0,13.682
245.0,13.68
246.0,13.715
247.0,13.71
248.0,13.665
249.0,13.585
250.0,13.634
251.0,13.563
252.0,13.495
253.0,13.547
254.0,13.588
255.0,13.447
256.0,13.491
257.0,13.44
258.0,13.381
259.0,13.418
260.0,13.356
261.0,13.393
262.0,13.216
263.0,13.251
264.0,13.348
265.0,13.233
266.0,13.338
267.0,13.182
268.0,13.257
269.0,13.202
270.0,13.239
271.0,13.138
272.0,13.129
273.0,13.115
274.0,13.089
275.0,13.209
276.0,13.179
277.0,13.097
278.0,13.127
279.0,13.09
280.0,13.128
281.0,13.113
282.0,13.088
283.0,13.024
284.0,12.943
285.0,13.036
286.0,12.884
287.0,12.904
288.0,12.857
289.0,12.968
290.0,12.868
291.0,12.915
292.0,13.015
293.0,12.865
294.0,12.921
295.0,12.798
296.0,12.854
297.0,12.764
298.0,12.781
299.0,12.703
300.0,12.774
301.0,12.835
302.0,12.734
303.0,12.829
304.0,12.851
305.0,12.796
306.0,12.791
307.0,12.739
308.0,12.843
309.0,12.699
310.0,12.737
311.0,12.818
312.0,12.7
313.0,12.757
314.0,12.705
315.0,12.667
316.0,12.715
317.0,12.716
318.0,12.787
319.0,12.633
320.0,12.615
321.0,12.678
322.0,12.544
323.0,12.625
324.0,12.631
325.0,12.674
326.0,12.679
327.0,12.655
328.0,12.52
329.0,12.618
330.0,12.597
331.0,12.681
332.0,12.586
333.0,12.647
334.0,12.539
335.0,12.608
336.0,12.611
337.0,12.557
338.0,12.532
339.0,12.572
340.0,12.569
341.0,12.466
342.0,12.632
343.0,12.546
344.0,12.514
345.0,12.526
346.0,12.592
347.0,12.43
348.0,12.567
349.0,12.454
350.0,12.445
351.0,12.496
352.0,12.387
353.0,12.436
354.0,12.371
355.0,12.415
356.0,12.435
357.0,12.425
358.0,12.412
359.0,12.391
360.0,12.384
361.0,12.118
362.0,12.099
363.0,12.28
364.0,12.328
365.0,12.273
366.0,12.232
367.0,12.231
368.0,12.329
369.0,12.172
370.0,12.18
371.0,12.306
372.0,12.24
373.0,12.116
374.0,12.207
375.0,12.217
376.0,12.228
377.0,12.217
378.0,12.116
379.0,12.189
380.0,12.184
381.0,12.09
382.0,12.097
383.0,12.108
384.0,12.023
385.0,12.117
386.0,12.066
387.0,11.975
388.0,11.933
389.0,12.078
390.0,11.945
391.0,11.968
392.0,11.958
393.0,12.051
394.0,11.977
395.0,12.064
396.0,12.032
397.0,11.902
398.0,11.97
399.0,11.955
400.0,11.932
401.0,11.902
402.0,11.912
403.0,11.932
404.0,11.916
405.0,11.946
406.0,11.868
407.0,11.817
