time (s),keratin (a.u.)
1.0,5.563
2.0,6.523
3.0,7.266
4.0,7.574
5.0,7.902
6.0,8.104
7.0,8.218
8.0,8.358
9.0,8.386
10.0,8.552
11.0,8.659
12.0,8.685
13.0,8.849
14.0,8.91
15.0,8.938
16.0,9.011
17.0,9.143
18.0,9.184
19.0,9.315
20.0,9.323
21.0,9.417
22.0,9.586
23.0,9.502
24.0,9.565
25.0,9.754
26.0,9.789
27.0,9.794
28.0,9.853
29.0,9.833
30.0,9.953
31.0,9.923
32.0,9.965
33.0,10.044
34.0,10.169
35.0,10.173
36.0,10.294
37.0,10.303
38.0,10.232
39.0,10.35
40.0,10.475
41.0,10.526
42.0,10.426
43.0,10.595
44.0,10.558
45.0,10.575
46.0,10.639
47.0,10.706
48.0,10.708
49.0,10.821
50.0,10.866
51.0,10.89
52.0,10.888
53.0,10.964
54.0,11.127
55.0,11.148
56.0,11.054
57.0,11.279
58.0,11.312
59.0,11.3
60.0,11.547
61.0,11.4
62.0,11.439
63.0,11.521
64.0,11.52
65.0,11.482
66.0,11.583
67.0,11.707
68.0,11.754
69.0,11.834
70.0,11.775
71.0,11.87
72.0,11.867
73.0,11.939
74.0,11.84
75.0,11.985
76.0,12.01
77.0,12.057
78.0,12.144
79.0,12.247
80.0,12.153
81.0,12.134
82.0,12.321
83.0,12.369
84.0,12.379
85.0,12.338
86.0,12.384
87.0,12.502
88.0,12.623
89.0,12.543
90.0,12.596
91.0,12.645
92.0,12.801
93.0,12.754
94.0,12.738
95.0,12.777
96.0,12.901
97.0,12.891
98.0,13.0
99.0,13.014
100.0,13.042
101.0,12.949
102.0,13.007
103.0,13.129
104.0,13.1
105.0,13.103
106.0,13.157
107.0,13.178
108.0,13.169
109.0,13.254
110.0,13.371
111.0,13.273
112.0,13.404
113.0,13.325
114.0,13.428
115.0,13.509
116.0,13.517
117.0,13.59
118.0,13.611
119.0,13.49
120.0,13.609
121.0,13.683
122.0,13.725
123.0,13.72
124.0,13.81
125.0,13.798
126.0,13.814
127.0,13.862
128.0,13.947
129.0,13.9
130.0,13.925
131.0,13.978
132.0,14.125
