relative area,mean(keratin),std(keratin)
0.05,69.21107535875814,12.361423323256167
0.15000000000000002,93.73018704616115,10.298647034637396
0.25,115.03026316747356,13.686505797407653
0.35000000000000003,147.49283707401673,10.285579328839198
0.45,168.12132341545689,9.532374672378776
0.55,184.92834326724542,7.635433553116267
0.65,214.5813412275374,9.361111642733402
0.75,244.91176465777525,8.337169333900802
0.8500000000000001,258.74520008467516,5.34723988433698
0.9500000000000001,274.6153784607516,10.021060948911485
