relative radius,mean(tension),std(tension)
0.05,0.041538749418944414,0.005509748233587825
0.15000000000000002,0.04326425539892551,0.004359960660751777
0.25,0.04329653693787052,0.004211287462699772
0.35000000000000003,0.045614161867303576,0.0034370546550516927
0.45,0.0471066618513039,0.0032765370968868878
0.55,0.05074087115675786,0.002564490076048171
0.65,0.05333352246822692,0.002200530020984246
0.75,0.057013923982442365,0.002942957869209474
0.8500000000000001,0.06028722129744125,0.0022776692978272576
0.9500000000000001,0.06024089378001602,0.0026504826404607908
