time (s),keratin (a.u.)
1.0,4.299
2.0,5.868
3.0,6.362
4.0,6.474
5.0,6.604
6.0,6.781
7.0,6.782
8.0,6.831
9.0,6.849
10.0,6.935
11.0,6.976
12.0,7.062
13.0,6.997
14.0,7.048
15.0,7.043
16.0,7.162
17.0,7.116
18.0,7.141
19.0,7.167
20.0,7.23
21.0,7.218
22.0,7.217
23.0,7.23
24.0,7.294
25.0,7.291
26.0,7.339
27.0,7.294
28.0,7.369
29.0,7.413
30.0,7.437
31.0,7.457
32.0,7.52
33.0,7.532
34.0,7.51
35.0,7.447
36.0,7.523
37.0,7.54
38.0,7.528
39.0,7.626
40.0,7.485
41.0,7.633
42.0,7.66
43.0,7.649
44.0,7.668
45.0,7.651
46.0,7.743
47.0,7.712
48.0,7.834
49.0,7.789
50.0,7.771
51.0,7.76
52.0,7.788
53.0,7.839
54.0,7.798
55.0,7.844
56.0,7.824
57.0,7.917
58.0,7.968
59.0,7.894
60.0,7.961
61.0,7.93
62.0,7.914
63.0,7.938
64.0,8.055
65.0,8.025
66.0,8.084
67.0,8.078
68.0,8.031
69.0,8.011
70.0,8.135
71.0,8.168
72.0,8.13
73.0,8.175
74.0,8.108
75.0,8.133
76.0,8.154
77.0,8.18
78.0,8.231
79.0,8.226
80.0,8.274
81.0,8.248
82.0,8.264
83.0,8.339
84.0,8.3
85.0,8.301
86.0,8.303
87.0,8.393
88.0,8.303
89.0,8.401
90.0,8.372
91.0,8.411
92.0,8.387
93.0,8.488
94.0,8.436
95.0,8.396
96.0,8.449
97.0,8.539
98.0,8.565
99.0,8.536
100.0,8.551
101.0,8.571
102.0,8.559
103.0,8.543
104.0,8.582
105.0,8.602
106.0,8.637
107.0,8.649
108.0,8.684
109.0,8.658
110.0,8.691
111.0,8.713
112.0,8.659
113.0,8.69
114.0,8.722
115.0,8.758
116.0,8.751
117.0,8.798
118.0,8.823
119.0,8.877
120.0,8.905
121.0,8.885
122.0,8.877
123.0,8.907
124.0,8.953
125.0,8.96
126.0,9.041
127.0,9.023
128.0,9.071
129.0,9.082
130.0,9.04
131.0,9.116
132.0,9.139
133.0,9.125
134.0,9.195
135.0,9.124
136.0,9.171
137.0,9.224
138.0,9.293
139.0,9.264
140.0,9.232
141.0,9.252
142.0,9.297
143.0,9.324
