relative radius,mean(pressure),std(pressure)
0.05,-28.87581845315422,2.1663737579945113
0.15000000000000002,-30.29602888206664,2.071976083322307
0.25,-34.86212104678154,1.5317592804065863
0.35000000000000003,-40.1999549424351,1.6275507209098705
0.45,-48.68181665909557,1.7201460317732984
0.55,-57.623412482803104,2.5094845535331407
0.65,-69.75992303302668,2.884358843734179
0.75,-83.58683328434878,3.6417781160337035
0.8500000000000001,-98.29232619413669,3.2045354016322825
0.9500000000000001,-112.61037802435307,4.132231101120232
