relative area,mean(keratin),std(keratin)
0.05,190.94281730711603,56.30252188766908
0.15000000000000002,254.86158937451103,101.56699449693244
0.25,312.7394295700988,62.73007356869194
0.35000000000000003,332.5796560184857,34.74570994291286
0.45,344.1828833815772,25.508389826604517
0.55,376.8957398039136,10.58732319628851
0.65,392.9111410237032,12.632153398729917
0.75,417.35019468743417,12.524435710479137
0.8500000000000001,436.19967388328234,10.446999951998643
0.9500000000000001,447.4756681790854,9.73004022782536
