time (s),keratin (a.u.)
1.0,5.205
2.0,5.631
3.0,6.277
4.0,6.481
5.0,6.616
6.0,6.694
7.0,6.758
8.0,6.828
9.0,6.861
10.0,6.986
11.0,6.969
12.0,7.004
13.0,7.103
14.0,7.117
15.0,7.214
16.0,7.25
17.0,7.257
18.0,7.285
19.0,7.374
20.0,7.435
21.0,7.416
22.0,7.514
23.0,7.53
24.0,7.562
25.0,7.564
26.0,7.607
27.0,7.66
28.0,7.736
29.0,7.728
30.0,7.747
31.0,7.776
32.0,7.831
33.0,7.826
34.0,7.871
35.0,7.919
36.0,7.8
37.0,7.882
38.0,7.935
39.0,7.998
40.0,7.951
41.0,8.051
42.0,8.016
43.0,8.008
44.0,8.055
45.0,8.111
46.0,8.031
47.0,8.093
48.0,8.202
49.0,8.203
50.0,8.172
51.0,8.218
52.0,8.215
53.0,8.253
54.0,8.339
55.0,8.358
56.0,8.329
57.0,8.359
58.0,8.381
59.0,8.409
60.0,8.439
61.0,8.437
62.0,8.499
63.0,8.5
64.0,8.533
65.0,8.563
66.0,8.507
67.0,8.605
68.0,8.608
69.0,8.667
70.0,8.658
71.0,8.669
72.0,8.732
73.0,8.743
74.0,8.746
75.0,8.791
76.0,8.859
77.0,8.891
78.0,8.839
79.0,8.873
80.0,8.946
81.0,8.908
82.0,8.897
83.0,8.942
84.0,8.952
85.0,9.022
86.0,9.0
87.0,9.106
88.0,9.049
89.0,9.114
90.0,9.133
91.0,9.105
92.0,9.186
93.0,9.216
94.0,9.202
95.0,9.188
96.0,9.24
97.0,9.264
98.0,9.274
99.0,9.274
100.0,9.34
101.0,9.356
102.0,9.296
103.0,9.401
104.0,9.358
105.0,9.372
106.0,9.461
107.0,9.462
108.0,9.479
109.0,9.522
110.0,9.467
111.0,9.516
112.0,9.62
113.0,9.43
114.0,9.546
115.0,9.57
116.0,9.548
117.0,9.595
118.0,9.677
119.0,9.684
120.0,9.662
121.0,9.633
122.0,9.736
123.0,9.698
124.0,9.777
125.0,9.767
126.0,9.793
127.0,9.688
128.0,9.868
129.0,9.891
130.0,9.812
131.0,9.817
132.0,9.908
133.0,9.866
134.0,9.811
135.0,9.883
136.0,9.971
137.0,9.969
138.0,9.974
139.0,10.026
140.0,10.066
141.0,9.919
142.0,10.103
143.0,10.081
144.0,10.053
145.0,10.111
146.0,10.145
147.0,10.189
148.0,10.167
149.0,10.215
150.0,10.302
151.0,10.191
152.0,10.183
153.0,10.302
154.0,10.309
155.0,10.311
156.0,10.311
157.0,10.349
158.0,10.404
159.0,10.339
160.0,10.51
161.0,10.402
162.0,10.409
163.0,10.458
164.0,10.437
165.0,10.514
166.0,10.519
167.0,10.497
168.0,10.601
169.0,10.572
170.0,10.582
171.0,10.592
172.0,10.695
173.0,10.671
174.0,10.712
175.0,10.758
176.0,10.698
177.0,10.749
178.0,10.796
179.0,10.768
180.0,10.677
181.0,10.564
182.0,10.423
183.0,10.476
184.0,10.384
185.0,10.355
186.0,10.264
187.0,10.162
188.0,10.167
189.0,10.153
190.0,10.124
191.0,9.962
192.0,9.989
193.0,9.929
194.0,10.02
195.0,10.051
196.0,9.893
197.0,9.898
198.0,9.857
199.0,9.819
200.0,9.849
201.0,9.777
202.0,9.78
203.0,9.749
204.0,9.701
205.0,9.65
206.0,9.661
207.0,9.666
208.0,9.609
209.0,9.625
210.0,9.536
211.0,9.531
212.0,9.505
213.0,9.57
214.0,9.509
215.0,9.529
216.0,9.453
217.0,9.382
218.0,9.447
219.0,9.362
220.0,9.36
221.0,9.32
222.0,9.393
223.0,9.367
224.0,9.326
225.0,9.339
226.0,9.362
227.0,9.31
228.0,9.327
229.0,9.312
230.0,9.322
231.0,9.212
232.0,9.222
233.0,9.177
234.0,9.156
235.0,9.092
236.0,9.198
237.0,9.123
238.0,9.123
239.0,9.133
240.0,9.123
241.0,9.122
242.0,9.069
243.0,9.14
244.0,9.019
245.0,9.152
246.0,9.061
247.0,8.949
248.0,9.052
249.0,8.979
250.0,8.97
251.0,9.019
252.0,8.97
253.0,8.946
254.0,8.958
255.0,8.991
256.0,8.836
257.0,8.899
258.0,8.94
259.0,8.966
260.0,8.889
261.0,8.837
262.0,8.887
