relative radius,mean(pressure),std(pressure)
0.05,-5.677789475027233,0.3899477472175933
0.15000000000000002,-5.858514662703817,0.3298564439536481
0.25,-6.1552920168457055,0.31092030349366934
0.35000000000000003,-6.604092502175373,0.2673143360926047
0.45,-7.1865451434732055,0.2356332304727469
0.55,-8.07497846673128,0.2080111440292751
0.65,-9.102871279708022,0.24750446032726964
0.75,-10.486890138437325,0.24521207193511743
0.8500000000000001,-12.256573253070199,0.29279292808340673
0.9500000000000001,-13.682100940132544,0.25946221201589914
