time (s),keratin (a.u.)
1.0,7.14
2.0,8.309
3.0,8.93
4.0,9.386
5.0,9.611
6.0,9.814
7.0,9.982
8.0,10.189
9.0,10.276
10.0,10.329
11.0,10.445
12.0,10.525
13.0,10.532
14.0,10.707
15.0,10.672
16.0,10.711
17.0,10.863
18.0,10.869
19.0,10.943
20.0,11.018
21.0,11.046
22.0,11.125
23.0,11.179
24.0,11.269
25.0,11.254
26.0,11.397
27.0,11.425
28.0,11.441
29.0,11.491
30.0,11.541
31.0,11.539
32.0,11.638
33.0,11.61
34.0,11.684
35.0,11.785
36.0,11.78
37.0,11.807
38.0,11.855
39.0,11.969
40.0,11.889
41.0,12.009
42.0,12.025
43.0,12.086
44.0,12.074
45.0,12.142
46.0,12.202
47.0,12.18
48.0,12.331
49.0,12.226
50.0,12.323
51.0,12.442
52.0,12.433
53.0,12.482
54.0,12.459
55.0,12.508
56.0,12.561
57.0,12.53
58.0,12.572
59.0,12.635
60.0,12.749
61.0,12.652
62.0,12.778
63.0,12.799
64.0,12.729
65.0,12.799
66.0,12.836
67.0,12.967
68.0,12.94
69.0,13.052
70.0,13.052
71.0,13.148
72.0,13.019
73.0,13.12
74.0,13.147
75.0,13.107
76.0,13.294
77.0,13.253
78.0,13.316
79.0,13.218
80.0,13.328
81.0,13.377
82.0,13.334
83.0,13.457
84.0,13.374
85.0,13.427
86.0,13.457
87.0,13.595
88.0,13.66
89.0,13.502
90.0,13.685
91.0,13.763
92.0,13.749
93.0,13.711
94.0,13.791
95.0,13.817
96.0,13.818
97.0,13.809
98.0,13.766
99.0,13.825
100.0,13.879
101.0,13.944
102.0,13.971
103.0,14.036
104.0,14.087
105.0,14.141
106.0,14.119
107.0,14.121
108.0,14.192
109.0,14.214
110.0,14.181
111.0,14.257
112.0,14.211
113.0,14.24
114.0,14.295
115.0,14.318
116.0,14.331
117.0,14.381
118.0,14.438
119.0,14.387
120.0,14.521
121.0,14.432
122.0,14.624
123.0,14.521
124.0,14.573
125.0,14.598
126.0,14.681
127.0,14.737
128.0,14.609
129.0,14.753
130.0,14.69
131.0,14.624
132.0,14.836
133.0,14.729
134.0,14.752
135.0,14.879
136.0,14.816
137.0,14.881
138.0,14.908
139.0,14.966
140.0,14.997
141.0,14.799
142.0,14.965
143.0,15.008
144.0,15.018
145.0,15.117
146.0,15.068
147.0,15.123
148.0,15.212
149.0,15.16
150.0,15.199
151.0,15.284
152.0,15.225
153.0,15.291
154.0,15.321
155.0,15.324
156.0,15.435
157.0,15.433
158.0,15.446
159.0,15.449
160.0,15.518
161.0,15.575
162.0,15.513
163.0,15.577
164.0,15.665
165.0,15.601
166.0,15.509
167.0,15.645
168.0,15.645
169.0,15.666
170.0,15.75
171.0,15.649
172.0,15.689
173.0,15.78
174.0,15.816
175.0,15.824
176.0,15.865
177.0,15.91
178.0,15.884
179.0,15.944
180.0,15.944
181.0,16.078
182.0,16.086
183.0,16.194
184.0,16.174
185.0,16.174
186.0,16.142
187.0,16.182
188.0,16.292
189.0,16.33
190.0,16.211
191.0,16.311
192.0,16.403
193.0,16.221
194.0,16.387
195.0,16.498
196.0,16.41
197.0,16.65
198.0,16.614
199.0,16.048
200.0,15.945
201.0,15.844
202.0,15.635
203.0,15.556
204.0,15.586
205.0,15.437
206.0,15.426
207.0,15.361
208.0,15.308
209.0,15.305
210.0,15.184
211.0,15.188
212.0,15.156
213.0,15.083
214.0,15.131
215.0,15.197
216.0,15.045
217.0,14.955
218.0,14.967
219.0,14.971
220.0,14.938
221.0,14.886
222.0,14.963
223.0,14.901
224.0,14.825
225.0,14.724
226.0,14.821
227.0,14.779
228.0,14.644
229.0,14.688
230.0,14.76
231.0,14.703
232.0,14.597
233.0,14.659
234.0,14.55
235.0,14.591
236.0,14.506
237.0,14.551
238.0,14.509
239.0,14.525
240.0,14.471
241.0,14.44
242.0,14.239
243.0,14.298
244.0,14.341
245.0,14.156
246.0,14.235
247.0,14.139
248.0,14.153
249.0,14.1
250.0,14.098
251.0,14.052
252.0,13.937
253.0,14.047
254.0,13.947
255.0,13.9
256.0,13.784
257.0,13.839
258.0,13.734
259.0,13.747
260.0,13.743
261.0,13.625
262.0,13.525
263.0,13.679
264.0,13.576
265.0,13.505
266.0,13.526
267.0,13.507
268.0,13.503
269.0,13.392
270.0,13.354
271.0,13.371
272.0,13.409
273.0,13.38
274.0,13.316
275.0,13.228
276.0,13.213
277.0,13.121
278.0,13.116
279.0,13.098
280.0,13.17
281.0,13.07
282.0,13.082
283.0,12.955
284.0,13.035
285.0,12.87
286.0,12.84
287.0,12.981
288.0,12.891
289.0,12.782
290.0,12.861
291.0,12.696
292.0,12.658
293.0,12.659
294.0,12.795
295.0,12.697
296.0,12.643
297.0,12.517
298.0,12.651
299.0,12.541
300.0,12.546
301.0,12.611
302.0,12.611
303.0,12.513
304.0,12.486
305.0,12.409
306.0,12.463
307.0,12.395
308.0,12.411
309.0,12.391
310.0,12.321
311.0,12.349
312.0,12.373
313.0,12.37
314.0,12.233
315.0,12.133
316.0,12.282
317.0,12.189
318.0,12.153
319.0,12.147
320.0,12.221
321.0,12.284
322.0,12.182
323.0,12.09
324.0,12.23
325.0,12.144
326.0,11.996
327.0,12.064
328.0,12.117
329.0,12.002
330.0,12.026
331.0,12.041
332.0,11.923
333.0,12.003
334.0,11.969
335.0,11.961
336.0,11.96
337.0,11.945
338.0,12.001
339.0,11.988
340.0,11.852
341.0,11.865
342.0,11.842
343.0,11.924
344.0,11.842
345.0,11.829
346.0,11.815
347.0,11.81
348.0,11.819
349.0,11.798
350.0,11.861
351.0,11.711
352.0,11.751
353.0,11.681
354.0,11.673
355.0,11.695
356.0,11.62
357.0,11.693
358.0,11.678
359.0,11.593
360.0,11.714
361.0,11.69
362.0,11.568
363.0,11.66
364.0,11.569
365.0,11.56
366.0,11.6
367.0,11.563
368.0,11.544
369.0,11.617
370.0,11.454
371.0,11.571
372.0,11.579
373.0,11.59
374.0,11.471
375.0,11.516
376.0,11.525
377.0,11.362
378.0,11.294
379.0,11.322
380.0,11.337
381.0,11.335
382.0,11.25
383.0,11.257
384.0,11.256
385.0,11.306
386.0,11.211
387.0,11.206
388.0,11.161
389.0,11.106
390.0,11.079
391.0,11.215
392.0,11.208
393.0,11.194
394.0,11.113
395.0,11.158
396.0,11.143
