relative radius,mean(tension),std(tension)
0.05,0.00207474777610968,0.000456411735728248
0.15000000000000002,0.001982928910122849,0.0003019054934967524
0.25,0.0019787078298235962,0.00023071251405074663
0.35000000000000003,0.001954278034299254,0.0002077747882011696
0.45,0.0020127000635221256,0.00010585359832090057
0.55,0.001962197897061116,0.00011151851147144336
0.65,0.0020430221485565965,9.829926672407368e-05
0.75,0.0020787687700308654,0.00011553652162784653
0.8500000000000001,0.002169825886374159,0.00011308852410330848
0.9500000000000001,0.0022542136750325023,0.00014221052055300395
