relative radius,mean(keratin),std(keratin)
0.05,276.086139086844,17.383179203268092
0.15000000000000002,277.9398689042913,16.085825801289413
0.25,289.931388725634,11.641246452677146
0.35000000000000003,298.43600610832186,7.909203048606779
0.45,309.2734380599946,9.040735224992426
0.55,324.0411425249264,10.771314459530798
0.65,335.29293062261985,8.171289526612625
0.75,348.53429528563424,9.549956691101697
0.8500000000000001,363.89874215177645,7.3735394890932
0.9500000000000001,375.6630768387062,9.140644251994733
