relative area,mean(keratin),std(keratin)
0.05,7.00773694008181,0.5445556295097645
0.15000000000000002,7.896959973393959,0.3268940200164635
0.25,8.439379073351756,0.3678643826645307
0.35000000000000003,10.003883578279638,0.6380533222940119
0.45,11.340001313496721,0.46576645118719895
0.55,12.506129440530634,0.508473133387015
0.65,13.394585942924161,0.530978566032844
0.75,14.429329185246116,0.9309216235164819
0.8500000000000001,15.409403888823203,1.192928526249148
0.9500000000000001,16.54952174852885,0.7868689566381212
