time (s),height (micro m)
0.0,15.7013
1.0,15.7013
2.0,15.7013
3.0,15.7013
4.0,16.3052
5.0,23.552
6.0,30.7988
7.0,34.4221
8.0,36.8377
9.0,38.6494
10.0,41.065
11.0,42.2728
12.0,43.4806
13.0,44.6884
14.0,45.2923
15.0,47.104
16.0,48.3118
17.0,48.9157
18.0,50.1235
19.0,50.7274
20.0,51.3313
21.0,52.5391
22.0,53.143
23.0,53.7469
24.0,54.3507
25.0,54.9546
26.0,54.9546
27.0,56.1624
28.0,56.1624
29.0,56.7663
30.0,56.7663
31.0,57.3702
32.0,57.3702
33.0,57.9741
34.0,57.9741
35.0,58.578
36.0,58.578
37.0,58.578
38.0,59.7858
39.0,60.3897
40.0,59.7858
41.0,60.3897
42.0,60.9936
43.0,60.9936
44.0,61.5975
45.0,62.2014
46.0,62.2014
47.0,62.8053
48.0,62.8053
49.0,63.4092
50.0,64.0131
51.0,64.0131
52.0,64.617
53.0,64.617
54.0,64.617
55.0,65.2209
56.0,65.8248
57.0,65.8248
58.0,66.4287
59.0,67.0326
60.0,67.0326
61.0,67.6365
62.0,68.2404
63.0,68.2404
64.0,68.8443
65.0,69.4482
66.0,69.4482
67.0,70.0521
68.0,70.656
69.0,71.2599
70.0,71.2599
71.0,71.8638
72.0,72.4677
73.0,73.0716
74.0,73.0716
75.0,73.6755
76.0,74.2794
77.0,74.2794
78.0,74.8833
79.0,74.8833
80.0,75.4872
81.0,76.091
82.0,76.091
83.0,76.6949
84.0,76.6949
85.0,77.9027
86.0,77.9027
87.0,77.9027
88.0,78.5066
89.0,79.1105
90.0,79.1105
91.0,79.7144
92.0,79.7144
93.0,80.3183
94.0,80.9222
95.0,80.9222
96.0,81.5261
97.0,81.5261
98.0,82.13
99.0,82.7339
100.0,82.7339
101.0,83.3378
102.0,83.3378
103.0,83.9417
104.0,83.9417
105.0,84.5456
106.0,85.1495
107.0,85.1495
108.0,85.1495
109.0,85.7534
110.0,85.7534
111.0,86.3573
112.0,86.9612
113.0,86.9612
114.0,87.5651
115.0,86.9612
116.0,86.9612
117.0,88.169
118.0,88.169
119.0,88.7729
120.0,88.7729
121.0,88.7729
122.0,89.3768
123.0,89.3768
124.0,89.3768
125.0,89.9807
126.0,89.9807
127.0,90.5846
128.0,90.5846
129.0,91.1885
130.0,91.1885
131.0,91.1885
132.0,91.7924
133.0,91.7924
134.0,91.7924
135.0,92.3963
136.0,92.3963
137.0,93.0002
138.0,93.0002
139.0,93.0002
140.0,93.6041
141.0,93.6041
142.0,94.208
143.0,94.208
144.0,94.208
145.0,94.8119
146.0,94.8119
147.0,94.8119
148.0,95.4158
149.0,95.4158
150.0,95.4158
151.0,96.0197
152.0,96.0197
153.0,96.0197
154.0,96.6236
155.0,96.6236
156.0,96.6236
157.0,97.2275
158.0,97.2275
159.0,97.8314
160.0,97.8314
161.0,97.8314
162.0,98.4352
163.0,98.4352
164.0,98.4352
165.0,99.0391
166.0,99.0391
167.0,99.643
168.0,99.643
169.0,99.643
170.0,100.2469
171.0,100.2469
172.0,100.2469
173.0,100.2469
174.0,100.8508
175.0,100.8508
176.0,101.4547
177.0,101.4547
178.0,101.4547
179.0,101.4547
180.0,102.0586
181.0,102.0586
182.0,102.0586
183.0,97.8314
184.0,94.8119
185.0,93.0002
186.0,91.1885
187.0,89.3768
188.0,88.169
189.0,86.3573
190.0,85.1495
191.0,83.3378
192.0,82.13
193.0,80.9222
194.0,79.7144
195.0,78.5066
196.0,77.9027
197.0,76.091
198.0,74.8833
199.0,74.2794
200.0,73.0716
201.0,72.4677
202.0,71.2599
203.0,70.0521
204.0,69.4482
205.0,68.2404
206.0,67.6365
207.0,67.0326
208.0,65.8248
209.0,65.2209
210.0,64.0131
211.0,64.0131
212.0,62.8053
213.0,62.2014
214.0,61.5975
215.0,60.9936
216.0,60.3897
217.0,59.7858
218.0,59.1819
219.0,58.578
220.0,57.9741
221.0,57.3702
222.0,56.7663
223.0,56.1624
224.0,55.5585
225.0,55.5585
226.0,54.3507
227.0,54.3507
228.0,53.7469
229.0,53.143
230.0,52.5391
231.0,51.9352
232.0,51.9352
233.0,51.3313
234.0,50.7274
235.0,50.1235
236.0,49.5196
237.0,49.5196
238.0,49.5196
239.0,48.9157
240.0,48.3118
241.0,47.7079
242.0,47.7079
243.0,47.104
244.0,46.5001
245.0,46.5001
246.0,45.8962
247.0,45.2923
248.0,45.2923
249.0,44.6884
250.0,44.0845
251.0,44.0845
252.0,43.4806
253.0,42.8767
254.0,42.8767
255.0,42.2728
256.0,42.2728
257.0,42.2728
258.0,41.065
259.0,40.4611
260.0,40.4611
261.0,39.8572
262.0,39.2533
263.0,39.2533
264.0,39.2533
265.0,38.6494
266.0,38.6494
267.0,38.6494
268.0,38.0455
269.0,38.0455
270.0,38.0455
271.0,37.4416
272.0,37.4416
273.0,37.4416
274.0,37.4416
275.0,36.8377
276.0,36.8377
277.0,36.8377
278.0,36.2338
279.0,36.2338
280.0,36.2338
281.0,35.6299
282.0,35.6299
283.0,35.6299
284.0,35.026
285.0,35.026
286.0,34.4221
287.0,34.4221
288.0,34.4221
289.0,34.4221
290.0,34.4221
291.0,34.4221
292.0,34.4221
293.0,33.8182
294.0,33.8182
295.0,33.8182
296.0,33.8182
297.0,33.2143
298.0,33.2143
299.0,33.2143
300.0,33.2143
301.0,33.2143
302.0,32.6105
303.0,32.6105
304.0,32.6105
305.0,32.6105
306.0,32.6105
307.0,32.0066
308.0,32.0066
309.0,32.0066
310.0,31.4027
311.0,32.0066
312.0,31.4027
