time (s),keratin (a.u.)
1.0,6.085
2.0,6.588
3.0,7.478
4.0,8.189
5.0,8.377
6.0,8.479
7.0,8.674
8.0,8.671
9.0,8.855
10.0,8.874
11.0,9.005
12.0,9.049
13.0,9.102
14.0,9.141
15.0,9.294
16.0,9.327
17.0,9.389
18.0,9.398
19.0,9.562
20.0,9.603
21.0,9.613
22.0,9.758
23.0,9.701
24.0,9.829
25.0,9.847
26.0,9.962
27.0,10.002
28.0,10.078
29.0,9.979
30.0,10.101
31.0,10.068
32.0,10.169
33.0,10.204
34.0,10.369
35.0,10.283
36.0,10.235
37.0,10.307
38.0,10.33
39.0,10.506
40.0,10.491
41.0,10.525
42.0,10.525
43.0,10.511
44.0,10.615
45.0,10.677
46.0,10.705
47.0,10.724
48.0,10.804
49.0,10.897
50.0,10.924
51.0,10.848
52.0,10.977
53.0,11.137
54.0,11.019
55.0,11.062
56.0,11.123
57.0,11.078
58.0,11.204
59.0,11.361
60.0,11.274
61.0,11.301
62.0,11.38
63.0,11.376
64.0,11.439
65.0,11.534
66.0,11.427
67.0,11.522
68.0,11.612
69.0,11.585
70.0,11.671
71.0,11.666
72.0,11.725
73.0,11.685
74.0,11.697
75.0,11.844
76.0,11.782
77.0,11.796
78.0,11.823
79.0,11.947
80.0,11.968
81.0,11.893
82.0,11.953
83.0,11.983
84.0,11.995
85.0,11.921
86.0,12.052
87.0,12.024
88.0,12.043
89.0,12.061
90.0,12.148
91.0,12.135
92.0,12.173
93.0,12.218
94.0,12.27
95.0,12.154
96.0,12.24
97.0,12.316
98.0,12.215
99.0,12.286
100.0,12.374
101.0,12.275
102.0,12.381
103.0,12.328
104.0,12.386
105.0,12.394
106.0,12.365
107.0,12.439
108.0,12.47
109.0,12.473
110.0,12.532
111.0,12.52
112.0,12.483
113.0,12.521
114.0,12.563
115.0,12.607
116.0,12.691
117.0,12.628
118.0,12.724
119.0,12.624
120.0,12.72
121.0,12.705
122.0,12.676
123.0,12.783
124.0,12.784
125.0,12.881
126.0,12.796
127.0,12.788
128.0,12.856
129.0,12.854
130.0,12.929
131.0,13.002
132.0,12.897
133.0,12.87
134.0,12.922
135.0,12.875
136.0,12.936
137.0,13.039
138.0,12.971
139.0,13.097
140.0,13.093
141.0,13.001
142.0,13.034
143.0,13.081
144.0,13.097
145.0,13.074
146.0,13.193
147.0,13.161
148.0,13.083
149.0,13.082
150.0,13.109
151.0,13.161
152.0,13.247
153.0,13.22
154.0,13.249
155.0,13.149
156.0,13.293
157.0,13.289
158.0,13.307
159.0,13.246
160.0,13.371
161.0,13.391
162.0,13.463
163.0,13.436
164.0,13.537
165.0,13.632
166.0,13.875
167.0,13.739
168.0,13.846
169.0,13.905
170.0,14.01
171.0,14.027
172.0,14.017
173.0,13.892
174.0,13.85
175.0,14.024
176.0,13.815
177.0,13.953
178.0,13.807
179.0,13.756
180.0,13.804
181.0,13.7
182.0,13.812
183.0,13.656
184.0,13.543
185.0,13.603
186.0,13.515
187.0,13.381
188.0,13.266
189.0,13.184
190.0,13.337
191.0,13.319
192.0,13.085
193.0,13.05
194.0,13.012
195.0,12.954
196.0,12.931
197.0,12.992
198.0,12.854
199.0,12.765
200.0,12.712
201.0,12.672
202.0,12.611
203.0,12.54
204.0,12.526
205.0,12.525
206.0,12.485
207.0,12.317
208.0,12.38
209.0,12.414
210.0,12.44
211.0,12.275
212.0,12.221
213.0,12.216
214.0,12.178
215.0,12.185
216.0,12.14
217.0,12.137
218.0,12.125
219.0,12.095
220.0,12.05
221.0,12.085
222.0,12.042
223.0,12.044
224.0,11.99
225.0,11.969
226.0,11.941
227.0,11.998
228.0,11.844
229.0,11.907
230.0,11.852
231.0,11.828
232.0,11.828
233.0,11.915
234.0,11.978
235.0,11.917
236.0,11.896
237.0,11.914
238.0,11.851
239.0,11.874
240.0,11.905
241.0,11.912
242.0,11.814
243.0,11.824
244.0,11.857
245.0,11.827
246.0,11.868
247.0,11.79
248.0,11.926
249.0,11.873
250.0,11.787
251.0,11.808
252.0,11.7
253.0,11.691
254.0,11.664
255.0,11.778
256.0,11.77
257.0,11.758
258.0,11.72
259.0,11.645
260.0,11.661
261.0,11.716
262.0,11.671
263.0,11.615
264.0,11.639
265.0,11.574
266.0,11.657
267.0,11.613
268.0,11.652
269.0,11.659
270.0,11.587
271.0,11.581
272.0,11.536
273.0,11.578
274.0,11.502
275.0,11.584
276.0,11.631
277.0,11.51
278.0,11.522
279.0,11.463
280.0,11.483
281.0,11.516
282.0,11.518
283.0,11.501
284.0,11.557
285.0,11.56
286.0,11.446
287.0,11.39
288.0,11.469
289.0,11.435
290.0,11.382
291.0,11.417
292.0,11.407
293.0,11.44
294.0,11.33
295.0,11.35
296.0,11.459
297.0,11.353
298.0,11.408
299.0,11.325
300.0,11.275
301.0,11.282
302.0,11.386
303.0,11.329
304.0,11.34
305.0,11.321
306.0,11.237
307.0,11.239
308.0,11.273
309.0,11.3
310.0,11.279
311.0,11.242
312.0,11.181
313.0,11.171
314.0,11.181
315.0,11.215
316.0,11.238
317.0,11.22
318.0,11.086
319.0,11.19
320.0,11.159
321.0,11.169
322.0,11.056
323.0,11.075
324.0,11.132
325.0,11.119
326.0,11.004
327.0,11.021
328.0,11.062
329.0,11.044
330.0,11.016
331.0,10.979
332.0,10.951
333.0,11.055
334.0,11.023
335.0,10.951
336.0,10.967
337.0,10.857
338.0,10.958
339.0,10.902
340.0,10.915
341.0,10.951
342.0,10.877
343.0,10.873
344.0,10.89
345.0,10.801
346.0,10.912
347.0,10.838
348.0,10.809
349.0,10.804
350.0,10.867
351.0,10.776
352.0,10.729
353.0,10.782
354.0,10.714
355.0,10.845
356.0,10.818
357.0,10.824
358.0,10.828
359.0,10.732
360.0,10.827
361.0,10.792
362.0,10.729
363.0,10.793
364.0,10.757
365.0,10.714
366.0,10.731
367.0,10.776
368.0,10.713
369.0,10.761
370.0,10.776
371.0,10.729
372.0,10.749
373.0,10.638
374.0,10.707
375.0,10.72
376.0,10.729
377.0,10.676
378.0,10.661
379.0,10.682
380.0,10.712
381.0,10.59
382.0,10.651
383.0,10.582
384.0,10.69
385.0,10.672
386.0,10.679
387.0,10.594
388.0,10.646
389.0,10.567
390.0,10.619
391.0,10.518
392.0,10.514
393.0,10.56
394.0,10.554
395.0,10.512
396.0,10.509
397.0,10.519
398.0,10.492
399.0,10.559
400.0,10.385
401.0,10.539
