relative radius,mean(pressure),std(pressure)
0.05,-0.6357672294243464,0.13728643864005338
0.15000000000000002,-0.6160049494480639,0.0930603469544566
0.25,-0.6157795582022954,0.07963898853853155
0.35000000000000003,-0.606249817170252,0.07290427835646754
0.45,-0.6240824347598015,0.040803772849061754
0.55,-0.6106806807473414,0.04337134740024671
0.65,-0.6342705511406298,0.038633127315208314
0.75,-0.6437799568414133,0.042686752911345785
0.8500000000000001,-0.6727039007555665,0.044694621972669844
0.9500000000000001,-0.678752178528124,0.05092587191292504
