time (s),height (micro m)
0.0,15.7047
1.0,15.7047
2.0,21.141
3.0,27.1813
4.0,30.2014
5.0,32.0135
6.0,33.8256
7.0,36.2417
8.0,38.0538
9.0,39.2619
10.0,40.4699
11.0,41.0739
12.0,41.0739
13.0,42.886
14.0,43.4901
15.0,44.0941
16.0,44.6981
17.0,45.3021
18.0,45.9062
19.0,46.5102
20.0,47.1142
21.0,47.7183
22.0,48.9263
23.0,49.5303
24.0,49.5303
25.0,50.1344
26.0,50.7384
27.0,50.7384
28.0,51.3424
29.0,51.3424
30.0,51.3424
31.0,51.3424
32.0,51.9465
33.0,52.5505
34.0,52.5505
35.0,53.1545
36.0,53.1545
37.0,53.7585
38.0,53.7585
39.0,53.7585
40.0,54.3626
41.0,54.3626
42.0,54.9666
43.0,55.5706
44.0,55.5706
45.0,56.1747
46.0,56.1747
47.0,56.7787
48.0,56.7787
49.0,57.3827
50.0,57.9867
51.0,57.9867
52.0,57.9867
53.0,58.5908
54.0,58.5908
55.0,59.1948
56.0,59.1948
57.0,59.1948
58.0,59.7988
59.0,60.4029
60.0,61.0069
61.0,61.0069
62.0,61.6109
63.0,61.6109
64.0,61.6109
65.0,62.2149
66.0,62.2149
67.0,62.819
68.0,62.819
69.0,62.819
70.0,63.423
71.0,63.423
72.0,64.027
73.0,64.027
74.0,64.6311
75.0,64.6311
76.0,64.6311
77.0,65.2351
78.0,65.2351
79.0,65.8391
80.0,65.8391
81.0,66.4431
82.0,66.4431
83.0,67.0472
84.0,67.0472
85.0,67.0472
86.0,67.6512
87.0,67.6512
88.0,67.6512
89.0,68.2552
90.0,68.2552
91.0,68.8593
92.0,68.8593
93.0,69.4633
94.0,69.4633
95.0,69.4633
96.0,70.0673
97.0,70.0673
98.0,70.6713
99.0,70.6713
100.0,70.6713
101.0,70.6713
102.0,71.2754
103.0,71.2754
104.0,71.8794
105.0,71.8794
106.0,72.4834
107.0,71.8794
108.0,72.4834
109.0,72.4834
110.0,73.0875
111.0,73.0875
112.0,73.0875
113.0,73.6915
114.0,73.6915
115.0,73.6915
116.0,74.2955
117.0,74.2955
118.0,74.2955
119.0,74.8995
120.0,74.8995
121.0,74.8995
122.0,75.5036
123.0,75.5036
124.0,75.5036
125.0,76.1076
126.0,76.1076
127.0,76.1076
128.0,76.7116
129.0,76.7116
130.0,76.7116
131.0,77.3157
132.0,77.3157
133.0,77.3157
134.0,77.9197
135.0,77.9197
136.0,77.9197
137.0,78.5237
138.0,78.5237
139.0,79.1277
140.0,79.1277
141.0,79.1277
142.0,79.7318
143.0,79.7318
144.0,79.7318
145.0,80.3358
146.0,80.3358
147.0,80.3358
148.0,80.3358
149.0,80.9398
150.0,80.9398
151.0,80.9398
152.0,81.5439
153.0,81.5439
154.0,81.5439
155.0,82.1479
156.0,82.1479
157.0,82.7519
158.0,82.7519
159.0,82.7519
160.0,82.7519
161.0,83.3559
162.0,83.3559
163.0,83.3559
164.0,83.3559
165.0,83.96
166.0,83.96
167.0,83.96
168.0,84.564
169.0,84.564
170.0,85.168
171.0,85.168
172.0,85.168
173.0,85.168
174.0,85.168
175.0,85.7721
176.0,85.7721
177.0,86.3761
178.0,86.3761
179.0,86.3761
180.0,82.7519
181.0,80.9398
182.0,79.7318
183.0,78.5237
184.0,77.3157
185.0,76.7116
186.0,75.5036
187.0,74.8995
188.0,74.2955
189.0,73.0875
190.0,73.0875
191.0,73.0875
192.0,72.4834
193.0,71.2754
194.0,70.6713
195.0,70.6713
196.0,69.4633
197.0,68.8593
198.0,68.2552
199.0,67.6512
200.0,67.0472
201.0,66.4431
202.0,65.8391
203.0,65.8391
204.0,65.2351
205.0,65.2351
206.0,64.027
207.0,64.027
208.0,63.423
209.0,63.423
210.0,62.819
211.0,62.819
212.0,62.2149
213.0,62.2149
214.0,61.6109
215.0,61.6109
216.0,61.0069
217.0,61.0069
218.0,59.7988
219.0,59.1948
220.0,58.5908
221.0,59.1948
222.0,58.5908
223.0,58.5908
224.0,57.9867
225.0,57.9867
226.0,57.9867
227.0,57.3827
228.0,57.3827
229.0,57.3827
230.0,56.7787
231.0,56.1747
232.0,56.7787
233.0,56.1747
234.0,55.5706
235.0,56.1747
236.0,55.5706
237.0,54.9666
238.0,55.5706
239.0,54.9666
240.0,54.9666
241.0,54.3626
242.0,54.3626
243.0,54.3626
244.0,53.7585
245.0,53.7585
246.0,53.7585
247.0,53.1545
248.0,53.1545
249.0,53.1545
250.0,53.1545
251.0,53.1545
252.0,53.1545
253.0,53.1545
254.0,53.1545
255.0,52.5505
256.0,52.5505
257.0,52.5505
258.0,52.5505
259.0,51.9465
260.0,51.9465
261.0,51.9465
262.0,51.9465
263.0,51.9465
264.0,51.9465
265.0,51.3424
266.0,51.3424
267.0,51.3424
268.0,50.7384
269.0,51.3424
270.0,50.7384
271.0,50.1344
272.0,50.1344
273.0,50.1344
274.0,50.7384
275.0,50.1344
276.0,50.1344
277.0,50.7384
278.0,49.5303
279.0,49.5303
280.0,49.5303
281.0,49.5303
282.0,49.5303
283.0,49.5303
284.0,49.5303
285.0,48.9263
286.0,48.9263
287.0,48.9263
288.0,48.9263
289.0,48.9263
290.0,48.3223
291.0,48.3223
292.0,48.3223
293.0,48.3223
294.0,48.3223
295.0,48.3223
296.0,48.3223
297.0,47.7183
298.0,47.7183
299.0,47.7183
300.0,47.7183
301.0,47.7183
302.0,47.7183
303.0,47.7183
304.0,47.7183
305.0,47.7183
306.0,47.1142
307.0,47.1142
308.0,47.1142
309.0,47.1142
310.0,47.1142
311.0,47.1142
312.0,47.1142
313.0,46.5102
314.0,46.5102
315.0,47.1142
316.0,46.5102
317.0,46.5102
318.0,47.1142
319.0,46.5102
320.0,46.5102
321.0,45.9062
322.0,46.5102
323.0,46.5102
324.0,45.9062
325.0,45.9062
326.0,45.9062
327.0,45.9062
328.0,45.9062
329.0,45.9062
330.0,45.3021
331.0,45.9062
332.0,45.9062
333.0,45.9062
334.0,45.3021
335.0,45.9062
336.0,45.9062
337.0,45.3021
338.0,45.3021
339.0,45.3021
340.0,45.3021
341.0,44.6981
342.0,45.3021
343.0,45.3021
344.0,45.3021
345.0,45.3021
346.0,45.3021
347.0,45.3021
348.0,44.6981
349.0,45.3021
350.0,45.3021
351.0,45.3021
352.0,44.6981
353.0,44.6981
354.0,44.6981
355.0,44.6981
356.0,44.6981
357.0,44.6981
358.0,44.6981
359.0,44.6981
360.0,44.0941
361.0,44.0941
362.0,44.0941
363.0,44.6981
364.0,44.0941
365.0,44.0941
366.0,44.0941
367.0,44.0941
368.0,44.0941
369.0,43.4901
370.0,44.0941
371.0,43.4901
372.0,43.4901
373.0,43.4901
374.0,43.4901
375.0,43.4901
376.0,43.4901
377.0,42.886
378.0,42.886
379.0,42.886
380.0,42.886
381.0,42.282
382.0,42.886
383.0,42.886
384.0,42.282
385.0,42.886
386.0,42.282
387.0,42.886
388.0,42.282
389.0,41.678
390.0,42.282
391.0,41.678
392.0,42.282
393.0,41.678
394.0,41.678
395.0,41.678
396.0,41.678
397.0,41.678
398.0,41.678
399.0,41.678
400.0,41.678
401.0,41.678
402.0,41.678
403.0,41.678
404.0,41.678
405.0,41.678
406.0,41.0739
407.0,41.0739
408.0,41.0739
409.0,41.0739
410.0,41.0739
411.0,40.4699
412.0,40.4699
413.0,41.0739
414.0,40.4699
415.0,41.0739
416.0,40.4699
417.0,41.0739
418.0,40.4699
419.0,40.4699
420.0,40.4699
421.0,40.4699
422.0,40.4699
423.0,40.4699
424.0,40.4699
425.0,40.4699
426.0,40.4699
427.0,40.4699
428.0,40.4699
429.0,40.4699
430.0,39.8659
431.0,39.8659
432.0,40.4699
433.0,40.4699
434.0,39.8659
435.0,39.8659
436.0,39.8659
437.0,39.8659
438.0,39.8659
439.0,39.8659
440.0,39.8659
441.0,39.2619
442.0,39.8659
443.0,39.8659
444.0,39.8659
445.0,39.8659
446.0,39.2619
447.0,39.8659
448.0,39.2619
449.0,39.8659
450.0,39.2619
451.0,39.2619
452.0,39.8659
453.0,39.2619
454.0,39.2619
455.0,39.2619
456.0,39.2619
457.0,39.2619
458.0,39.2619
459.0,39.2619
460.0,39.2619
461.0,39.2619
462.0,39.8659
463.0,39.2619
464.0,39.2619
465.0,39.2619
466.0,39.2619
467.0,38.6578
468.0,39.2619
469.0,39.2619
470.0,39.2619
471.0,38.6578
472.0,38.6578
473.0,38.6578
474.0,38.6578
475.0,38.6578
476.0,39.2619
477.0,39.2619
478.0,38.6578
479.0,38.6578
