relative radius,mean(tension),std(tension)
0.05,0.06509370649120504,0.013396292934461033
0.15000000000000002,0.0661322910303971,0.010801816524978199
0.25,0.06688725828306923,0.011010099358044286
0.35000000000000003,0.06798666433445824,0.009694169042882811
0.45,0.06837858087719986,0.0061681639685286765
0.55,0.06908767029451154,0.005905653044721012
0.65,0.07120034087372153,0.004787998608444565
0.75,0.0724271826607887,0.004308342492004574
0.8500000000000001,0.07352363563392944,0.004258942812484108
0.9500000000000001,0.07461173523302518,0.0046021112095485425
