time (s),keratin (a.u.)
399.0,10.629
400.0,10.578
401.0,10.522
402.0,10.528
403.0,10.536
404.0,10.527
405.0,10.466
406.0,10.513
407.0,10.53
408.0,10.55
409.0,10.454
410.0,10.5
411.0,10.46
412.0,10.48
413.0,10.496
414.0,10.46
415.0,10.473
416.0,10.457
417.0,10.398
418.0,10.464
419.0,10.433
420.0,10.434
421.0,10.401
422.0,10.428
423.0,10.507
424.0,10.404
425.0,10.378
426.0,10.396
427.0,10.412
428.0,10.434
429.0,10.435
430.0,10.469
431.0,10.395
432.0,10.396
433.0,10.348
434.0,10.435
435.0,10.302
436.0,10.378
437.0,10.424
438.0,10.265
439.0,10.419
440.0,10.324
441.0,10.315
442.0,10.311
443.0,10.363
444.0,10.332
445.0,10.399
446.0,10.327
447.0,10.288
448.0,10.36
449.0,10.304
450.0,10.342
451.0,10.341
452.0,10.306
453.0,10.334
454.0,10.263
455.0,10.278
456.0,10.266
457.0,10.317
458.0,10.274
459.0,10.275
460.0,10.251
461.0,10.297
462.0,10.296
463.0,10.248
464.0,10.246
465.0,10.236
466.0,10.243
467.0,10.216
468.0,10.203
469.0,10.175
470.0,10.208
471.0,10.17
472.0,10.224
473.0,10.197
474.0,10.214
475.0,10.222
476.0,10.223
477.0,10.17
478.0,10.211
479.0,10.206
