relative area,mean(keratin),std(keratin)
0.05,17.73726130781358,0.6772336253703714
0.15000000000000002,25.30437356389274,1.2489922349542515
0.25,28.547278834617504,1.4771604825264484
0.35000000000000003,36.14482442804794,2.3670629490718866
0.45,46.20069330405829,3.453394654369363
0.55,56.79139417848703,3.449980191850232
0.65,65.27333420130114,2.3663260378168047
0.75,70.31696019898071,5.998692772111482
0.8500000000000001,80.01069386939466,5.064960563197747
0.9500000000000001,74.00028556775372,29.156474144092968
