keratin/<keratin>,p(keratin)*<keratin>
0.3723352283579638,0.354377830424648
0.4636571361312178,0.3898156134671128
0.5549790439044717,0.88594457606162
0.6463009516777258,0.531566745636972
0.7376228594509799,0.8505067930191552
0.8289447672242339,1.3466357556136626
0.9202666749974879,1.3111979725711977
1.011588582770742,0.9568201421465495
1.1029104905439961,1.1694468404013383
1.19423239831725,0.7796312269342256
1.2855543060905041,0.46069117955204236
1.3768762138637582,0.6024423117219017
1.468198121637012,0.354377830424648
1.5595200294102658,0.354377830424648
1.65084193718352,0.0354377830424648
1.742163844956774,0.0708755660849296
1.833485752730028,0.1417511321698592
1.924807660503282,0.0708755660849296
2.016129568276536,0.2126266982547888
2.10745147604979,0.0354377830424648
