relative radius,mean(tension),std(tension)
0.05,0.05281200943549068,0.008803904031188685
0.15000000000000002,0.054586103634936274,0.007166360061384483
0.25,0.054421132152189036,0.0069551179816391825
0.35000000000000003,0.05560995911248794,0.005697587581306778
0.45,0.05738380328910293,0.0046018729931654335
0.55,0.05922665954215946,0.004078554412585569
0.65,0.06197784781889304,0.003560029219422166
0.75,0.06419377018516051,0.003920616283383679
0.8500000000000001,0.06596103950765167,0.0032060284543910635
0.9500000000000001,0.06612237815890887,0.0035680864871984377
