relative radius,mean(pressure),std(pressure)
0.05,-201.23744261718718,16.27394824245802
0.15000000000000002,-204.7196883390312,16.599262172654417
0.25,-216.39821707529978,10.45956344577094
0.35000000000000003,-228.46995774731877,7.775081869843593
0.45,-241.64402824485398,8.503665933763314
0.55,-260.196777216553,10.211886737535465
0.65,-273.22013870784355,8.116012315750613
0.75,-289.87451260402696,8.900089443315647
0.8500000000000001,-307.44869579045854,6.534483357182408
0.9500000000000001,-319.9353545856107,7.755524530175739
