 ,X,Y
1,133.768,127.240
2,133.348,126.523
3,133.647,126.778
4,132.504,126.586
5,132.874,127.553
6,132.006,126.993
7,132.463,127.095
8,133.074,126.886
9,133.490,127.064
10,133.656,127.203
11,133.802,127.623
12,134.998,127.918
13,134.991,127.468
14,135.605,127.661
15,135.265,127.542
