 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,450.468,11.856,333.580,27.295,83.561,26.738,21.451,107.931,27.508,267,14,138.576,21.415
2,426.914,16.600,290.332,28.391,84.149,26.470,20.535,51.434,28.840,234,35,67.751,22.136
3,712.504,13.878,363.168,29.894,108.832,37.589,24.135,176.333,38.079,284,18,157.521,24.266
4,507.880,13.771,248.561,39.302,89.713,26.603,24.308,62.779,28.942,199,43,56.976,25.479
5,674.229,13.151,422.239,39.668,110.009,30.495,28.151,123.397,36.901,334,26,152.592,27.668
6,507.880,14.445,395.262,42.235,93.145,29.939,21.599,171.197,31.917,312,38,171.254,22.365
7,543.211,16.728,315.393,47.626,94.567,30.564,22.629,66.417,32.032,250,49,52.696,22.934
8,446.051,21.920,227.539,49.788,82.728,26.452,21.470,85.535,29.170,185,52,73.072,22.365
9,431.330,20.321,271.005,46.207,80.718,24.853,22.098,174.942,25.966,216,30,142.595,22.247
10,325.338,18.602,295.457,46.295,76.991,22.744,18.213,47.216,25.966,234,43,37.405,20.464
11,465.189,14.694,356.632,52.522,87.409,26.220,22.590,46.495,28.942,285,51,33.024,24.266
12,369.501,20.747,335.223,53.813,74.565,23.115,20.353,92.825,24.417,272,35,116.565,20.626
13,597.679,20.246,377.551,64.389,96.993,33.676,22.598,87.865,34.510,311,38,100.125,23.053
14,491.687,18.384,438.905,63.917,95.572,31.486,19.883,122.555,35.270,349,46,139.185,20.912
15,499.047,19.923,247.327,63.949,89.297,27.615,23.010,22.028,31.194,190,53,13.496,24.082
16,674.229,17.307,401.065,68.030,106.822,33.845,25.364,81.022,35.270,319,64,40.815,24.732
17,415.137,19.023,208.934,64.774,79.591,25.922,20.391,13.044,28.325,162,57,9.866,21.776
18,428.386,18.720,420.995,70.657,85.276,30.047,18.153,96.281,32.375,343,45,102.995,18.200
19,322.393,20.002,285.141,66.114,69.712,22.342,18.372,36.823,23.558,229,63,55.491,18.449
20,340.059,21.437,266.941,70.611,74.270,24.053,18.001,88.373,25.508,216,49,115.346,18.200
21,310.617,20.332,312.088,70.041,69.001,21.348,18.526,151.637,22.666,248,53,164.476,18.962
22,421.025,21.441,223.440,78.899,80.890,23.949,22.384,57.250,26.803,184,54,95.194,22.306
23,379.806,20.124,336.726,80.257,83.144,30.836,15.682,115.408,31.005,271,56,120.579,17.835
24,419.553,19.635,353.743,78.727,81.428,26.683,20.020,100.637,28.011,285,55,107.650,20.793
25,456.356,24.999,293.640,82.932,88.292,26.528,21.904,28.887,28.635,231,75,53.616,23.359
26,360.669,21.270,193.840,84.751,73.021,22.965,19.996,151.999,25.738,148,69,171.870,19.733
27,317.977,20.080,438.667,86.297,73.143,20.591,19.662,155.087,24.175,352,72,17.526,19.609
28,373.918,24.520,241.850,89.345,77.286,23.109,20.602,94.974,25.335,195,64,106.699,21.704
29,395.999,26.476,322.255,90.522,79.591,24.410,20.655,162.004,27.668,255,72,164.745,21.016
30,658.036,16.996,459.769,96.909,102.557,33.376,25.103,112.079,36.399,372,66,126.870,25.532
31,575.598,24.822,265.977,96.340,95.572,28.196,25.992,72.046,32.032,212,69,114.624,25.460
32,516.713,17.412,371.623,96.503,87.997,27.315,24.085,59.274,28.942,301,90,56.976,25.386
33,627.122,19.448,399.956,96.754,97.704,31.363,25.459,166.002,32.032,318,85,24.624,24.873
34,363.613,21.070,180.417,97.897,73.021,23.269,19.896,119.102,24.387,147,70,95.711,19.733
35,438.691,22.094,210.932,100.041,84.738,25.328,22.053,106.618,29.170,171,71,106.928,22.347
36,772.861,20.270,430.127,105.360,116.873,36.679,26.829,143.141,39.744,343,75,148.736,27.745
37,896.519,24.398,295.588,108.205,127.585,43.263,26.385,5.098,45.040,224,92,175.365,27.364
38,460.772,17.324,162.678,111.743,86.160,27.473,21.354,75.540,31.499,132,105,74.358,22.605
39,554.988,22.745,351.468,116.045,97.582,34.644,20.397,92.176,35.931,284,81,101.689,22.748
40,554.988,23.838,232.394,113.444,93.734,29.238,24.168,40.595,31.848,178,95,17.745,23.978
41,391.583,25.143,330.116,111.127,84.982,25.242,19.752,151.151,29.220,261,86,138.366,21.821
42,485.798,20.285,196.269,117.419,85.571,26.214,23.595,12.787,27.694,153,106,61.189,24.079
43,298.840,24.598,256.376,117.287,69.295,23.272,16.350,20.207,25.013,202,99,14.036,17.363
44,499.047,30.417,387.065,121.282,90.008,27.142,23.410,16.143,30.430,307,98,4.574,24.266
45,552.044,20.777,472.577,123.529,95.988,29.642,23.712,135.231,35.186,377,94,136.397,24.565
46,594.735,19.204,146.435,129.611,96.161,31.512,24.030,117.554,32.375,120,93,102.995,24.452
47,503.464,21.615,448.484,126.752,90.008,25.511,25.127,46.397,28.403,358,103,160.017,24.960
48,655.092,21.834,414.666,130.831,97.876,29.418,28.353,68.699,31.194,337,96,103.496,27.434
49,469.605,23.716,172.364,131.652,89.003,29.126,20.528,50.835,32.055,135,120,60.524,22.426
50,538.795,17.523,496.173,135.324,94.567,31.326,21.899,123.621,36.013,401,99,122.619,23.164
51,225.234,29.328,296.622,127.758,60.422,17.532,16.357,64.887,20.193,241,113,57.265,16.882
52,543.211,25.127,320.953,132.874,93.440,29.811,23.201,3.270,31.499,252,113,15.642,23.882
53,406.304,22.665,215.195,136.761,81.012,29.966,17.264,85.914,31.569,176,100,92.203,17.950
54,275.286,20.714,276.612,131.164,63.853,20.894,16.776,88.337,21.704,224,117,63.435,16.986
55,398.944,27.042,365.817,134.514,81.012,26.171,19.409,41.404,27.721,295,121,66.801,20.076
56,263.509,14.671,125.394,135.670,74.443,19.578,17.137,97.585,23.180,102,122,83.991,18.017
57,649.203,16.323,521.484,143.994,105.156,34.574,23.908,94.664,39.128,430,103,97.125,24.266
58,485.798,27.628,236.106,141.075,86.282,29.040,21.300,71.769,29.371,186,125,51.710,21.840
59,428.386,24.711,257.799,141.196,82.850,27.316,19.968,72.049,28.942,205,126,56.976,20.599
60,373.918,30.093,196.374,142.029,85.155,26.094,18.245,128.795,31.312,157,108,125.538,19.733
61,812.608,24.134,435.059,153.613,120.721,41.440,24.967,98.607,44.282,356,109,99.462,27.906
62,362.141,20.470,337.867,146.199,73.732,25.703,17.939,59.429,26.135,275,131,68.199,18.001
63,290.007,24.876,458.356,146.573,71.428,20.883,17.681,104.657,24.083,370,116,130.914,18.200
64,488.743,24.244,397.296,152.482,91.429,31.445,19.790,99.220,33.139,320,114,113.749,21.219
65,549.099,32.625,286.420,152.888,95.572,32.871,21.269,41.001,35.684,226,138,54.689,22.790
66,453.412,25.069,475.688,151.537,87.409,29.967,19.265,81.791,30.016,391,138,75.964,19.882
67,432.802,23.922,375.717,153.397,82.434,25.077,21.975,91.172,26.940,311,115,97.765,21.840
68,621.233,21.302,183.040,154.671,113.563,40.387,19.585,165.041,45.023,135,121,165.964,23.053
69,343.003,22.775,311.802,151.255,73.143,23.156,18.860,168.248,23.899,248,120,156.038,19.376
70,479.910,17.373,133.337,154.771,91.013,29.282,20.867,31.781,32.669,97,130,21.801,22.082
71,379.806,26.560,153.963,158.120,82.139,25.388,19.048,88.897,27.130,126,141,79.695,21.690
72,400.416,29.190,350.807,159.639,79.296,28.174,18.096,67.322,28.840,287,143,75.379,18.926
73,468.133,21.102,495.442,159.638,90.424,24.817,24.017,97.184,29.346,402,121,119.745,23.359
74,279.702,19.761,454.652,163.573,70.717,21.348,16.682,125.726,24.568,369,125,110.225,17.527
75,395.999,23.156,418.472,167.795,78.291,25.342,19.896,128.125,26.638,342,127,120.069,20.972
76,606.512,23.384,231.995,172.711,105.400,36.734,21.022,100.814,37.632,182,128,110.772,22.367
77,566.765,32.132,256.700,168.944,100.131,33.426,21.589,46.203,36.196,201,151,50.440,23.219
78,443.107,18.229,515.956,170.184,90.008,26.566,21.237,112.685,33.139,420,129,113.749,22.057
79,434.274,27.825,319.398,169.701,83.022,25.789,21.441,33.208,26.803,252,138,174.806,21.976
80,481.382,27.686,214.104,174.644,92.851,31.896,19.216,102.246,32.556,172,132,116.565,19.413
81,509.352,18.096,117.365,175.930,90.597,27.656,23.450,61.549,30.016,92,157,75.964,24.022
82,602.096,28.667,292.382,177.438,94.150,29.772,25.750,7.882,31.499,228,144,164.358,25.910
83,382.750,26.658,140.076,176.588,75.570,24.121,20.203,50.928,25.595,107,152,31.430,20.619
84,831.746,26.410,187.501,180.795,120.132,36.295,29.178,173.983,40.786,141,142,157.249,31.546
85,410.720,29.671,368.413,177.906,80.718,26.134,20.010,151.983,27.130,292,144,153.435,20.076
86,547.627,23.812,468.402,180.917,92.556,27.099,25.730,81.228,30.405,374,147,151.390,26.149
87,354.780,22.535,161.262,180.030,74.565,25.260,17.883,67.727,26.248,127,157,56.310,19.149
88,481.382,17.881,533.316,184.499,89.419,32.759,18.710,90.050,33.558,435,138,102.529,19.413
89,398.944,27.229,489.310,181.954,80.840,25.733,19.739,89.720,27.668,398,139,105.255,19.413
90,497.575,31.153,330.867,186.171,88.881,32.630,19.416,57.475,33.799,266,166,68.962,19.733
91,534.378,25.947,393.434,184.816,90.130,27.634,24.621,89.440,28.635,318,142,126.384,24.266
92,550.572,26.127,442.004,191.398,98.415,29.972,23.389,77.243,34.253,355,171,67.068,24.266
93,453.412,37.967,266.593,191.041,91.307,27.409,21.063,129.288,31.848,205,153,162.255,21.517
94,459.300,22.421,511.860,191.236,90.718,31.922,18.320,143.208,33.471,413,148,136.469,18.282
95,398.944,13.664,99.211,192.645,77.580,25.008,20.312,70.988,26.499,79,169,74.055,21.112
96,468.133,27.893,420.984,191.890,87.703,29.089,20.491,116.501,32.669,340,148,121.329,21.840
97,348.892,31.677,350.853,192.591,71.428,21.928,20.258,94.017,23.433,285,150,111.251,20.619
98,585.902,27.396,249.341,202.488,94.739,31.500,23.682,139.591,31.639,194,161,147.529,24.022
99,428.386,16.253,122.163,199.735,81.723,24.561,22.208,111.722,25.738,100,176,81.870,23.737
100,628.594,21.178,145.976,203.456,97.410,29.752,26.901,28.965,33.117,108,175,28.443,26.693
101,460.772,25.740,198.899,202.667,88.414,28.096,20.881,51.122,31.076,154,173,38.660,23.332
102,535.850,23.974,306.874,202.936,95.450,31.387,21.737,124.974,33.006,239,162,143.973,22.370
103,366.557,25.391,171.990,203.560,73.854,23.043,20.254,71.006,24.568,136,176,57.095,20.626
104,223.762,25.363,218.595,202.966,58.706,18.783,15.168,70.533,20.339,177,175,72.646,14.560
105,316.505,30.262,367.889,203.229,71.011,22.427,17.969,59.645,23.338,304,178,81.027,18.172
106,363.613,21.653,502.327,206.103,84.027,26.893,17.215,121.893,31.100,408,159,110.556,18.424
107,831.746,26.085,468.720,209.906,118.416,37.682,28.104,74.000,39.372,378,187,56.310,30.610
108,312.089,35.821,387.108,204.603,86.404,23.837,16.670,176.820,29.346,308,175,29.745,19.413
109,465.189,33.796,412.129,210.889,84.566,27.040,21.905,149.092,29.220,331,165,138.366,23.053
110,605.040,38.836,285.324,214.521,98.293,33.666,22.883,151.044,35.436,226,167,141.953,24.022
111,207.568,30.120,107.094,210.328,55.152,16.920,15.620,71.664,18.037,85,180,70.346,16.278
112,398.944,25.075,444.794,213.715,81.845,24.482,20.748,178.612,26.638,356,171,149.931,21.642
113,381.278,27.453,335.274,213.573,76.159,26.406,18.384,39.021,27.266,266,180,20.854,18.875
114,565.293,25.214,490.720,221.688,95.866,29.813,24.142,123.441,33.117,401,168,118.443,25.012
