 ,Mean,Mode,Min,Max,Ch,Frame,MinThr,MaxThr
1,22.351,15,1,186,1,1,0,255
2,3.872,2,1,100,2,1,0,255
3,23.584,14,1,192,1,2,0,255
4,5.125,2,1,91,2,2,0,255
5,24.948,15,1,222,1,3,0,255
6,5.909,2,1,156,2,3,0,255
7,25.564,14,1,214,1,4,0,255
8,6.214,2,1,180,2,4,0,255
9,25.707,16,1,220,1,5,0,255
10,6.373,2,1,182,2,5,0,255
11,25.881,15,1,255,1,6,0,255
12,6.483,2,1,180,2,6,0,255
13,26.108,17,2,243,1,7,0,255
14,6.545,2,1,179,2,7,0,255
15,26.383,14,2,255,1,8,0,255
16,6.577,2,1,175,2,8,0,255
17,26.600,15,1,255,1,9,0,255
18,6.590,2,1,184,2,9,0,255
19,26.729,17,1,255,1,10,0,255
20,6.712,2,1,180,2,10,0,255
21,26.814,14,1,255,1,11,0,255
22,6.677,2,1,177,2,11,0,255
23,26.925,14,1,255,1,12,0,255
24,6.654,2,1,177,2,12,0,255
25,26.993,16,1,255,1,13,0,255
26,6.725,2,1,178,2,13,0,255
27,27.444,15,1,255,1,14,0,255
28,6.805,2,1,182,2,14,0,255
29,27.457,14,1,255,1,15,0,255
30,6.802,2,1,184,2,15,0,255
31,27.218,14,1,255,1,16,0,255
32,6.882,2,1,177,2,16,0,255
33,27.521,14,1,255,1,17,0,255
34,6.902,2,1,183,2,17,0,255
35,27.338,16,1,255,1,18,0,255
36,6.923,2,1,176,2,18,0,255
37,27.829,16,1,255,1,19,0,255
38,6.973,2,1,191,2,19,0,255
39,27.578,15,1,255,1,20,0,255
40,7.017,2,1,188,2,20,0,255
41,27.990,16,2,255,1,21,0,255
42,7.025,2,1,191,2,21,0,255
43,28.237,15,1,255,1,22,0,255
44,7.105,2,1,189,2,22,0,255
45,28.395,17,1,255,1,23,0,255
46,7.145,2,1,172,2,23,0,255
47,28.367,14,1,255,1,24,0,255
48,7.231,2,1,183,2,24,0,255
49,28.259,16,1,255,1,25,0,255
50,7.198,2,1,192,2,25,0,255
51,28.316,14,1,255,1,26,0,255
52,7.225,2,1,194,2,26,0,255
53,28.323,15,1,255,1,27,0,255
54,7.246,2,1,199,2,27,0,255
55,28.691,17,1,255,1,28,0,255
56,7.266,2,1,183,2,28,0,255
57,28.614,13,1,255,1,29,0,255
58,7.319,2,1,186,2,29,0,255
59,28.716,14,2,255,1,30,0,255
60,7.345,2,1,207,2,30,0,255
61,28.982,16,1,255,1,31,0,255
62,7.389,2,1,193,2,31,0,255
63,28.891,16,1,255,1,32,0,255
64,7.421,2,1,203,2,32,0,255
65,29.172,14,1,255,1,33,0,255
66,7.440,2,1,197,2,33,0,255
67,29.121,15,2,255,1,34,0,255
68,7.503,2,1,220,2,34,0,255
69,29.236,16,1,255,1,35,0,255
70,7.521,2,1,191,2,35,0,255
71,29.284,17,1,255,1,36,0,255
72,7.526,2,1,188,2,36,0,255
73,29.505,14,2,255,1,37,0,255
74,7.558,2,1,194,2,37,0,255
75,29.346,18,1,255,1,38,0,255
76,7.607,2,1,213,2,38,0,255
77,29.604,14,1,255,1,39,0,255
78,7.595,2,1,219,2,39,0,255
79,29.499,15,1,255,1,40,0,255
80,7.660,2,1,225,2,40,0,255
81,29.430,16,1,255,1,41,0,255
82,7.636,2,1,209,2,41,0,255
83,29.600,13,1,255,1,42,0,255
84,7.686,2,1,209,2,42,0,255
85,29.587,14,1,255,1,43,0,255
86,7.669,2,1,195,2,43,0,255
87,29.829,16,1,255,1,44,0,255
88,7.677,2,1,192,2,44,0,255
89,29.591,14,1,255,1,45,0,255
90,7.739,2,1,191,2,45,0,255
91,29.826,17,1,255,1,46,0,255
92,7.683,2,1,193,2,46,0,255
93,29.981,15,1,255,1,47,0,255
94,7.741,2,1,199,2,47,0,255
95,30.025,15,1,255,1,48,0,255
96,7.735,2,1,197,2,48,0,255
97,30.261,17,1,255,1,49,0,255
98,7.761,2,1,209,2,49,0,255
99,30.405,14,1,255,1,50,0,255
100,7.807,2,1,200,2,50,0,255
101,30.219,16,1,255,1,51,0,255
102,7.810,2,1,191,2,51,0,255
103,30.137,15,1,255,1,52,0,255
104,7.788,2,1,191,2,52,0,255
105,30.265,15,2,255,1,53,0,255
106,7.895,2,1,205,2,53,0,255
107,30.291,19,2,255,1,54,0,255
108,7.854,2,1,209,2,54,0,255
109,30.549,15,1,255,1,55,0,255
110,7.925,2,1,193,2,55,0,255
111,30.311,15,1,255,1,56,0,255
112,7.892,2,1,204,2,56,0,255
113,30.583,16,1,255,1,57,0,255
114,7.943,2,1,201,2,57,0,255
115,30.652,15,1,255,1,58,0,255
116,7.977,2,1,221,2,58,0,255
117,30.549,16,1,255,1,59,0,255
118,8.010,2,1,212,2,59,0,255
119,30.827,16,1,255,1,60,0,255
120,8.006,2,1,205,2,60,0,255
121,30.900,17,1,255,1,61,0,255
122,8.031,2,1,200,2,61,0,255
123,30.753,17,2,255,1,62,0,255
124,7.989,2,1,201,2,62,0,255
125,30.580,16,1,255,1,63,0,255
126,7.982,2,1,214,2,63,0,255
127,30.612,15,1,255,1,64,0,255
128,8.016,2,1,211,2,64,0,255
129,30.624,17,1,255,1,65,0,255
130,8.054,2,1,199,2,65,0,255
131,30.694,13,1,255,1,66,0,255
132,8.063,2,1,209,2,66,0,255
133,30.703,17,1,255,1,67,0,255
134,8.023,2,1,201,2,67,0,255
135,30.724,16,2,255,1,68,0,255
136,8.078,2,1,194,2,68,0,255
137,31.082,15,1,255,1,69,0,255
138,8.110,2,1,196,2,69,0,255
139,31.307,15,2,255,1,70,0,255
140,8.134,2,1,213,2,70,0,255
