 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,898.564,160.166,120,832,111.712,21.364,122.323,34.931,32.753,122.921,12.209
2,692.806,149.691,121,731,130.877,41.288,109.395,32.605,27.054,61.486,5.265
3,620.230,181.380,122,1187,189.095,54.121,102.080,31.751,24.872,138.983,19.293
4,611.827,156.484,121,779,166.379,66.976,117.765,32.209,24.186,97.710,9.154
5,197.401,182.424,124,923,136.918,61.950,59.250,18.046,13.928,145.329,16.885
6,396.117,201.209,128,1403,150.157,76.630,77.057,25.664,19.652,135.416,19.092
7,524.041,147.312,120,580,187.354,77.153,92.184,27.438,24.318,10.051,4.569
8,661.635,158.840,123,694,70.162,62.898,106.708,32.417,25.987,92.893,10.394
9,795.709,253.698,127,2250,91.129,77.790,123.574,35.396,28.623,176.329,30.673
10,625.300,176.441,127,925,108.802,59.201,107.212,31.261,25.468,80.654,15.353
11,399.638,205.100,128,1364,125.075,72.278,81.697,23.243,21.892,40.748,23.129
12,411.468,160.833,124,687,69.535,34.498,84.734,28.768,18.211,51.482,10.998
13,313.401,155.830,122,591,44.887,51.662,71.353,22.744,17.545,177.103,8.328
14,1232.761,165.679,121,876,40.955,77.494,169.590,50.816,30.888,9.438,14.440
15,819.932,148.848,122,372,89.894,40.595,133.274,34.614,30.160,69.631,4.706
16,814.017,171.497,121,947,156.493,42.510,117.344,34.300,30.217,62.465,16.592
