 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,881.758,395.937,137,1737,120.430,40.796,27.519,125.019,98.142
2,1231.165,181.319,123,588,142.526,48.521,32.307,121.846,65.957
3,474.233,307.897,140,1002,99.967,32.873,18.368,123.832,99.149
4,704.026,371.682,134,1104,111.597,35.608,25.174,134.890,98.513
5,1226.330,320.609,136,1265,145.552,50.309,31.036,130.506,97.431
6,781.390,300.342,130,1309,119.130,35.877,27.731,77.022,96.792
7,886.546,329.382,134,1382,124.152,36.609,30.834,112.665,96.066
8,754.585,338.325,135,1323,114.084,38.746,24.797,151.807,98.090
9,803.548,419.840,130,2307,117.650,37.614,27.201,126.602,94.386
10,723.602,271.156,130,904,107.479,34.882,26.412,135.697,90.995
11,1079.957,294.817,130,940,138.706,48.736,28.214,140.433,93.814
12,826.504,310.680,127,856,119.204,40.415,26.038,23.640,98.762
13,717.170,322.146,129,1168,123.429,46.553,19.615,164.416,97.617
14,752.379,378.335,130,1592,115.292,33.264,28.798,19.124,94.784
15,356.449,458.736,135,2043,78.177,22.439,20.226,90.527,95.575
16,975.834,296.671,124,1864,133.395,46.837,26.528,106.164,79.867
17,976.445,278.637,128,916,129.285,41.704,29.811,107.017,88.514
18,757.824,364.984,131,1522,112.253,36.634,26.339,160.251,94.072
19,825.143,359.726,130,1493,119.322,38.205,27.499,144.164,92.775
20,600.185,281.741,130,1098,106.077,38.700,19.746,102.978,90.372
21,557.747,230.724,126,863,94.972,27.766,25.576,84.175,77.561
22,431.513,338.314,130,1133,90.082,28.832,19.056,90.983,94.767
23,808.618,333.672,127,2224,115.103,34.612,29.746,117.919,75.681
24,702.852,259.688,129,916,106.021,34.625,25.846,146.525,88.472
25,887.673,392.638,133,2011,133.071,48.385,23.359,167.995,86.546
26,384.616,400.229,129,2660,76.228,22.578,21.689,158.995,78.897
27,360.486,213.064,122,857,81.399,22.802,20.129,133.620,53.132
28,864.341,244.101,126,906,119.104,36.472,30.175,172.706,81.979
29,699.942,229.871,124,1002,109.221,32.160,27.712,153.143,62.488
30,855.375,238.030,121,1719,123.030,36.422,29.902,10.059,50.974
31,821.059,289.856,126,1367,116.109,34.122,30.637,7.040,78.262
32,550.001,215.613,124,1081,98.274,28.295,24.750,69.016,53.013
33,416.116,362.162,131,2519,89.515,25.717,20.602,52.881,88.707
34,1145.398,262.119,131,983,158.202,45.907,31.768,102.615,95.926
35,728.766,237.180,126,938,107.736,31.613,29.351,166.247,78.279
36,533.336,323.728,123,1861,97.634,28.448,23.870,160.715,76.507
37,390.061,234.201,123,1084,82.752,26.368,18.835,44.221,63.257
38,554.696,232.131,123,975,100.301,30.498,23.158,161.224,59.106
39,932.270,203.753,122,779,128.997,40.534,29.284,158.563,66.313
