 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,527.656,204.339,126,1481,94.202,28.296,23.743,20.339,29.520
2,699.942,206.280,123,1654,105.006,30.534,29.187,111.841,35.453
3,473.388,169.544,126,765,92.434,27.472,21.940,82.781,19.486
4,683.840,187.101,125,1075,106.612,34.057,25.566,108.199,25.970
5,643.327,196.582,126,1209,118.486,38.601,21.220,165.659,26.022
6,337.155,189.871,126,1196,75.179,24.072,17.833,178.613,25.146
7,1263.792,191.202,121,1154,173.106,50.054,32.147,4.357,27.789
8,431.983,196.260,125,991,94.338,26.716,20.588,170.643,28.842
9,734.493,187.614,122,1037,115.444,33.094,28.258,154.947,26.729
10,323.353,167.458,125,1569,85.334,24.573,16.755,170.981,15.375
11,526.905,171.314,122,842,96.470,28.635,23.428,131.174,20.991
12,416.961,245.259,131,1650,92.858,26.810,19.802,73.469,42.749
13,651.214,216.698,128,1291,126.270,32.463,25.542,162.800,35.828
14,486.767,192.848,125,1567,95.677,28.933,21.421,84.499,24.438
15,462.544,232.055,130,1477,89.759,26.670,22.082,167.615,40.394
16,440.245,154.534,118,527,98.772,28.855,19.426,38.524,13.350
17,339.643,168.067,127,662,81.149,27.721,15.600,167.901,18.397
18,974.097,174.177,121,897,157.321,42.785,28.988,160.064,24.120
19,436.677,153.383,120,614,84.043,27.599,20.145,131.351,12.868
20,915.792,195.821,124,1029,125.329,43.386,26.876,128.879,30.357
21,379.687,208.933,127,1892,91.195,33.314,14.512,44.758,26.632
22,786.038,191.372,122,1349,141.808,38.208,26.194,71.018,28.619
23,661.823,190.775,122,958,109.203,32.460,25.960,166.232,27.756
24,800.074,331.647,126,4095,122.878,39.694,25.664,22.031,45.385
