 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,1105.166,263.032,129,918,142.987,48.853,28.804,128.701,79.607
2,763.599,258.020,126,1429,117.349,33.141,29.336,95.115,70.497
3,1153.942,300.584,126,1423,133.501,43.114,34.078,162.031,73.211
4,710.551,349.536,128,2729,107.508,33.018,27.400,120.269,72.562
5,634.454,174.487,117,1162,103.893,31.087,25.985,111.325,30.736
6,757.590,266.285,125,948,114.079,39.772,24.253,21.163,84.558
7,1029.680,251.365,124,1512,138.942,47.273,27.733,154.859,63.851
8,985.317,283.970,126,1163,134.587,44.077,28.463,151.442,77.760
9,627.554,323.818,134,1158,114.320,41.782,19.124,172.255,84.074
10,660.602,343.309,125,1734,109.640,31.164,26.990,8.489,75.213
11,331.944,393.203,128,2036,77.332,24.323,17.376,88.198,79.027
12,904.432,271.585,126,1333,130.765,46.507,24.761,101.355,61.923
13,614.785,281.881,128,1557,101.429,33.200,23.578,157.453,70.441
14,952.785,262.825,124,1016,122.067,37.689,32.187,117.888,69.822
15,702.805,332.643,130,1421,113.256,39.500,22.654,157.384,78.906
16,752.097,326.326,130,1603,115.190,36.498,26.237,158.310,74.190
17,593.002,289.752,129,1366,106.195,37.128,20.336,92.880,73.939
18,387.667,325.639,126,1293,85.377,27.302,18.079,90.443,79.983
19,463.530,191.684,127,1091,87.593,24.999,23.608,153.244,41.412
20,696.797,317.833,126,2342,104.620,31.314,28.332,85.496,57.529
21,983.956,211.735,121,1140,124.624,39.215,31.947,169.798,54.447
22,530.144,371.222,126,2546,95.402,28.622,23.583,44.304,66.581
23,655.861,225.947,125,1951,115.888,32.833,25.434,83.068,45.931
24,791.108,249.125,125,1312,115.016,32.840,30.672,16.337,63.304
25,413.534,197.199,123,859,91.598,25.339,20.779,15.613,40.050
26,406.070,205.518,124,787,87.952,29.206,17.702,154.938,43.272
27,659.757,256.374,121,1036,101.998,31.525,26.647,154.850,66.785
28,422.594,255.593,123,1384,85.256,28.015,19.206,35.181,53.977
29,777.494,247.346,126,1222,126.292,38.299,25.848,161.591,52.838
30,672.573,278.782,126,2139,108.739,31.221,27.428,27.256,48.677
31,517.422,307.374,131,2593,91.050,26.636,24.733,58.792,61.531
32,744.023,241.403,119,1596,114.155,35.051,27.027,149.509,42.766
33,891.851,235.546,122,1406,127.468,42.878,26.483,118.734,50.100
34,1044.890,302.638,122,2346,144.671,51.799,25.684,11.633,59.390
35,423.251,227.839,123,1099,89.545,27.248,19.777,1.678,46.384
36,705.434,321.382,128,1289,113.274,35.575,25.248,170.110,86.058
37,782.564,293.022,124,1649,115.156,35.539,28.036,175.148,63.575
38,427.805,316.048,122,2582,99.231,36.169,15.060,28.577,59.113
39,1304.821,201.128,118,875,153.869,51.612,32.189,16.871,44.134
40,460.431,352.307,127,2483,86.064,26.231,22.349,35.124,60.940
41,925.792,354.731,123,3153,153.942,38.602,30.536,156.815,65.783
