 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,584.130,217.893,126,1280,94.022,29.060,25.593,132.168,43.060
2,472.308,159.832,122,612,88.530,29.904,20.110,144.241,22.065
3,481.415,237.055,127,1658,87.943,27.278,22.471,24.346,47.099
4,781.531,210.296,123,1586,139.769,36.623,27.171,161.969,42.804
5,775.522,224.323,126,1369,121.918,35.575,27.756,56.384,47.797
6,147.499,217.609,130,1285,52.123,13.998,13.417,170.007,40.356
7,662.245,233.640,125,1621,113.904,32.770,25.730,161.339,51.783
8,331.052,176.877,120,757,76.995,24.035,17.537,175.412,32.587
9,259.931,221.523,129,1484,75.673,19.311,17.138,133.798,52.176
10,446.583,289.298,131,1872,90.577,26.635,21.348,66.571,65.941
11,623.986,204.760,125,1882,103.115,32.622,24.354,106.780,40.280
12,388.231,246.489,128,2369,85.352,31.412,15.736,42.128,49.407
13,447.522,260.765,128,1735,90.889,26.887,21.192,6.658,62.299
14,841.996,361.020,127,3894,126.060,43.304,24.757,13.919,61.485
15,1222.434,201.575,122,1238,157.646,52.661,29.556,4.141,40.538
16,691.257,236.811,129,1617,121.927,37.379,23.546,3.652,49.942
17,390.906,234.169,126,1589,96.841,31.592,15.755,80.813,54.918
18,869.646,202.385,123,1442,133.959,38.908,28.458,32.767,44.162
19,466.769,228.163,127,1953,96.281,26.621,22.325,150.021,42.060
20,388.559,209.902,125,1312,78.475,26.753,18.493,169.079,42.527
21,402.830,213.840,126,1225,87.658,25.017,20.502,12.811,45.508
22,584.036,185.335,126,1131,99.998,28.695,25.915,138.174,36.975
23,380.532,178.812,126,815,80.239,27.718,17.480,156.991,33.321
24,423.768,162.585,120,783,91.799,27.901,19.338,36.061,22.976
25,438.649,200.156,123,1128,104.554,37.893,14.739,156.723,41.224
26,676.845,217.011,123,1142,115.292,36.047,23.907,30.556,49.098
27,248.430,177.813,128,846,68.298,21.274,14.869,157.400,32.275
28,496.062,173.615,126,818,105.697,29.488,21.419,66.968,31.210
29,980.857,186.865,120,920,146.974,45.075,27.707,161.864,39.796
30,606.804,266.424,127,1762,104.777,34.203,22.589,152.677,55.152
31,633.046,268.299,124,2077,143.099,37.816,21.314,151.718,54.475
32,318.706,192.154,119,775,90.376,25.492,15.918,100.932,45.530
33,456.394,228.765,123,1639,83.557,26.110,22.256,160.693,40.115
34,710.880,221.022,121,1583,125.674,45.698,19.806,109.091,41.590
35,494.701,262.826,125,1948,112.884,38.978,16.160,163.731,59.822
36,657.457,225.124,124,1643,123.503,39.303,21.299,143.971,44.106
