 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,689.379,167.471,121,1366,113.102,35.999,24.382,106.473,29.254
2,768.715,368.187,131,2345,125.157,35.732,27.392,158.300,75.469
3,655.814,304.928,123,2071,98.903,29.992,27.841,109.492,54.982
4,838.240,245.170,122,1707,123.385,36.013,29.636,5.484,58.009
5,753.505,375.151,131,2907,123.284,40.305,23.803,157.898,68.662
6,600.842,216.839,123,1178,104.971,29.142,26.252,151.927,46.879
7,450.432,320.187,126,2043,83.684,24.981,22.958,86.775,56.675
8,723.132,248.412,124,1155,111.444,34.636,26.582,178.992,63.276
9,462.544,251.971,120,1490,92.802,28.488,20.673,26.528,52.136
10,673.935,282.418,126,2211,108.358,33.992,25.243,17.654,51.616
11,826.035,243.746,124,1748,128.957,44.840,23.456,120.690,51.790
12,386.494,220.459,121,1312,82.204,26.718,18.418,10.252,47.042
13,503.245,345.868,128,2325,90.206,27.568,23.243,23.060,61.138
14,392.456,204.868,125,776,82.979,26.448,18.893,169.538,46.435
15,348.844,188.381,123,788,93.839,22.154,20.049,1.476,40.667
16,510.943,291.143,128,1517,101.791,36.255,17.944,89.573,72.336
17,952.081,255.749,124,1230,127.586,36.757,32.979,80.706,65.263
18,385.836,302.885,124,1437,89.912,27.378,17.944,94.493,72.284
19,981.562,316.483,124,1817,146.243,47.400,26.366,166.223,68.468
20,966.211,265.309,126,1185,132.126,43.244,28.448,149.644,69.940
21,1004.987,255.444,124,1721,141.817,45.411,28.178,148.530,60.407
22,653.467,383.307,129,3215,113.531,36.314,22.912,161.470,75.065
23,615.301,272.781,125,1514,108.340,36.170,21.659,147.416,66.041
24,958.089,211.923,121,1308,135.878,41.269,29.559,172.587,54.549
25,352.506,179.871,121,671,84.791,24.072,18.645,169.650,34.332
26,395.601,276.347,128,1579,88.682,26.229,19.203,137.042,65.539
27,571.220,315.847,131,1649,115.125,39.740,18.302,171.328,79.306
28,691.820,323.260,128,2464,112.244,33.303,26.449,105.240,68.107
29,1130.610,261.237,125,1385,137.611,42.305,34.028,148.365,62.867
30,672.432,293.503,129,1409,107.662,32.766,26.130,161.258,76.773
31,841.855,250.994,123,1375,129.709,44.206,24.248,99.414,55.880
32,396.117,319.472,126,2246,87.256,33.012,15.278,36.069,60.785
33,813.219,277.757,123,1729,131.863,34.583,29.940,173.634,58.598
34,647.317,266.579,123,1483,114.193,34.009,24.234,172.644,56.712
35,453.296,319.028,127,2164,92.784,26.623,21.679,54.253,64.923
36,444.705,241.737,127,2195,96.553,28.041,20.193,83.253,50.501
37,957.432,327.628,125,3184,139.313,48.004,25.395,14.612,61.858
38,682.103,239.706,124,1921,113.007,32.618,26.626,145.280,44.109
39,621.075,253.524,127,971,110.563,37.538,21.066,13.719,80.348
40,1288.391,208.943,120,963,152.603,50.672,32.373,13.267,47.510
