 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,1075.169,178.701,124,603,134.201,40.724,33.615,107.056,38.580
2,431.560,280.018,135,1510,97.135,31.396,17.502,123.578,90.145
3,672.385,322.672,130,1114,109.294,33.082,25.878,143.999,89.297
4,710.927,205.096,125,1571,114.323,41.741,21.686,96.552,63.801
5,1157.603,297.926,130,1110,139.424,48.823,30.189,127.934,87.631
6,799.370,295.615,133,1098,135.011,37.044,27.475,84.713,89.635
7,785.052,292.883,129,1527,112.670,33.213,30.095,119.679,82.629
8,716.983,352.304,133,1733,107.080,34.926,26.138,155.943,93.616
9,769.560,391.943,130,2343,114.039,33.428,29.312,130.159,82.120
10,800.638,300.240,130,956,118.106,38.164,26.711,20.512,92.829
11,1034.891,282.888,128,922,132.556,45.499,28.960,145.277,82.722
12,706.045,329.859,136,1408,122.995,45.471,19.770,166.044,89.481
13,765.617,371.392,131,1920,113.506,33.899,28.757,18.175,83.371
14,903.634,286.593,127,1276,129.740,46.371,24.812,96.972,66.544
15,312.275,431.899,132,2171,78.641,21.881,18.171,77.434,85.192
16,927.012,287.241,128,1169,125.998,40.662,29.027,115.285,78.199
17,749.093,350.319,130,1354,113.339,38.874,24.535,150.973,84.978
18,788.902,375.509,129,2213,117.217,37.763,26.599,148.358,84.046
19,631.121,287.952,128,1237,108.034,36.364,22.098,95.047,77.946
20,485.875,330.586,131,1357,95.261,28.944,21.373,84.682,82.396
21,500.757,201.970,124,1020,89.506,27.024,23.593,103.218,47.314
22,665.250,329.990,125,2235,101.862,31.204,27.144,95.381,60.200
23,721.959,215.258,122,752,105.885,31.426,29.251,37.405,57.442
24,632.201,329.274,126,2492,104.217,29.418,27.362,115.810,63.102
25,643.609,263.125,126,966,99.998,32.995,24.836,149.575,74.041
26,701.491,246.842,124,1126,104.935,30.225,29.551,51.307,67.356
27,848.192,382.269,131,2530,126.825,44.876,24.065,168.222,73.151
28,464.140,366.288,124,2420,86.287,24.602,24.021,144.671,65.227
29,250.402,206.718,122,978,62.073,21.002,15.180,111.871,39.633
30,461.417,233.733,124,1109,86.617,26.199,22.425,27.872,48.825
31,798.197,248.935,125,967,114.137,36.084,28.164,157.221,67.282
32,377.997,251.174,125,1141,77.976,26.386,18.240,43.541,54.533
33,788.995,241.234,124,1195,117.297,36.736,27.346,147.119,53.692
34,751.581,263.381,121,2520,121.336,35.627,26.860,17.467,47.583
35,833.874,295.785,121,1653,115.642,35.485,29.920,163.576,67.241
36,520.098,224.038,125,1080,96.129,27.185,24.360,163.172,45.825
37,799.042,237.142,118,1240,117.922,39.812,25.554,112.400,54.304
38,860.257,231.274,122,1317,118.838,37.617,29.117,140.383,42.003
39,712.945,212.051,121,908,104.598,31.251,29.047,99.937,44.992
40,438.743,310.229,122,2996,94.211,34.489,16.197,32.029,57.864
41,1511.893,193.822,119,1216,173.898,55.818,34.487,14.029,42.092
42,1073.150,288.846,124,2171,143.625,51.620,26.470,10.788,60.074
43,852.511,353.951,134,1501,122.798,39.000,27.832,112.331,86.729
