 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,1172.438,227.007,124,1112,175.514,51.818,28.808,136.883,62.318
2,868.613,280.388,135,811,131.046,48.472,22.816,125.382,90.639
3,1068.972,253.626,130,740,145.635,48.532,28.045,121.960,73.484
4,1058.410,266.091,132,1101,129.833,45.526,29.601,113.639,80.622
5,1162.486,302.984,137,1042,155.939,47.150,31.392,115.540,91.895
6,553.100,330.089,140,1205,111.422,37.469,18.795,129.958,94.933
7,726.184,389.427,143,1312,115.317,36.694,25.198,129.061,97.207
8,900.348,358.927,133,1422,122.979,40.083,28.600,138.141,91.089
9,1201.919,308.281,131,1496,149.062,54.084,28.295,132.297,86.595
10,867.581,314.457,135,957,122.575,40.274,27.428,25.413,93.951
11,1173.846,273.136,125,955,155.829,53.820,27.770,156.015,74.165
12,704.730,393.435,138,1157,111.462,38.614,23.238,152.220,98.135
13,800.966,383.280,132,1536,116.622,34.784,29.318,11.617,89.644
14,1014.423,294.473,123,1356,136.893,46.877,27.553,108.224,69.378
15,306.594,460.227,133,1648,71.984,21.128,18.476,121.469,91.670
16,668.254,244.611,126,1166,107.127,30.109,28.259,76.515,62.915
17,678.770,278.061,127,804,106.208,32.327,26.734,171.839,75.220
18,855.704,322.899,128,1177,123.844,38.460,28.329,143.730,79.301
19,474.937,350.427,134,1030,93.116,29.875,20.241,94.765,89.157
20,632.436,280.998,127,1180,106.471,37.389,21.537,97.988,76.336
21,749.046,354.370,127,1985,108.467,34.748,27.447,108.648,66.157
22,1091.740,290.556,129,1072,146.497,52.183,26.638,135.369,83.286
23,772.987,255.825,126,1283,112.110,38.744,25.403,148.610,71.475
24,370.861,246.696,131,689,82.019,27.957,16.890,9.354,69.089
25,820.307,197.908,119,624,114.722,34.260,30.486,31.907,40.174
26,847.817,387.459,128,1945,128.134,44.518,24.248,169.779,72.752
27,357.998,392.933,126,2021,72.031,21.533,21.168,23.250,66.090
28,872.134,238.499,126,833,115.874,35.992,30.853,167.076,62.800
29,624.455,214.850,119,1210,106.472,31.595,25.164,24.158,36.498
30,652.810,282.922,119,1549,107.600,31.230,26.615,31.435,55.458
31,762.190,218.117,124,892,108.226,32.372,29.978,11.281,53.166
32,469.820,445.445,131,3367,88.298,25.526,23.434,46.223,84.432
33,798.337,312.458,131,944,125.697,40.151,25.316,138.956,85.076
