 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,625.019,240.169,125,1469,96.535,29.833,26.675,117.486,46.162
2,989.636,196.594,120,1124,147.670,48.278,26.100,167.785,43.366
3,781.766,230.001,122,1754,127.320,35.818,27.790,172.154,46.910
4,699.519,290.941,130,2162,115.843,37.753,23.592,169.143,55.943
5,490.147,252.984,122,1918,88.420,26.616,23.448,7.623,43.281
6,484.420,196.875,121,991,91.572,26.587,23.198,1.763,38.134
7,415.928,182.679,127,955,83.579,28.080,18.860,166.676,33.386
8,821.152,252.026,123,1697,122.522,33.472,31.236,42.840,50.486
9,681.164,246.713,123,1695,118.718,39.425,21.998,172.489,42.240
10,692.994,252.415,126,1785,115.975,34.284,25.737,168.680,49.587
11,343.399,187.793,126,843,78.759,24.928,17.540,1.744,34.381
12,450.761,300.224,130,1890,88.472,27.795,20.648,45.827,64.747
13,348.563,236.476,129,1308,76.605,25.187,17.620,166.914,47.367
14,736.559,220.145,126,1563,106.844,33.054,28.372,110.512,38.126
15,361.801,279.242,126,2907,86.791,30.935,14.891,32.305,47.879
16,884.105,364.894,127,3866,129.325,44.553,25.266,13.482,59.544
17,1264.918,204.427,123,1079,161.016,56.346,28.583,2.343,40.297
18,437.569,235.023,124,1788,90.088,27.225,20.464,7.025,45.789
19,541.457,281.287,125,2129,93.291,26.958,25.573,19.761,50.919
20,441.231,253.356,126,1504,100.413,33.390,16.825,81.674,57.836
21,282.840,246.562,128,1097,71.362,21.157,17.022,73.054,61.095
22,542.725,233.189,127,1096,98.439,31.681,21.812,1.239,53.724
23,329.034,234.576,125,1076,92.109,25.212,16.617,98.806,56.056
24,908.000,221.121,122,1155,137.076,38.285,30.197,27.456,48.697
25,699.425,298.662,127,2535,144.601,39.474,22.560,156.854,57.366
26,625.817,310.564,125,1995,102.707,35.265,22.595,152.095,59.455
27,525.355,286.402,127,2063,127.543,41.138,16.260,164.419,61.835
28,695.482,238.715,122,1864,129.749,42.201,20.983,141.333,46.601
29,335.230,227.111,125,1145,85.956,29.059,14.688,159.395,48.285
30,264.908,186.239,126,761,68.595,20.105,16.777,179.610,38.596
31,329.738,166.501,120,633,94.894,25.563,16.423,30.374,24.260
32,208.011,253.468,129,1898,74.470,17.170,15.425,19.471,46.513
33,424.894,293.349,127,1724,88.753,26.045,20.771,10.574,62.501
34,498.785,238.210,127,1317,92.552,30.791,20.625,42.818,53.892
