 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,725.939,234.618,69.597,24.944,111.606,35.952,25.709,161.434,3.458
2,801.501,265.167,202.132,38.655,125.082,41.081,24.841,119.708,8.969
3,836.565,253.651,48.150,38.854,116.501,36.447,29.224,127.174,8.064
4,586.184,190.487,172.924,31.743,97.521,31.909,23.390,168.942,0.489
5,821.070,265.025,142.382,38.801,123.042,33.333,31.363,151.440,8.780
6,998.354,227.194,112.818,46.161,135.264,38.486,33.028,14.685,3.850
7,620.293,239.579,74.744,51.305,101.348,33.736,23.411,38.585,5.531
8,802.406,206.635,28.259,66.070,138.549,47.372,21.567,85.665,2.708
9,690.824,264.502,165.094,54.931,108.225,32.067,27.429,43.853,8.200
10,667.079,198.577,187.228,60.648,110.624,35.513,23.917,58.909,0.762
11,631.360,266.213,88.881,67.869,107.307,31.346,25.646,74.240,8.104
12,899.751,263.651,49.823,72.784,122.631,40.513,28.277,55.134,8.952
13,643.183,282.403,141.078,71.314,104.500,32.727,25.023,88.279,10.340
14,657.068,224.827,118.490,72.319,103.635,30.706,27.246,133.733,3.407
15,916.453,211.151,202.296,78.790,130.837,42.460,27.481,46.558,2.745
16,1074.470,183.779,168.659,89.108,138.335,41.847,32.692,122.072,0.243
17,792.898,268.830,69.328,88.544,112.210,36.802,27.432,23.063,9.638
18,1100.026,249.337,105.422,96.360,155.201,39.961,35.049,20.547,7.418
19,789.628,232.028,142.640,101.023,112.955,33.640,29.887,135.022,4.829
20,741.232,324.320,16.933,110.211,116.159,39.968,23.613,68.390,16.587
21,1007.158,257.492,42.209,110.517,128.402,39.909,32.132,98.119,7.782
22,805.022,186.437,205.367,104.698,122.132,41.542,24.673,20.729,0.106
23,849.293,300.678,73.796,113.549,129.082,39.623,27.291,31.316,11.823
24,716.934,274.155,175.402,119.223,110.455,32.097,28.440,143.393,10.238
25,587.794,501.064,117.388,117.864,94.559,31.199,23.988,3.040,27.217
26,524.859,285.089,204.677,125.804,97.636,31.644,21.118,27.422,10.716
27,996.795,269.302,150.989,131.103,140.683,44.212,28.706,153.573,10.417
28,754.966,308.266,97.860,134.775,106.902,33.199,28.954,131.760,12.074
29,660.187,314.510,34.713,141.138,107.509,33.161,25.348,99.506,13.915
30,394.059,555.654,125.114,138.315,85.890,24.814,20.220,2.417,32.376
31,1115.822,255.703,65.059,143.467,145.698,40.410,35.158,25.834,7.534
32,622.657,297.179,12.650,142.601,100.100,35.372,22.413,89.867,12.911
33,662.149,284.069,197.961,145.832,116.854,38.925,21.659,157.841,11.085
34,655.558,261.057,175.006,156.429,103.939,34.658,24.084,90.875,8.334
35,692.283,282.816,151.777,159.438,106.095,35.499,24.830,121.695,10.413
36,1007.460,273.461,89.051,166.293,129.114,38.059,33.704,90.117,9.433
37,903.172,312.694,118.642,161.315,132.571,40.310,28.528,39.313,10.488
38,573.255,256.099,25.155,166.861,95.995,29.224,24.976,14.704,8.539
39,707.124,248.367,53.702,169.631,103.567,34.501,26.096,166.077,7.107
40,618.482,261.502,199.908,168.791,97.703,31.134,25.293,171.025,8.142
41,663.457,253.888,132.128,178.868,105.399,36.869,22.912,17.026,6.438
42,915.799,266.934,93.987,19.390,133.714,43.366,26.888,102.185,9.322
43,383.595,268.605,112.719,12.072,93.004,30.486,16.021,105.994,9.246
44,1018.578,244.447,139.767,12.814,133.290,44.976,28.835,2.685,7.325
45,678.851,248.612,176.797,11.441,116.522,37.503,23.048,166.502,6.003
46,796.570,248.393,13.775,38.746,113.378,33.141,30.604,135.870,8.027
47,757.230,217.574,24.284,16.149,119.237,35.823,26.914,166.913,1.840
