Time (hpf),NetworkDensity,NetworkDensity_SEM,Area,Area_SEM,Intensity,Intensity_SEM
4.25,3.1295454545454544,0.6423454680069561,728.4806363636363,37.13356623918084,118.44706818181818,0.38903454848256197
4.5,5.261809523809523,0.9480040167846506,723.525119047619,34.83138828638993,118.66190476190475,0.4029935872566042
4.75,10.380744186046512,1.538823592138509,745.3448837209303,32.50722955527026,120.9253488372093,0.6310045445144742
5.0,15.351688888888892,2.034365311101314,716.1838222222221,29.253660875892198,123.29719999999999,0.8416385573463953
5.25,32.03071052631578,2.605150819743473,667.6470526315791,28.27734225428171,133.59323684210526,1.6085015775379203
5.5,40.611333333333334,2.2462714217119886,655.5082777777777,30.838132056966014,138.6495277777778,1.6388823613738719
5.75,47.00210714285715,2.552219459648749,647.3934285714286,37.62353568397802,142.50435714285715,1.9553188553184158
6.0,38.85025,2.4794882589376535,673.0830625,33.23208349057991,139.7544375,1.9098609543088068
6.25,34.63775510204082,2.136517724837882,678.8275918367348,26.825184419073015,141.24163265306123,1.6368237900390044
6.5,41.84481818181818,2.1737056278936433,719.7957727272727,27.922538187886477,145.31261363636366,1.6721872825252644
6.75,48.517229166666674,2.1360653067950075,701.8616666666667,27.911550324548426,149.39570833333335,1.7730134843158691
7.0,52.39587272727274,2.1513475116451195,688.015672727273,25.619602329635335,150.95216363636365,1.7935629034772438
7.25,56.990100000000005,2.3129340855903595,762.8624199999999,25.44554102506041,152.73066,1.9742053948123337
7.5,61.984384615384606,2.4238000220466183,747.2301153846154,30.0849928317929,155.07398076923076,2.169165807695392
7.75,66.22410416666666,2.6124972814196696,807.18025,30.659957271823092,156.99352083333335,2.4394016162899748
8.0,72.262,2.448514837652425,798.4578999999999,31.831930613082868,160.58684,2.49304160158483
8.25,78.05959574468085,2.5017157423574874,831.3628936170213,34.319516459759,164.9842340425532,2.874803690070166
8.5,94.76845652173915,1.1033522117157735,877.5994782608695,34.93704370505643,167.25199999999998,3.2614028098232057
8.75,95.06371739130438,1.137528419420125,915.6654347826087,39.497482025359865,168.80189130434783,3.600216794361711
9.0,95.04460465116277,1.2519877281636402,953.6940232558139,36.43833408786825,168.97320930232559,3.5996085420793427
