PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 6, filenames: A:[6]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[7]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-1.095290422,2.033496618,1
20,35,0.4361054897,2.00812912,1
20,51,0.9801501036,1.409306049,1
20,67,0.8437823653,0.6549799442,1
20,83,0.2210870385,0.3390345871,1
20,99,-0.3593097329,-0.03127260506,1
20,115,-0.4395116568,-0.3933054209,1
20,131,-0.2599906921,-0.5945883989,1
20,147,-0.1383737922,-0.9409912229,1
20,163,0.1109478772,-1.346195102,1
20,179,2.273287296,0.07776594162,1
20,195,NaN,NaN,2
20,211,NaN,NaN,2
20,227,NaN,NaN,2
20,243,-0.5256948471,-0.635397315,1
20,259,-0.1478995085,-0.7184756994,1
20,275,0.7750746012,-0.9464062452,1
20,291,0.4540993571,1.002889752,1
20,307,NaN,NaN,2
20,323,NaN,NaN,2
20,339,NaN,NaN,2
20,355,0.500056088,-0.3890842795,1
20,371,NaN,NaN,2
20,387,NaN,NaN,2
20,403,NaN,NaN,2
36,19,0.4700638056,1.752373815,1
36,35,0.8254214525,1.710859418,1
36,51,0.958912909,1.295197964,1
36,67,0.9977546334,0.944003284,1
36,83,0.7087163925,0.5521134734,1
36,99,0.2922322154,0.1795943677,1
36,115,0.03279930353,-0.1983577013,1
36,131,0.1527938545,-0.6093118191,1
36,147,0.6277096272,-1.169718027,1
36,163,0.8778924346,-0.8108136654,1
36,179,1.092236757,-0.2860568166,1
36,195,1.752070546,-1.508291006,1
36,211,0.02338585258,0.4892804623,1
36,227,-0.432392776,-0.002700418234,1
36,243,0.09784182906,-0.4981372952,1
36,259,-0.03178071976,0.3772098422,1
36,275,NaN,NaN,2
36,291,0.136685878,-0.2813904881,1
36,307,NaN,NaN,2
36,323,NaN,NaN,2
36,339,0.4016166925,-0.04416075349,1
36,355,0.3645431399,-0.1014793515,1
36,371,0.3182770312,-0.5979949236,1
36,387,0.6528967023,-1.329798698,1
36,403,NaN,NaN,2
52,19,1.010846853,1.118438363,1
52,35,0.9623892903,1.610695362,1
52,51,0.9217911959,1.236863017,1
52,67,1.148753047,1.010249853,1
52,83,1.262332916,0.5600414872,1
52,99,0.8856213093,0.1076425016,1
52,115,0.4099599719,-0.1167656332,1
52,131,0.6257064342,-0.6115288734,1
52,147,1.372692227,-1.422971606,1
52,163,1.530169845,-0.9948308468,1
52,179,1.22005868,-0.7014575005,1
52,195,0.8498345613,-0.3191228509,1
52,211,NaN,NaN,2
52,227,-0.1337545216,0.1392190158,1
52,243,0.542657733,-0.01543183625,1
52,259,NaN,NaN,2
52,275,0.1839410067,-0.8122653961,1
52,291,0.2759774923,-0.02960452437,1
52,307,0.2561453581,0.1429895312,1
52,323,0.1235926151,0.1575411558,1
52,339,0.2417264879,-0.2690816522,1
52,355,0.08654503524,-0.2621280551,1
52,371,0.3111448586,-0.2406212986,1
52,387,NaN,NaN,2
52,403,-1.129039049,0.6494467258,1
68,19,0.9959621429,0.5126507878,1
68,35,0.5940784216,0.8655030727,1
68,51,0.76502496,1.130068779,1
68,67,0.9757298827,0.9436926842,1
68,83,1.338751078,0.5197731256,1
68,99,1.29936862,0.07256108522,1
68,115,0.9528690577,-0.1098155081,1
68,131,0.9355735779,-0.7158876657,1
68,147,1.152253151,-0.973333776,1
68,163,0.8748440742,-0.7947756052,1
68,179,0.5893793702,-0.8286009431,1
68,195,NaN,NaN,2
68,211,NaN,NaN,2
68,227,NaN,NaN,2
68,243,NaN,NaN,2
68,259,NaN,NaN,2
68,275,-0.06169887632,-0.8035030365,1
68,291,NaN,NaN,2
68,307,NaN,NaN,2
68,323,0.3242982924,0.1730794609,1
68,339,NaN,NaN,2
68,355,-0.205550164,0.04796357453,1
