PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 3, filenames: A:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[4]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,0.6982517242,2.109085083,1
20,35,0.2073138356,1.751343012,1
20,51,-0.01977018267,1.040313244,1
20,67,-0.06426557899,0.5372491479,1
20,83,0.3295900822,0.475105077,1
20,99,0.5624154806,0.2949265242,1
20,115,0.4777856469,0.05484065413,1
20,131,0.2941470146,0.09820666909,1
20,147,-0.3189444244,0.5882111192,1
20,163,NaN,NaN,2
20,179,1.2406528,-1.329816341,1
20,195,-0.05896672606,0.3853218257,1
20,211,-0.4141151309,2.771748781,1
20,227,0.6485075951,-0.00758722052,1
20,243,0.4034802318,-0.2043013573,1
20,259,0.2529473305,-0.09637770057,1
20,275,-0.568287909,0.8132174611,1
20,291,NaN,NaN,2
20,307,NaN,NaN,2
20,323,NaN,NaN,2
20,339,-0.1682742834,0.1112930477,1
20,355,-1.338530421,0.1813651025,1
20,371,-0.3154071569,-0.504550457,1
20,387,-0.3293932676,-0.1859300733,1
20,403,-0.212184906,0.1509366632,1
36,19,0.2433795035,1.877397776,1
36,35,0.07593325526,1.602190614,1
36,51,0.05544172227,1.152365088,1
36,67,0.2237704992,0.9475585222,1
36,83,0.4885725081,0.653221786,1
36,99,0.3835537434,0.2006920576,1
36,115,0.1817482114,0.1778100431,1
36,131,0.1901010573,0.1656861156,1
36,147,-0.0356990397,0.003299206495,1
36,163,-0.3543817401,0.1311251223,1
36,179,NaN,NaN,2
36,195,0.3887296617,-0.3299738765,1
36,211,0.2467203736,0.4914658666,1
36,227,0.1085923612,0.03322682157,1
36,243,0.1216686368,-0.08228653669,1
36,259,-0.1894084513,0.4869505167,1
36,275,-0.5747979879,0.9352917075,1
36,291,NaN,NaN,2
36,307,NaN,NaN,2
36,323,-0.1693947613,0.2925075591,1
36,339,0.06001800299,0.3811973333,1
36,355,-0.4663815498,0.2511795163,1
36,371,-0.4423367083,0.02909934521,1
36,387,0.349875927,-0.2067569345,1
36,403,0.4784092605,-0.1541708261,1
52,19,-0.1949884892,1.521642566,1
52,35,-0.2019131929,1.417817712,1
52,51,-0.03143081069,1.400019765,1
52,67,0.3550296128,1.277308822,1
52,83,0.5379149318,0.7384673953,1
52,99,0.4261841774,0.2377141714,1
52,115,0.105196327,0.2358340919,1
52,131,0.1761843562,-0.0566438958,1
52,147,0.4329691529,-0.6065463424,1
52,163,0.6543258429,-0.698599577,1
52,179,0.7642051578,-0.6931568384,1
