PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 5, filenames: A:[5]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[6]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,0.3557696939,1.12151134,1
20,35,0.1999542117,1.726061463,1
20,51,0.1471256763,1.897063494,1
20,67,-0.03165198863,1.714561462,1
20,83,-0.1528120637,1.323769331,1
20,99,-0.2090308368,0.9413684607,1
20,115,-0.40876472,0.6697369814,1
20,131,-0.2148461938,0.4875491261,1
20,147,-0.07102775574,0.4313774705,1
20,163,0.4815988541,0.02535325289,1
20,179,1.02087903,-0.6452620029,1
20,195,0.4488298297,0.09124070406,1
20,211,1.05488801,-0.0436822176,1
20,227,NaN,NaN,2
20,243,NaN,NaN,2
20,259,-0.1507964432,-0.2566194832,1
20,275,-0.4245545566,-0.05640791357,1
20,291,-0.03587723151,-0.04417773336,1
20,307,0.4158929586,0.02007392049,1
20,323,0.8543250561,0.138534382,1
20,339,0.8748906255,-0.04055830836,1
20,355,0.7133654952,-0.102584362,1
20,371,0.3404360712,-0.09264016151,1
20,387,NaN,NaN,2
20,403,NaN,NaN,2
36,19,-0.5601967573,2.052797318,1
36,35,-0.1305308193,2.121132374,1
36,51,0.1916083246,2.098916769,1
36,67,0.2228606343,2.092792034,1
36,83,0.07895942777,1.811671734,1
36,99,-0.1573439538,1.212283254,1
36,115,-0.2757468522,0.8247103691,1
36,131,0.00166027993,0.6077952981,1
36,147,0.09626597911,0.2429035008,1
36,163,0.1088570803,-0.002833247185,1
36,179,0.06450432539,-0.2031620294,1
36,195,0.01210933924,-0.05337916315,1
36,211,NaN,NaN,2
36,227,NaN,NaN,2
36,243,0.320220232,-0.07403499633,1
36,259,NaN,NaN,2
36,275,-0.2161016166,0.1582230031,1
36,291,0.5226763487,0.07389359176,1
36,307,NaN,NaN,2
36,323,-0.240146786,0.5131610632,1
36,339,0.3902232051,0.4826518893,1
36,355,0.2005854547,0.3337866664,1
36,371,NaN,NaN,2
36,387,NaN,NaN,2
36,403,NaN,NaN,2
52,19,-0.2389547974,2.365408659,1
52,35,0.2304797769,2.156917095,1
52,51,0.4955885112,1.994200468,1
52,67,0.2953693867,1.822471261,1
52,83,0.1289484501,1.613978982,1
52,99,0.08098861575,1.290579081,1
52,115,0.1523084939,1.05935514,1
52,131,0.2496536672,0.6865040064,1
52,147,0.1324032545,0.275018692,1
52,163,-0.1059996784,0.1646960378,1
52,179,-0.3094423711,0.1048125103,1
52,195,-0.5136851668,0.2417968959,1
52,211,NaN,NaN,2
52,227,NaN,NaN,2
52,243,0.03515545279,0.3729044497,1
52,259,NaN,NaN,2
52,275,0.7538594007,0.1988691241,1
52,291,0.5558878779,0.1796974242,1
52,307,NaN,NaN,2
52,323,-0.4360796809,0.2242171168,1
52,339,-0.1691857278,0.502738297,1
52,355,0.113785252,0.5883066654,1
52,371,NaN,NaN,2
52,387,NaN,NaN,2
52,403,0.002133721486,0.4539417624,1
68,19,0.1801185012,2.496639252,1
68,35,0.5001875162,2.19552803,1
68,51,0.4370367527,1.789319754,1
68,67,0.2655019164,1.379354239,1
68,83,0.1874473989,1.266896486,1
68,99,0.2122098207,1.192793965,1
68,115,0.09825073928,1.126685023,1
68,131,0.08267205209,0.6147255301,1
68,147,0.3110691905,0.2429972589,1
68,163,0.3892449141,-0.2209611684,1
68,179,0.605500102,-0.1504139304,1
68,195,-0.3321048319,0.05665868521,1
68,211,-0.2817016542,0.2502763569,1
68,227,0.3593357801,0.4436168373,1
68,243,NaN,NaN,2
68,259,0.01326496899,2.139944077,1
68,275,0.2484521121,0.1102756783,1
68,291,0.06542783976,0.1177944839,1
68,307,NaN,NaN,2
68,323,-0.1789005846,0.02208869159,1
68,339,-0.317397356,0.3260744214,1
68,355,NaN,NaN,2
68,371,NaN,NaN,2
68,387,NaN,NaN,2
68,403,-0.1496480405,0.45364362,1
84,19,0.1349413991,2.504144669,1
84,35,0.5669916868,2.119916439,1
84,51,0.7561290264,1.699491858,1
84,67,0.8034926057,1.317980528,1
84,83,0.5424889326,1.239910126,1
84,99,0.1578335166,1.235846639,1
84,115,-0.04758258909,1.023127317,1
84,131,-0.04758741334,0.6284711957,1
84,147,0.09197255224,0.3436501622,1
84,163,0.2012295723,-0.2618069649,1
84,179,0.7444153428,-0.2523079515,1
84,195,0.2198228091,-0.4021282196,1
84,211,-0.7443239093,0.7306010723,1
84,227,-0.1077254713,0.388174206,1
84,243,0.003030139953,0.6603735685,1
84,259,NaN,NaN,2
84,275,-0.05236025155,0.05668328702,1
84,291,-0.2835943699,-0.1224028021,1
84,307,NaN,NaN,2
84,323,-0.100338459,0.002207100391,1
84,339,0.1383048296,0.3576494455,1
84,355,NaN,NaN,2
84,371,NaN,NaN,2
84,387,NaN,NaN,2
84,403,NaN,NaN,2
100,19,0.2660040855,2.410178185,1
100,35,0.5737740993,2.186756134,1
100,51,0.7155253291,1.70763588,1
100,67,0.7004939914,1.351356149,1
100,83,0.4173206091,1.095800281,1
100,99,0.1671343595,1.144386053,1
100,115,-0.1207737327,0.9386789203,1
100,131,-0.2604821026,0.5588395596,1
100,147,-0.1092757285,0.6704540253,1
100,163,0.1009721011,0.484069407,1
100,179,0.3993605375,-0.2054722905,1
100,195,NaN,NaN,2
100,211,NaN,NaN,2
100,227,NaN,NaN,2
100,243,0.3208293617,1.052677155,1
100,259,0.1910915375,0.3050574958,1
100,275,0.04534158111,0.009213536978,1
100,291,-0.240236789,-0.4254978299,1
100,307,NaN,NaN,2
100,323,NaN,NaN,2
100,339,0.03919492662,0.2088505924,1
100,355,NaN,NaN,2
100,371,NaN,NaN,2
100,387,-0.2367245853,-0.08849559724,1
100,403,NaN,NaN,2
116,19,0.1783761382,2.069338799,1
116,35,0.0252597034,2.064015627,1
116,51,0.2998687923,1.709364653,1
116,67,0.5247173309,1.483135343,1
116,83,0.3356176019,0.9967075586,1
116,99,0.2547363937,0.7347316742,1
116,115,0.01756823063,0.7091383338,1
116,131,-0.2446601987,0.4175252914,1
116,147,0.08383562416,0.5451703072,1
116,163,0.3991382122,0.5467888117,1
116,179,0.4233810604,0.01141777635,1
116,195,0.4357599616,-0.1140877903,1
116,211,NaN,NaN,2
116,227,NaN,NaN,2
116,243,NaN,NaN,2
116,259,0.1688141674,0.1971616894,1
116,275,0.1975086033,0.2462283224,1
116,291,0.2809140086,-0.008268941194,1
116,307,2.387844801,1.831766605,1
116,323,NaN,NaN,2
116,339,0.3156150877,0.1303812116,1
116,355,-0.06238854676,0.06515616179,1
116,371,-0.2396750152,-0.2222248167,1
116,387,-0.4366679788,0.0144713074,1
116,403,-0.6283171773,0.1045941636,1
132,19,0.5639163256,1.719578981,1
132,35,0.2732453942,1.692351699,1
132,51,0.4908110499,1.474581718,1
132,67,0.7017613053,1.373829007,1
132,83,0.6266852617,1.045302033,1
132,99,0.6114599705,0.5919135809,1
132,115,0.2310519218,0.4733986259,1
132,131,-0.01977401972,0.285133183,1
132,147,0.5192338228,0.2697671354,1
132,163,0.6127582788,0.0459009409,1
132,179,0.2552739382,-0.09710764885,1
132,195,0.09704637527,-0.2246012539,1
