PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,1.365700006,-0.03330516815,1
20,35,1.339134812,0.8253238797,1
20,51,1.180096984,0.7535474896,1
20,67,1.279413939,0.6550443172,1
20,83,1.474846601,0.2799026966,1
20,99,1.23548007,-0.3138728142,1
20,115,0.9173443317,-0.9098522663,1
20,131,0.8997122049,-1.460163355,1
20,147,0.5418257713,-2.040864229,1
20,163,NaN,NaN,2
20,179,NaN,NaN,2
20,195,NaN,NaN,2
20,211,NaN,NaN,2
20,227,NaN,NaN,2
20,243,0.3325933218,0.6040424705,1
20,259,0.1185925305,0.07209134102,1
20,275,0.46173352,0.2706417441,1
20,291,0.4694756866,0.3970500231,1
20,307,2.015089512,0.256819725,1
20,323,NaN,NaN,2
20,339,NaN,NaN,2
20,355,NaN,NaN,2
20,371,0.03771710396,-0.2259005904,1
20,387,0.1649855375,0.09466862679,1
20,403,2.434220552,-1.586694837,1
36,19,1.007704496,1.01917541,1
36,35,1.464146137,0.9188266993,1
36,51,1.576166034,0.4751833677,1
36,67,1.776255488,0.3604820967,1
36,83,1.812619209,0.201919347,1
36,99,1.225269675,-0.3133507371,1
36,115,0.8683834076,-0.6608650684,1
36,131,1.059521437,-1.154378891,1
36,147,1.468463659,-1.829795122,1
36,163,1.640782237,-1.911277056,1
36,179,1.855553865,-2.403133392,1
36,195,-0.4336686432,-0.5631949306,1
36,211,NaN,NaN,2
36,227,NaN,NaN,2
36,243,0.1638870537,0.2392398715,1
36,259,0.100534901,0.1434382945,1
36,275,0.01606893539,0.04878163338,1
36,291,-0.02009627968,0.1254528165,1
36,307,NaN,NaN,2
36,323,0.4163248539,0.1891683936,1
36,339,-0.7094702721,-2.0452528,1
36,355,0.04916792363,0.2308863401,1
36,371,0.1771178693,0.2543466091,1
36,387,0.3579673469,0.4178851545,1
36,403,0.04037034512,0.8696683049,1
52,19,0.8899474144,1.742927194,1
52,35,1.523620129,1.15147531,1
52,51,1.917894125,0.45480901,1
52,67,2.149571419,0.1615235507,1
52,83,1.798314333,0.01579295844,1
52,99,1.366001964,-0.3271313906,1
52,115,1.180789709,-0.7222727537,1
52,131,1.418074727,-1.327180266,1
52,147,2.02030921,-1.675572395,1
52,163,2.112303257,-1.561512709,1
52,179,0.7949023247,-1.100373268,1
52,195,-1.153979897,-0.413300246,1
52,211,-0.2715635896,-0.9746696353,1
52,227,NaN,NaN,2
52,243,0.04203207418,0.1533308029,1
52,259,-0.04211872071,0.1328639388,1
52,275,-0.2708769441,-0.2422165275,1
52,291,-0.2945846319,-0.281612426,1
52,307,-0.117900975,0.1410713792,1
52,323,0.2115067542,-0.125454694,1
52,339,-0.6381980181,-1.754631281,1
52,355,1.459187269,1.22945869,1
52,371,0.2194859385,0.219630152,1
52,387,0.3105917573,0.2427252233,1
52,403,-0.1664523184,0.4263685346,1
68,19,1.031481266,1.792826891,1
68,35,1.511853337,1.152630091,1
68,51,1.634527087,0.468573153,1
68,67,1.80737114,0.102787286,1
68,83,1.7167027,-0.1337262988,1
68,99,1.383431196,-0.4906412065,1
68,115,1.322303772,-0.7461506128,1
68,131,1.7155509,-1.228561401,1
68,147,2.010477543,-1.213811159,1
68,163,1.811597109,-1.392547488,1
68,179,1.210600138,-1.196174622,1
68,195,NaN,NaN,2
68,211,-0.5221726894,-0.4456869662,1
68,227,0.04638394713,-0.4066314101,1
68,243,NaN,NaN,2
68,259,-0.2766826749,0.2147605568,1
68,275,NaN,NaN,2
68,291,0.09592232853,-0.6832447052,1
68,307,0.06104447693,0.005894988775,1
68,323,0.004083506763,-0.1406495124,1
68,339,NaN,NaN,2
68,355,NaN,NaN,2
68,371,0.3621314764,0.05972173437,1
68,387,0.140381813,0.03494256735,1
68,403,-0.3490316272,-0.1518213451,1
84,19,0.9385794401,1.734361649,1
84,35,1.228802919,1.323138118,1
84,51,1.29062748,0.83422786,1
84,67,1.490555763,0.2934633791,1
84,83,1.497729301,-0.1110321805,1
84,99,1.424526691,-0.4588397443,1
84,115,1.504749417,-0.6577711105,1
84,131,1.692244768,-0.8611822128,1
84,147,1.804112911,-0.9567761421,1
84,163,1.457533717,-1.115645647,1
84,179,0.9067344069,-1.743890524,1
84,195,0.4231635332,-0.4582782984,1
84,211,0.3792733252,-0.5892760754,1
84,227,0.3019105792,-0.3541061878,1
84,243,-0.02401111275,0.1418330222,1
84,259,-0.1948837936,0.3996410668,1
84,275,0.03135892376,0.0954765752,1
84,291,0.8087356091,-0.9454895854,1
84,307,0.1113984585,-0.1127354503,1
84,323,0.02087791264,-0.1943858564,1
84,339,NaN,NaN,2
84,355,NaN,NaN,2
84,371,0.2953093648,0.03656645119,1
84,387,0.03048471734,-0.004752349108,1
