PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 4, filenames: A:[4]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[5]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,0.833563745,0.7463967204,1
20,35,-0.722387135,0.8240157366,1
20,51,NaN,NaN,2
20,67,NaN,NaN,2
20,83,-1.348261833,1.034668922,1
20,99,-1.386399031,0.394323349,1
20,115,-1.007121801,-0.08421498537,1
20,131,-0.5424953699,-0.3385352194,1
20,147,-0.4539061189,-0.4204719663,1
20,163,-0.4029797912,-0.06427960098,1
20,179,0.04475221038,-0.2197777927,1
20,195,0.1500790119,-0.1142464876,1
20,211,-0.1443332732,-0.8101450205,1
20,227,-0.2385888547,-0.9666846991,1
20,243,-0.3159271777,0.08673200011,1
20,259,0.1378803849,0.1329382062,1
20,275,0.5752917528,-0.3610917926,1
20,291,0.423178792,-0.6191980839,1
20,307,NaN,NaN,2
20,323,2.375840425,-1.342018247,1
20,339,NaN,NaN,2
20,355,NaN,NaN,2
20,371,0.05783224106,-0.5213968754,1
20,387,0.3353594542,-0.8055699468,1
20,403,1.37019062,0.7922809124,1
36,19,-0.1770921946,1.350396395,1
36,35,-0.7386006713,1.265952826,1
36,51,-0.9674222469,1.345905304,1
36,67,-1.007366419,1.548660755,1
36,83,-0.9499719143,1.426613808,1
36,99,-0.8573126793,1.002903342,1
36,115,-0.7186229229,0.7575069666,1
36,131,-0.5318938494,0.3586997986,1
36,147,-0.492185533,-0.2800576091,1
36,163,-0.4239138961,-0.4211109281,1
36,179,-0.3614624143,-0.6107873917,1
36,195,-0.424556762,-0.4741905928,1
36,211,NaN,NaN,2
36,227,NaN,NaN,2
36,243,NaN,NaN,2
36,259,-0.4308841228,-0.1669245064,1
36,275,-0.1346258521,-0.398336798,1
36,291,0.4000712037,-0.5400702357,1
36,307,NaN,NaN,2
36,323,0.2194326222,0.007094964385,1
36,339,NaN,NaN,2
36,355,NaN,NaN,2
36,371,-0.0328832455,0.05156177282,1
