PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 8, filenames: A:[8]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,1.590222597,1.898478985,1
20,35,1.323022485,1.228464484,1
20,51,1.409520149,0.6141908765,1
20,67,1.60001111,0.6243107319,1
20,83,1.567220926,0.6223332286,1
20,99,1.562426329,0.3657544851,1
20,115,1.619038582,0.181203723,1
20,131,1.800826073,0.3083697855,1
20,147,1.805599689,0.1963119507,1
20,163,1.595118165,-0.2840049863,1
20,179,0.4413552284,-0.03847763687,1
20,195,-1.17841363,0.420986414,1
20,211,-1.113673329,0.2789445817,1
20,227,-0.3019192815,-0.3657125235,1
20,243,-0.177761972,-0.1574991941,1
20,259,NaN,NaN,2
20,275,NaN,NaN,2
20,291,NaN,NaN,2
20,307,0.5630151033,0.05849176645,1
20,323,NaN,NaN,2
20,339,0.1076723039,0.259282589,1
20,355,-0.1626802683,0.159135282,1
20,371,-0.7454837561,-0.08592152596,1
20,387,0.5852376223,-0.08080780506,1
20,403,NaN,NaN,2
36,19,1.169819474,1.366525173,1
36,35,1.499776721,1.37458694,1
36,51,1.519216418,1.202719092,1
36,67,1.61638999,1.130568862,1
36,83,1.66787231,1.071215987,1
36,99,1.818590641,0.8066592216,1
36,115,2.031362772,0.5167261958,1
36,131,2.054222107,0.2644338608,1
36,147,2.00029707,-0.01138974726,1
36,163,1.642092705,-0.2218974829,1
36,179,0.7538775206,-0.05085488409,1
36,195,-0.007956534624,0.3935206234,1
36,211,-0.1888035536,0.4809878469,1
36,227,-0.0664357096,0.5251745582,1
36,243,-0.2126756012,0.1560898423,1
36,259,NaN,NaN,2
36,275,NaN,NaN,2
36,291,-0.08790758252,0.4459723532,1
36,307,0.08139525354,0.1196619943,1
36,323,NaN,NaN,2
36,339,NaN,NaN,2
36,355,0.03033533692,-0.09196944535,1
36,371,-0.8071224689,0.03456410766,1
36,387,NaN,NaN,2
36,403,0.5257158279,-1.468684793,1
52,19,1.031048417,1.130331278,1
52,35,1.157200694,1.50853014,1
52,51,1.408361912,1.399279714,1
52,67,1.680463195,1.391590953,1
52,83,1.70465064,1.14921236,1
52,99,1.751763701,0.8309295177,1
52,115,1.91275537,0.6489815712,1
52,131,2.007468939,0.3818622828,1
52,147,2.126333714,0.04133690894,1
52,163,1.991353631,-0.1539312601,1
52,179,NaN,NaN,2
52,195,2.605177164,-1.674221039,1
52,211,2.287076712,0.3487125635,1
52,227,NaN,NaN,2
52,243,-0.1869056374,0.3580786884,1
52,259,NaN,NaN,2
52,275,NaN,NaN,2
52,291,0.2780364752,-1.940103173,1
52,307,-0.3721202612,-0.1884010136,1
52,323,-0.2223104835,-0.1037142575,1
52,339,-0.7223058939,-0.1591327786,1
52,355,-0.9926586747,0.1289792955,1
52,371,-0.7653754354,0.01089594513,1
52,387,0.2368603647,-0.1336381882,1
52,403,0.3491789103,-0.2119056731,1
68,19,1.424210787,0.9748452902,1
68,35,1.438253403,1.168735504,1
68,51,1.453224182,1.336478233,1
68,67,1.368703365,1.617036223,1
68,83,1.420349956,1.172618389,1
68,99,1.416365027,0.773824811,1
68,115,1.499087334,0.7260900736,1
68,131,1.756729722,0.5547913313,1
68,147,1.926907778,0.1595353186,1
68,163,1.750111699,-0.307641089,1
68,179,1.875382781,-0.2737995386,1
68,195,-0.234329164,-0.3749675453,1
68,211,NaN,NaN,2
68,227,NaN,NaN,2
68,243,0.04258633405,0.124734357,1
68,259,-0.09377557039,-0.006137445569,1
68,275,-0.1080055833,-0.04895751923,1
68,291,-0.3616087139,0.1695202589,1
68,307,-0.684838891,-0.02267265506,1
68,323,NaN,NaN,2
68,339,-0.2308394462,0.05639838427,1
68,355,-0.2867975831,-0.07040943205,1
68,371,0.07777105272,0.08185259253,1
68,387,0.2407388091,0.2604296803,1
68,403,-0.03823757172,0.08338440955,1
84,19,1.435036302,1.196161628,1
84,35,1.589356184,1.496086597,1
84,51,1.570914626,2.125794888,1
84,67,1.194457054,1.623669028,1
84,83,1.116283536,1.102142811,1
84,99,1.274767756,0.747849226,1
84,115,1.239896297,0.5754475594,1
84,131,1.340889573,0.3405936658,1
84,147,1.555762529,0.02211976051,1
84,163,1.495792389,-0.6026087999,1
84,179,1.054709554,-0.4176849127,1
84,195,0.2034977973,-0.2732402384,1
84,211,0.4662798941,-0.2668807507,1
84,227,NaN,NaN,2
84,243,NaN,NaN,2
84,259,-0.005450226367,-0.3544239104,1
84,275,-0.05639030039,-0.07177507877,1
84,291,-0.3626781106,0.03867729008,1
84,307,-0.5533959866,-0.003318434581,1
84,323,NaN,NaN,2
84,339,NaN,NaN,2
84,355,0.007845401764,0.1294752806,1
84,371,NaN,NaN,2
84,387,0.8125882745,-0.158688277,1
84,403,0.5629767179,-0.2008015513,1
100,19,1.36322093,1.50400281,1
100,35,1.452103138,1.840996742,1
100,51,1.392118335,2.194735527,1
100,67,1.181098223,1.48070848,1
100,83,1.18740952,0.9585931301,1
100,99,1.202526093,0.4843347073,1
100,115,1.16048193,0.347200036,1
100,131,1.018663049,0.2456930876,1
100,147,0.8237435818,-0.1864908934,1
100,163,0.7668447495,-0.3944972754,1
100,179,0.2814587355,-0.2595837116,1
100,195,0.4018128812,-0.4085568786,1
100,211,0.9042466879,-0.4797585309,1
100,227,NaN,NaN,2
100,243,0.03989887983,-0.2359024286,1
100,259,-0.1026228592,-0.3311145008,1
100,275,-0.2133894563,-0.2477966547,1
100,291,-0.6318013668,0.04666596651,1
100,307,-1.068954468,0.8066288829,1
100,323,NaN,NaN,2
100,339,NaN,NaN,2
100,355,NaN,NaN,2
100,371,NaN,NaN,2
100,387,NaN,NaN,2
100,403,NaN,NaN,2
116,19,1.098298788,1.338820577,1
116,35,1.139031172,1.748943448,1
116,51,1.271042228,1.70698607,1
116,67,1.748326778,1.282921672,1
116,83,1.882302284,0.693584621,1
116,99,1.547162652,0.1125797331,1
116,115,1.273502469,0.1776609421,1
116,131,1.039635658,0.08922845125,1
116,147,0.7625504732,-0.3353936672,1
116,163,0.845040679,-0.4753236771,1
116,179,0.8967496753,-0.4423736036,1
116,195,-0.5609844923,-0.2428059131,1
116,211,-0.5914267302,-0.04808148742,1
116,227,0.6434818506,-0.2075969875,1
116,243,0.07068276405,0.0676202327,1
116,259,-0.1924200505,0.2500111461,1
116,275,-0.2897708416,0.4724009037,1
116,291,NaN,NaN,2
116,307,NaN,NaN,2
116,323,NaN,NaN,2
116,339,NaN,NaN,2
116,355,-1.252057195,-2.074306011,1
116,371,NaN,NaN,2
116,387,NaN,NaN,2
116,403,NaN,NaN,2
132,19,0.7046870589,1.114911199,1
