PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
116,259,0.2530568242,0.01134680957,1
116,275,NaN,NaN,2
116,291,NaN,NaN,2
116,307,0.1335756481,0.2787032127,1
116,323,0.1619772166,0.6322135925,1
116,339,0.1493579447,0.4426423311,1
116,355,0.01699127257,0.3235371113,1
116,371,-0.6756927967,0.4822801948,1
116,387,-1.201088428,0.1137568653,1
116,403,0.3465447724,-0.02150998265,1
132,19,0.1332662404,3.34886837,1
132,35,-0.5043417811,3.113447905,1
132,51,-0.3076720238,3.062877178,1
132,67,0.2800712585,3.377563238,1
132,83,0.7038958073,3.542857409,1
132,99,1.133491397,2.893316031,1
132,115,1.559262991,2.651519299,1
132,131,1.772040129,2.351185799,1
132,147,1.268969655,1.740018606,1
132,163,0.9925451279,1.060308695,1
132,179,1.09292686,1.139334202,1
132,195,NaN,NaN,2
132,211,-0.8567228317,-0.9618309736,1
132,227,0.4160573483,2.626967669,1
132,243,NaN,NaN,2
132,259,NaN,NaN,2
132,275,NaN,NaN,2
132,291,-0.374022603,0.3441927433,1
132,307,NaN,NaN,2
132,323,NaN,NaN,2
132,339,0.03849926591,0.7366284132,1
132,355,-1.280136347,1.349258184,1
132,371,-1.062428236,0.8978084326,1
132,387,-0.711548388,-0.3225563169,1
132,403,0.4476183653,0.6360158324,1
148,19,0.3198061287,3.471416712,1
148,35,-0.1765502691,3.134520292,1
148,51,0.02559389919,3.076039553,1
148,67,0.4277018309,3.273373604,1
148,83,0.5812645555,3.398647547,1
148,99,0.8638516068,2.990897894,1
148,115,1.266376495,2.842068911,1
148,131,1.335064173,2.599496126,1
148,147,0.7890037298,1.973336458,1
