PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 7, filenames: A:[7]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[8]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-0.3313174248,2.522637844,1
20,35,-0.859750092,2.853114128,1
20,51,-0.7667367458,2.628067255,1
20,67,-0.5374175906,2.409539461,1
20,83,-0.4241731167,1.809608221,1
20,99,-0.231629163,1.103680134,1
20,115,-0.1935763657,0.7439615726,1
20,131,-0.3574516177,1.007928491,1
20,147,-0.3055275679,0.8081173897,1
20,163,-0.3604978323,0.2436182499,1
20,179,-0.970176816,-0.923504889,1
20,195,NaN,NaN,2
20,211,NaN,NaN,2
20,227,NaN,NaN,2
20,243,NaN,NaN,2
20,259,-0.4338521361,-0.1796965599,1
20,275,0.2412219048,-0.07009023428,1
20,291,NaN,NaN,2
20,307,NaN,NaN,2
20,323,NaN,NaN,2
20,339,NaN,NaN,2
20,355,0.1088960767,-0.1345103979,1
20,371,-0.0416085273,-0.2393093109,1
20,387,0.1991327703,0.03678391874,1
20,403,NaN,NaN,2
36,19,-1.168877959,2.255440474,1
36,35,-0.747731626,2.334582806,1
36,51,-0.51000458,2.347160101,1
36,67,-0.4762207866,2.132535458,1
36,83,-0.649019599,1.816243291,1
36,99,-0.631013751,1.345505476,1
36,115,-0.3924224377,0.8778223991,1
36,131,-0.3093219697,0.8769398928,1
36,147,-0.2592091262,0.6513165832,1
36,163,-0.1791356206,0.2134485245,1
36,179,-0.9403179288,-1.589578986,1
36,195,NaN,NaN,2
36,211,NaN,NaN,2
36,227,0.3503625989,-0.07311720401,1
36,243,NaN,NaN,2
36,259,-0.3167898953,0.2123494446,1
36,275,-0.23962529,-0.06151697785,1
36,291,NaN,NaN,2
36,307,NaN,NaN,2
36,323,NaN,NaN,2
36,339,NaN,NaN,2
36,355,0.1927794069,0.05380500853,1
36,371,0.1302973181,-0.02240224183,1
36,387,NaN,NaN,2
36,403,NaN,NaN,2
52,19,-1.16183722,2.110770941,1
52,35,-0.8076602221,2.174933434,1
52,51,-0.4108659625,2.165049314,1
52,67,-0.570550561,1.825704098,1
52,83,-0.773314476,1.581943154,1
52,99,-0.6389504671,1.345790625,1
52,115,-0.4087679982,0.9450690746,1
52,131,-0.1875990629,0.7851081491,1
52,147,-0.02127531171,0.7100750208,1
52,163,0.2459994406,0.3530281782,1
52,179,0.5363221765,0.2355730087,1
52,195,-0.1059068367,-0.08221076429,1
52,211,NaN,NaN,2
52,227,NaN,NaN,2
52,243,-0.3105877638,0.7100939751,1
52,259,-0.223431617,0.5667468309,1
52,275,-0.1726243198,-0.07963453233,1
52,291,NaN,NaN,2
52,307,0.1398882568,-0.6599364877,1
52,323,-0.170373559,-0.2743063569,1
52,339,-0.7455620766,0.6352643967,1
52,355,0.8249160051,0.173843205,1
52,371,0.4909794033,-0.1838959455,1
52,387,-0.009714588523,-0.4849734008,1
52,403,-0.1026249304,-0.2025016546,1
68,19,-0.7921272516,2.195346355,1
68,35,-0.6745575666,2.126392603,1
68,51,-0.4776724577,2.116859913,1
68,67,-0.8213925958,1.946377397,1
68,83,-0.9382520318,1.724131703,1
68,99,-0.6749665737,1.365959525,1
68,115,-0.5345110893,0.9717373848,1
68,131,-0.3720104098,0.8384842277,1
68,147,-0.05731359124,0.6228888035,1
68,163,0.4095396101,0.2653588057,1
68,179,0.9435697794,0.1956518292,1
68,195,0.01361329854,-0.1537471712,1
68,211,-0.3241903782,-0.3373222947,1
68,227,NaN,NaN,2
68,243,-0.2924168706,0.4502892494,1
68,259,-0.1989177912,0.4042309225,1
68,275,-0.1853789985,-0.05598766729,1
68,291,-0.09607498348,-0.2744534016,1
68,307,NaN,NaN,2
68,323,-0.3353496194,-0.6964585781,1
68,339,NaN,NaN,2
68,355,NaN,NaN,2
68,371,0.07600522041,-0.6772108674,1
68,387,0.05188273638,-0.3683772683,1
68,403,-0.049517259,0.4148027599,1
84,19,-0.4754397869,2.144478798,1
84,35,-0.8581861258,2.32875371,1
84,51,-0.8929145932,2.361077785,1
84,67,-0.989402771,2.25998497,1
84,83,-0.8764017224,2.008091927,1
84,99,-0.643130362,1.472201943,1
84,115,-0.6487727761,1.04998517,1
84,131,-0.4205634594,0.8525480032,1
84,147,-0.1048173904,0.5212408304,1
84,163,0.3862372935,0.3367844522,1
84,179,0.989169836,-0.05302949995,1
84,195,0.5014166236,-0.1056991816,1
84,211,0.1351266503,-0.2619870901,1
84,227,-0.1462574005,-0.04972504079,1
84,243,-0.184650898,0.7649835348,1
84,259,-0.158271566,0.4165134728,1
84,275,-0.09400203824,-0.2870447338,1
