PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 9, filenames: A:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[10]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-0.7126227617,0.8224768639,1
20,35,-1.007895947,0.7045878172,1
20,51,-1.18145895,0.6352154613,1
20,67,-0.8385415077,0.8560340405,1
20,83,-0.4277055264,1.218495965,1
20,99,-0.532533288,0.9997287989,1
20,115,-0.624892354,0.2549827397,1
20,131,-0.3054107428,-0.6292663217,1
20,147,-0.08129048347,-1.496852756,1
20,163,-0.01374614239,-1.342091799,1
20,179,-0.4240223765,-0.6996662617,1
20,195,NaN,NaN,2
20,211,NaN,NaN,2
20,227,NaN,NaN,2
20,243,0.4730262756,-1.264778376,1
20,259,-0.4987056255,-0.2941153646,1
20,275,-0.7792526484,-0.09633228928,1
20,291,-0.2749724388,-0.1397543848,1
20,307,0.1589530408,-0.1919736266,1
20,323,0.8530588746,0.09330948442,1
20,339,0.03702196479,-0.2127615809,1
20,355,NaN,NaN,2
20,371,NaN,NaN,2
20,387,-0.2516469061,0.2751176357,1
20,403,0.2586874068,2.269876003,1
36,19,-0.7225420475,0.6638791561,1
36,35,-1.048680544,0.732925117,1
36,51,-0.9692970514,0.5231641531,1
36,67,-0.7696477771,0.5157988071,1
36,83,-0.3569680154,0.7293106914,1
36,99,-0.3383272886,0.6207744479,1
36,115,-0.4858409166,0.02692937851,1
36,131,-0.1992923021,-0.4646946192,1
36,147,0.1127499193,-1.005681515,1
36,163,0.475079447,-0.8101192713,1
36,179,-0.2127020061,0.07696574926,1
36,195,-0.5573785305,0.3723467886,1
36,211,-0.4259514213,0.2834118903,1
36,227,-0.07299931347,-0.8059606552,1
36,243,-0.309384495,-1.197224617,1
36,259,NaN,NaN,2
36,275,-0.0203038156,0.2738589048,1
36,291,0.09954831004,-0.5307942629,1
36,307,0.5119705796,-0.1811197996,1
36,323,1.044012308,-0.1379790157,1
36,339,0.6337370872,-0.09755292535,1
36,355,0.2997231781,-0.03446422145,1
36,371,2.195219517,0.1739353687,1
36,387,1.641038895,1.197073817,1
36,403,0.4861472547,0.9462539554,1
52,19,-0.629992485,0.3548904359,1
52,35,-0.6064487696,0.6925358176,1
52,51,-0.6764127016,0.8138333559,1
52,67,-0.5515502691,0.4725051522,1
52,83,-0.2403087318,0.4762341976,1
52,99,-0.2294262797,0.3905963898,1
52,115,-0.2878137231,-0.0533554852,1
52,131,-0.07727789879,-0.514159739,1
52,147,0.4136563241,-1.268061876,1
52,163,0.5828304291,-0.758279562,1
52,179,1.015383244,-0.5210476518,1
52,195,-0.8710456491,0.6314258575,1
52,211,-0.7291392684,1.006992698,1
52,227,-0.08263076842,-0.3073997498,1
52,243,-0.153940171,-0.4937805533,1
52,259,NaN,NaN,2
52,275,NaN,NaN,2
52,291,NaN,NaN,2
52,307,0.3058101833,-0.0308624953,1
52,323,0.5005248785,0.003822907805,1
52,339,0.6211474538,-0.144492507,1
52,355,NaN,NaN,2
52,371,NaN,NaN,2
