PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 10, filenames: A:[10]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[11]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.2412508726,3.645387173,1
47,65,0.2052201033,0.1494540274,1
47,97,0.9756200314,-0.3977069259,1
47,129,NaN,NaN,2
47,161,0.0921485424,-0.05642554164,1
47,193,-0.3514215946,0.388640821,1
47,225,0.4667019844,0.6182442307,1
47,257,2.616288424,1.340636969,1
47,289,NaN,NaN,2
47,321,1.944194794,3.406084538,1
47,353,0.08334952593,2.79557991,1
47,385,0.1316627264,2.4262743,1
47,417,-0.6549025774,3.282330275,1
47,449,0.3421618342,1.630229473,1
47,481,0.1239852607,0.6982307434,1
47,513,-0.2415904999,1.143511176,1
47,545,0.3006511927,0.06263637543,1
47,577,0.3463422954,-0.2228271961,1
47,609,0.2272427082,1.657998562,1
47,641,1.087111235,2.023761749,1
47,673,2.527701616,5.356852531,1
47,705,3.206107616,4.28685236,1
47,737,0.4021134377,0.9204995632,1
47,769,0.6883621216,2.260069609,1
47,801,0.6805152893,2.534010649,1
47,833,1.678158283,2.3160851,1
47,865,2.679764748,2.464681864,1
47,897,NaN,NaN,2
47,929,NaN,NaN,2
47,961,2.348130941,4.787943363,1
47,993,1.406891823,3.576084614,1
47,1025,1.5811553,1.885364532,1
47,1057,2.391821861,1.493854284,1
47,1089,1.641725302,1.818630219,1
47,1121,-0.04044985771,2.759967566,1
47,1153,NaN,NaN,2
47,1185,NaN,NaN,2
47,1217,NaN,NaN,2
47,1249,5.243799686,3.752155781,1
47,1281,5.612915039,3.738740444,1
47,1313,4.703804016,3.96010375,1
47,1345,3.774172306,4.087669373,1
47,1377,2.937060833,2.180771828,1
47,1409,3.447329521,1.194586396,1
47,1441,3.700363159,0.3456567526,1
47,1473,4.630114079,0.2888947725,1
47,1505,4.174555302,0.7860914469,1
47,1537,4.384964943,0.3858149052,1
47,1569,1.447291374,0.6130042076,1
47,1601,0.6414974928,0.5016218424,1
47,1633,0.9795448184,-0.1723721623,1
47,1665,1.566022277,-0.1711627841,1
47,1697,2.603197098,0.5383388996,1
47,1729,2.399572611,0.7025057673,1
47,1761,0.3869299889,0.3535683155,1
47,1793,1.016908646,-0.5103641748,1
47,1825,1.979317665,1.072041392,1
47,1857,2.088786125,1.055579901,1
47,1889,1.128613353,1.192168474,1
47,1921,0.1665174961,2.700005054,1
47,1953,-0.4204804897,2.861256599,1
47,1985,-0.5598304868,-0.01634518802,1
47,2017,NaN,NaN,2
79,33,-0.5566741228,3.286024809,1
79,65,0.3083073497,0.275804311,1
79,97,0.8063876033,-0.6663147807,1
79,129,NaN,NaN,2
79,161,1.379304647,0.3080130517,1
79,193,1.041750073,0.841391921,1
79,225,2.311864376,1.306887388,1
79,257,3.228990555,1.997087002,1
79,289,2.369949102,3.147641182,1
79,321,0.394215107,3.544012785,1
79,353,0.6717222929,4.358177185,1
79,385,0.6783852577,2.715124607,1
79,417,-0.1139229238,2.940487146,1
79,449,0.4731065035,1.977463841,1
79,481,0.7123560309,0.8694348335,1
79,513,0.05105349422,1.398320198,1
79,545,0.6379184127,1.122132301,1
79,577,0.8387212157,1.118058205,1
79,609,1.332797766,1.912973642,1
79,641,1.806607723,0.9118692875,1
79,673,1.719367981,3.042474747,1
79,705,2.033100367,0.7082362175,1
79,737,3.09606719,3.521675348,1
79,769,1.813916445,6.161325455,1
79,801,1.166149616,5.233677387,1
79,833,1.638715982,5.838088036,1
79,865,0.9712496996,3.740648508,1
79,897,1.572711825,3.620504618,1
79,929,1.8849262,2.217035532,1
79,961,1.556903601,2.770481348,1
79,993,1.667757034,3.266514063,1
79,1025,1.819942713,2.666008949,1
79,1057,2.112726927,2.358998299,1
79,1089,2.594282866,2.475034714,1
79,1121,2.31824398,1.762353897,1
79,1153,2.271389484,1.936038613,1
79,1185,NaN,NaN,2
79,1217,5.627137184,5.06444788,1
79,1249,5.085811615,3.633806229,1
79,1281,NaN,NaN,2
79,1313,4.336909771,2.727444887,1
79,1345,3.597356319,2.625027895,1
79,1377,2.60013032,1.958443165,1
79,1409,2.316842556,1.86959064,1
79,1441,3.209142685,1.737190604,1
79,1473,2.855113268,1.295375347,1
79,1505,2.186636925,0.6450405121,1
79,1537,2.075720549,-0.2012574673,1
79,1569,3.128407478,0.1536540389,1
79,1601,2.254159927,0.9834969044,1
79,1633,1.079493999,1.085420609,1
79,1665,1.034567595,0.6117443442,1
79,1697,1.209192157,0.6103116274,1
79,1729,1.426028967,-0.473436147,1
79,1761,0.2629517317,1.390094995,1
79,1793,1.071860313,1.624595881,1
79,1825,1.222445965,0.1974531561,1
79,1857,0.9064683914,-0.08489965647,1
79,1889,0.3992160559,0.1244545579,1
79,1921,-0.5977847576,0.5142211914,1
79,1953,-0.4639084339,0.9840139151,1
79,1985,-0.2458345294,-0.1467161775,1
79,2017,1.075875759,-3.245670795,1
111,33,-0.7873892784,2.618469715,1
111,65,0.06367371976,0.309546262,1
111,97,0.3542747498,-0.3821699619,1
111,129,0.7433954477,-0.5018287897,1
111,161,2.592223167,-0.4438993335,1
111,193,0.1222169399,1.125946999,1
111,225,1.166873932,1.803003669,1
111,257,2.178911448,1.762827992,1
111,289,0.6455322504,1.99942112,1
111,321,0.3033946157,2.959376574,1
111,353,0.6844240427,2.652010918,1
111,385,0.6671099067,2.350266933,1
111,417,-0.0635548234,1.821675658,1
111,449,-0.05396252871,1.572002769,1
111,481,0.3274237812,2.110353231,1
111,513,-0.4133648574,2.228108883,1
111,545,0.4440691471,1.644462347,1
111,577,0.636631608,1.218798995,1
111,609,0.6950548887,1.864156723,1
111,641,2.107862473,2.565400839,1
111,673,NaN,NaN,2
111,705,NaN,NaN,2
111,737,NaN,NaN,2
111,769,NaN,NaN,2
111,801,1.006961346,5.134498119,1
111,833,1.646412015,5.384057522,1
111,865,1.587843418,3.879734039,1
111,897,1.319406271,2.968646288,1
111,929,1.589369297,1.870150328,1
111,961,1.616985202,1.719378948,1
111,993,1.850923419,2.576756716,1
111,1025,NaN,NaN,2
111,1057,1.616672993,3.003673077,1
111,1089,2.550705194,2.857230663,1
111,1121,3.135991812,1.628065825,1
111,1153,3.643845797,2.694709539,1
111,1185,3.420696735,3.466633081,1
111,1217,4.498537064,6.182964802,1
111,1249,5.293241501,3.41500473,1
111,1281,5.723549366,3.141417742,1
111,1313,7.14993,3.019042969,1
111,1345,6.150861263,2.516085863,1
111,1377,3.88876152,2.473782539,1
111,1409,2.949691057,2.463521481,1
111,1441,2.564284325,3.194569588,1
111,1473,2.500419855,1.828037262,1
111,1505,2.523142338,0.4003102779,1
111,1537,1.603780985,-0.3639519215,1
111,1569,2.235929966,-0.295571208,1
111,1601,2.709824085,0.8274267912,1
111,1633,1.569295883,1.107705474,1
111,1665,1.06958282,0.814470768,1
111,1697,1.100412488,0.5469759107,1
111,1729,1.038541555,-0.9558952451,1
111,1761,0.6590234041,0.8091449142,1
111,1793,0.447159946,1.094838738,1
111,1825,1.154737949,-1.19127059,1
111,1857,0.7183780074,-1.277270198,1
111,1889,0.1902752817,-1.079062462,1
111,1921,2.796805143,1.131887913,1
111,1953,0.7578629255,0.1974956095,1
111,1985,0.4591187239,-0.1110429764,1
111,2017,1.243666887,-0.6732238531,1
143,33,-0.05794355273,1.821248531,1
143,65,0.01796488464,0.2891759276,1
143,97,0.213567853,-0.3101704121,1
143,129,0.5173591375,-0.9815555811,1
143,161,1.204098821,-2.036566496,1
143,193,0.5726976991,0.9899507165,1
143,225,0.9286408424,1.795415878,1
143,257,0.993986845,2.129320621,1
143,289,0.2976045609,1.965990305,1
143,321,0.1469016075,2.470333576,1
143,353,0.03510847688,2.200087547,1
143,385,0.1765117049,2.099588871,1
143,417,0.2157533467,2.143250465,1
143,449,0.09866857529,1.958848476,1
143,481,0.2311478257,2.318596363,1
143,513,NaN,NaN,2
143,545,0.7916393876,1.75068152,1
143,577,1.027458191,1.71727705,1
143,609,1.15218091,2.372140408,1
143,641,2.240459204,4.048717499,1
143,673,NaN,NaN,2
143,705,NaN,NaN,2
143,737,NaN,NaN,2
143,769,NaN,NaN,2
143,801,NaN,NaN,2
143,833,1.699386597,4.630565643,1
143,865,1.915359259,4.438504219,1
143,897,1.995727539,4.098585606,1
143,929,2.047446012,3.510913134,1
143,961,1.902536273,3.644682407,1
143,993,1.698060989,4.802479744,1
143,1025,1.953167319,3.490717649,1
143,1057,2.066095829,3.220779419,1
143,1089,2.428002596,3.022873402,1
143,1121,6.604207993,4.512248993,1
143,1153,6.711790562,3.816535234,1
143,1185,5.151945114,3.548525095,1
143,1217,3.211296558,6.345579147,1
143,1249,3.504570961,2.942440271,1
143,1281,4.794478416,3.753190517,1
143,1313,6.512760639,3.006352425,1
143,1345,2.777060032,0.6721793413,1
143,1377,2.279513836,-0.02036643028,1
143,1409,3.627905369,1.245904446,1
143,1441,0.4103417397,2.738657475,1
143,1473,0.7969179153,2.188395977,1
143,1505,1.659301877,1.238717794,1
143,1537,1.322765112,0.1794580817,1
143,1569,1.803322077,0.1778917313,1
143,1601,1.749458671,0.9181534052,1
143,1633,1.41857028,1.327885747,1
143,1665,0.398075819,0.1671206951,1
143,1697,0.4062744379,-0.2400601208,1
143,1729,1.065513611,-0.4539863467,1
143,1761,1.733877301,-0.1889946163,1
143,1793,1.429675579,0.8245228529,1
143,1825,0.9206799269,0.4902262986,1
143,1857,0.8024632931,-1.046633959,1
143,1889,0.7271234989,-2.183019638,1
143,1921,NaN,NaN,2
143,1953,0.1545456052,0.235177815,1
143,1985,0.227977857,-0.07934181392,1
143,2017,0.3571648598,0.11378932,1
175,33,0.02260744572,1.08608675,1
175,65,-0.09129744768,0.3759539723,1
175,97,-0.1931957603,0.320170939,1
175,129,-0.2368143499,-0.02285547554,1
175,161,0.773052454,-0.07250922918,1
175,193,1.700793028,0.6898978949,1
175,225,0.9108863473,1.406666994,1
175,257,0.4176499248,2.312333584,1
175,289,0.3094813526,2.163643837,1
175,321,0.08039301634,2.143167734,1
175,353,-0.4037196636,2.002996922,1
175,385,-0.005284413695,2.157331467,1
175,417,0.4173500538,2.619994402,1
175,449,0.5517795086,2.641545296,1
175,481,-0.2710707784,3.528865099,1
175,513,0.2878919542,2.264800072,1
175,545,0.730848968,1.631085634,1
175,577,1.623273373,2.352948189,1
175,609,1.797546029,3.195684671,1
175,641,3.879491568,5.217195988,1
175,673,NaN,NaN,2
175,705,2.064383507,4.746635914,1
175,737,NaN,NaN,2
175,769,NaN,NaN,2
175,801,1.735655546,4.897583008,1
175,833,2.263397455,4.915984631,1
175,865,2.565883398,4.527571201,1
175,897,2.28194952,4.443082809,1
175,929,2.274559736,4.119810104,1
175,961,2.207131863,3.981853008,1
175,993,1.485793233,3.907370567,1
175,1025,-0.2688597441,4.108250141,1
175,1057,NaN,NaN,2
175,1089,1.314381361,3.321549177,1
175,1121,3.947479486,3.908674955,1
175,1153,5.414462566,4.146237373,1
175,1185,NaN,NaN,2
175,1217,2.801187277,6.147722244,1
175,1249,NaN,NaN,2
175,1281,2.755215883,1.231834888,1
175,1313,3.968845844,1.568026185,1
175,1345,1.823810101,0.4660966992,1
175,1377,1.519060493,0.3226518631,1
175,1409,3.531067848,1.43788743,1
175,1441,0.7386738062,2.108736992,1
175,1473,0.7924551964,2.200671673,1
175,1505,0.9717696905,1.548168063,1
175,1537,1.894408464,1.082281232,1
175,1569,1.994746804,0.7676805854,1
175,1601,1.671927452,0.912120223,1
175,1633,1.698556185,1.168310165,1
175,1665,1.53666997,0.4320245981,1
175,1697,1.609588027,0.5113748312,1
175,1729,2.617018223,0.8974324465,1
175,1761,4.16678381,0.3413594961,1
175,1793,1.959059119,0.5575737953,1
175,1825,0.728292346,0.3329834044,1
175,1857,0.8496477604,-0.2416785061,1
175,1889,0.9149866104,-1.047586322,1
175,1921,0.7340549827,-0.3461511731,1
175,1953,-0.176198408,0.05341809988,1
175,1985,-0.2937702239,-0.06779749691,1
175,2017,-0.3433802426,-0.179662779,1
207,33,-0.2099449933,0.6309130192,1
207,65,0.2206046879,0.5006989837,1
207,97,0.2266719341,0.256655246,1
207,129,-0.5180180073,-0.0979243964,1
207,161,0.4029282331,0.1206546426,1
207,193,0.9736263156,0.5002504587,1
207,225,1.632791281,1.069030046,1
207,257,0.4085212946,2.068834543,1
207,289,0.2876236141,2.170678139,1
207,321,0.5293300748,1.887421727,1
207,353,-0.08415599167,2.013838291,1
207,385,-0.1652916223,2.570916653,1
207,417,-0.2022063583,2.993103981,1
207,449,-0.1352665275,3.071108341,1
207,481,-0.8675442934,2.322791338,1
207,513,-0.6824910641,1.608646393,1
207,545,0.500665307,1.238272429,1
207,577,1.52777648,2.625403881,1
207,609,2.576941013,3.656166792,1
207,641,5.296252728,4.586058617,1
207,673,5.441637993,5.102777481,1
207,705,1.871499538,4.916537285,1
207,737,NaN,NaN,2
207,769,2.279230595,2.322592258,1
207,801,3.042953968,5.078384399,1
207,833,3.047342539,6.050268173,1
207,865,3.16759181,4.55580759,1
207,897,2.490421772,4.669872284,1
207,929,2.419727325,4.566932201,1
207,961,2.364687443,4.585911274,1
207,993,1.901518345,4.332615852,1
207,1025,0.1882187128,3.66765213,1
