PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.227411509,-0.6453256607,1
47,65,-1.714202166,0.2782191634,1
47,97,-1.582544565,-0.5446648598,1
47,129,-0.5276596546,-1.167223692,1
47,161,-1.278161764,0.2798153162,1
47,193,1.129682899,0.1505731642,1
47,225,1.90622282,1.585405946,1
47,257,1.92638731,2.800312281,1
47,289,2.390601397,2.376832485,1
47,321,2.415847301,1.739930272,1
47,353,1.944588184,0.7799465656,1
47,385,1.132987261,0.2327340841,1
47,417,1.993044853,1.652927876,1
47,449,1.526669741,1.387877464,1
47,481,1.504177928,0.5672763586,1
47,513,1.865774393,0.6874468327,1
47,545,2.171392918,0.6589510441,1
47,577,2.231883287,0.5986780524,1
47,609,1.489242792,0.3954029679,1
47,641,1.001334786,0.691398263,1
47,673,2.957448006,2.638331413,1
47,705,1.665799499,1.388935328,1
47,737,2.205303669,1.163806677,1
47,769,2.574783325,1.900304675,1
47,801,2.063877821,2.268300533,1
47,833,0.2102227211,2.163969994,1
47,865,NaN,NaN,2
47,897,1.448435783,1.128427505,1
47,929,1.49464798,0.7895648479,1
47,961,NaN,NaN,2
47,993,7.335712433,1.439642668,1
47,1025,5.505876541,1.253493071,1
47,1057,4.334574223,2.934021473,1
47,1089,4.630702972,3.960517883,1
47,1121,4.302868366,4.278450966,1
47,1153,3.688733101,3.856276512,1
47,1185,1.642203569,2.067494392,1
47,1217,2.583641529,1.722095013,1
47,1249,3.261907101,1.864216208,1
47,1281,2.766312599,3.080910206,1
47,1313,1.902549028,1.932164669,1
47,1345,1.704311371,-0.2435004711,1
47,1377,1.679487467,-0.7650686502,1
47,1409,2.095411062,0.9201748371,1
47,1441,2.403783321,1.926719189,1
47,1473,2.887581348,1.539781332,1
47,1505,2.276705265,1.125582576,1
47,1537,1.736986399,0.8363552094,1
47,1569,3.199719667,0.7339849472,1
47,1601,1.665108681,0.3979394436,1
47,1633,1.574647903,0.17750597,1
47,1665,2.518690348,0.05183178186,1
47,1697,2.129194975,0.3266057372,1
47,1729,0.7205783129,0.5588885546,1
47,1761,0.3947294056,0.522571981,1
47,1793,0.6365978122,0.687754035,1
47,1825,0.01877629757,-0.06908911467,1
47,1857,-1.058686852,-0.5338072181,1
47,1889,-0.3465282321,-0.3214042187,1
47,1921,1.459003448,-0.3051638603,1
47,1953,0.3721102476,-1.686076641,1
47,1985,0.3034343123,-0.1100600064,1
47,2017,NaN,NaN,2
79,33,-0.5382902622,0.3934192657,1
79,65,-1.188316107,0.1547740996,1
79,97,-1.256278753,0.5878683329,1
79,129,-0.200681448,0.5435194969,1
79,161,-0.09812899679,0.4537370801,1
79,193,0.4280627966,0.5686683655,1
79,225,1.844604135,0.9972703457,1
79,257,2.27135849,1.563521624,1
79,289,2.13767457,1.692588091,1
79,321,2.104885578,1.337038875,1
79,353,2.128165722,0.9188204408,1
79,385,1.741005182,0.6999541521,1
79,417,1.522956848,0.9562152624,1
79,449,1.234068036,0.9651491642,1
79,481,1.484521031,0.6218622923,1
79,513,1.627827764,-0.4069423676,1
79,545,1.057776332,0.4287774563,1
79,577,1.552015781,0.6815779805,1
79,609,1.830070257,0.6966735125,1
79,641,2.555648804,2.229667664,1
79,673,NaN,NaN,2
79,705,NaN,NaN,2
79,737,2.670776844,0.736389637,1
79,769,2.875446796,0.4477115571,1
79,801,2.898596048,-1.129836202,1
79,833,3.241296291,-2.824013472,1
79,865,2.880565882,2.571203232,1
79,897,2.884696722,2.550830364,1
79,929,3.168940544,-0.3538141251,1
79,961,3.459338188,-0.4511743784,1
79,993,4.647758007,1.63134253,1
79,1025,4.217262745,1.585248232,1
79,1057,3.643007278,2.164927483,1
79,1089,3.156637192,2.462157249,1
79,1121,4.847403526,2.789571762,1
79,1153,5.130779743,2.693041086,1
79,1185,2.68208313,2.436250687,1
79,1217,1.311113119,4.187297344,1
79,1249,2.1555233,3.336828232,1
79,1281,2.333249331,3.807535648,1
79,1313,1.429867983,1.845674992,1
79,1345,2.595781088,1.062787175,1
79,1377,2.04059124,1.237794518,1
79,1409,2.700292349,2.016082287,1
79,1441,3.122874975,1.771930099,1
79,1473,2.854843616,1.984236836,1
79,1505,1.601925611,1.763451576,1
79,1537,2.622203827,1.578437567,1
79,1569,3.646976233,1.20035851,1
79,1601,2.884270906,0.6715682745,1
79,1633,2.337628126,0.3691756725,1
79,1665,1.692556739,0.2114509344,1
79,1697,0.9103915691,0.2071949244,1
79,1729,-0.005273401737,0.3154049516,1
79,1761,-0.0524224937,0.1646056473,1
79,1793,0.1825531423,-0.1086902916,1
79,1825,1.308327794,-1.093090296,1
79,1857,0.2528373003,-0.2113189101,1
79,1889,NaN,NaN,2
79,1921,NaN,NaN,2
79,1953,-0.3277355134,-0.07546055317,1
79,1985,0.4928946197,-0.1217410862,1
79,2017,1.514999151,-0.2545621991,1
111,33,1.074727774,0.3513043523,1
111,65,0.2321176827,-0.02631089091,1
111,97,-0.8325223923,0.2153649628,1
111,129,-0.2211141884,1.767544389,1
111,161,0.1886676252,2.461149454,1
111,193,0.4992890358,0.2145463228,1
111,225,1.247733831,0.1166057587,1
111,257,2.077032089,0.4111126661,1
111,289,2.26157856,0.8927104473,1
111,321,1.472230077,0.8643606901,1
111,353,1.403677464,0.5541446805,1
111,385,1.712199211,1.115383387,1
111,417,1.504630566,1.287894011,1
111,449,1.35305655,1.12480998,1
111,481,1.214247823,0.6403930187,1
111,513,0.8402012587,-0.6304546595,1
111,545,0.814345479,0.4793787003,1
111,577,1.439823985,0.3500495553,1
111,609,1.74681747,0.9718413353,1
111,641,1.092309952,1.747424364,1
111,673,NaN,NaN,2
111,705,NaN,NaN,2
111,737,3.29198575,0.4067518115,1
111,769,2.956531525,0.237467885,1
111,801,3.488429308,-2.574807167,1
111,833,3.63557744,-0.4670807123,1
111,865,2.746018648,2.986186266,1
111,897,1.45090723,2.40836215,1
111,929,2.217799902,1.129775524,1
111,961,3.039815903,0.5024027824,1
111,993,2.901196003,-1.353228092,1
111,1025,NaN,NaN,2
111,1057,NaN,NaN,2
111,1089,3.356615543,1.666648149,1
111,1121,4.145175934,1.58095479,1
111,1153,4.333204746,2.010351896,1
111,1185,4.367635727,4.329988003,1
111,1217,NaN,NaN,2
111,1249,-0.4966145754,4.384883881,1
111,1281,1.666112423,3.66915822,1
111,1313,2.223415613,2.255041599,1
111,1345,2.531488895,2.211888075,1
111,1377,2.910734653,2.268963337,1
111,1409,3.20276618,2.346790314,1
111,1441,4.246879578,2.092823505,1
111,1473,3.343911648,2.573849201,1
111,1505,1.830212355,2.960244656,1
111,1537,3.494950056,1.978497505,1
111,1569,2.955506086,1.550733924,1
111,1601,2.198897839,1.03589201,1
111,1633,3.131032705,0.6020355821,1
111,1665,1.098957777,0.299908936,1
111,1697,0.4048468471,0.2911382616,1
111,1729,-0.03840863705,0.3562229276,1
111,1761,-0.4280246198,-0.04917515814,1
111,1793,0.4514554739,-1.167005301,1
111,1825,0.02059331536,-0.3325313628,1
111,1857,-0.2883575559,1.854775667,1
111,1889,-2.251594782,3.945263386,1
111,1921,NaN,NaN,2
111,1953,NaN,NaN,2
111,1985,-0.442364037,-0.1270669848,1
111,2017,0.9078239799,-1.396374702,1
143,33,-0.2027554512,0.1994130611,1
143,65,0.1217471063,4.830956459e-05,1
143,97,0.06209355593,0.2750770748,1
143,129,0.2164252698,1.695485234,1
143,161,0.2713088393,1.609840751,1
143,193,0.5172684789,0.1614616811,1
143,225,0.5482645631,-0.08855205774,1
143,257,1.083515525,0.01214748621,1
143,289,1.413034439,0.5590617061,1
143,321,0.9041084051,0.7924993038,1
143,353,0.8837721348,0.4693664312,1
143,385,0.9259001017,1.020313382,1
