PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 2, filenames: A:[2]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[3]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.03023666143,0.1585897207,1
9,18,0.1170825362,-0.03135745972,1
9,26,-0.1742806882,0.1469359845,1
9,34,-0.1556758732,-0.03418650478,1
9,42,0.008329764009,0.04252333939,1
9,50,-0.01919409633,0.0339553766,1
9,58,-0.2502505183,-0.1195513755,1
9,66,-0.2027747035,0.01784873009,1
9,74,-0.06142023206,0.02104791999,1
9,82,-0.1195780039,-0.1173631847,1
9,90,-0.1324569881,-0.1313103139,1
9,98,-0.03513246775,-0.130433768,1
9,106,-0.1096432507,-0.0264519006,1
9,114,-0.2594085336,0.08214251697,1
9,122,-0.09101328254,0.3137911856,1
9,130,0.07404869795,0.2177858949,1
9,138,0.05551853776,-0.05737221986,1
9,146,0.06916689128,-0.0706390813,1
9,154,0.01564267278,-0.013990812,1
9,162,0.0002084597945,0.1141028106,1
9,170,-0.0315152891,0.542119503,1
17,10,-0.1812510788,0.01665447652,1
17,18,-0.1398737878,-0.0819446817,1
17,26,-0.1914594769,0.01532543823,1
17,34,-0.186000526,-0.05470164865,1
17,42,-0.0495152846,0.1842202246,1
17,50,-0.08341689408,0.281382978,1
17,58,-0.2710538208,-0.1178645194,1
17,66,-0.2677246332,-0.07455318421,1
17,74,-0.2262639254,-0.03518806398,1
17,82,-0.2576559484,-0.0558404699,1
17,90,-0.1787810475,-0.08739978075,1
17,98,-0.1419983804,-0.1122173816,1
17,106,-0.01913687587,-0.1341214627,1
17,114,0.03019167483,-0.09635311365,1
17,122,-0.04700772464,0.1320833862,1
17,130,-0.1449210942,0.2467629611,1
17,138,-0.1468778402,-0.03761910647,1
17,146,-0.09733921289,0.02746031433,1
17,154,-0.08125004172,0.04131351411,1
17,162,-0.08666469902,0.0281890668,1
17,170,0.05209290981,0.2288100421,1
25,10,0.0805657357,-0.1080195159,1
25,18,-0.02341128141,0.01302674785,1
25,26,-0.07438661158,0.008318811655,1
25,34,0.05345726013,-0.02051389217,1
25,42,-0.1243107319,0.1151093543,1
25,50,-0.1757684648,0.1132125184,1
25,58,-0.1083879173,-0.1036977544,1
25,66,-0.04123599827,-0.155923903,1
25,74,-0.05504573882,-0.1431041956,1
25,82,-0.1864614934,-0.05141150206,1
25,90,-0.171325922,-0.1072971821,1
25,98,-0.1089207828,-0.05357063562,1
25,106,0.1062592864,0.07109077275,1
25,114,-0.003327194601,0.00457463786,1
25,122,-0.09865663946,-0.05671793595,1
25,130,-0.1038240567,0.00505194068,1
25,138,-0.1077695042,-0.05266816542,1
25,146,-0.1004984081,0.07515452802,1
25,154,-0.08302500844,0.1040191352,1
25,162,-0.1203951836,0.0387361832,1
25,170,-0.05831730366,0.03742795438,1
33,10,0.2937842309,-0.08808341622,1
33,18,-0.0270042941,0.04046161473,1
33,26,-0.2875374556,0.08126398921,1
33,34,-0.376114279,0.06304080039,1
33,42,-0.2688682675,0.06779378653,1
33,50,-0.173394382,0.08562381566,1
33,58,-0.1005249918,-0.0638429299,1
33,66,-0.1553726494,-0.09137380123,1
33,74,-0.2065019161,-0.1530789435,1
33,82,-0.1674262732,-0.08533044904,1
33,90,-0.1900814176,-0.09092669189,1
33,98,-0.1955420524,0.001055769622,1
33,106,-0.003805685788,0.04555534571,1
33,114,0.004706710577,-0.09867133945,1
33,122,-0.02934930474,-0.1433239579,1
33,130,-0.1252132952,-0.1177683473,1
33,138,-0.1862881184,-0.0327617228,1
33,146,-0.1710134745,0.08744503558,1
33,154,-0.1679091603,0.07722717524,1
33,162,-0.2091757357,0.0697222501,1
33,170,-0.2621352971,-0.09392721206,1
41,10,-0.03530031815,-0.183743462,1
41,18,-0.06078840047,-0.03254141659,1
41,26,-0.1887007356,0.1399006546,1
41,34,-0.1822332591,0.1485017091,1
41,42,-0.1137068421,0.1066073701,1
41,50,-0.1743770093,0.05787156522,1
41,58,-0.3752737045,0.001611967571,1
41,66,-0.3946605623,0.05132042617,1
41,74,-0.2516841292,-0.09631692618,1
41,82,-0.2428676933,0.00393646583,1
41,90,-0.242665872,0.0243357271,1
41,98,-0.1691587418,0.04865207896,1
41,106,0.01607473195,0.0810348019,1
41,114,-0.02640254796,-0.1726271212,1
41,122,-0.2133687586,-0.1049708351,1
41,130,-0.190717712,-0.09311240911,1
