PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 8, filenames: A:[8]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[9]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,0.4430211782,0.2094690502,1
9,18,-0.08938871324,-0.07991050184,1
9,26,-0.2490153611,-0.1855328679,1
9,34,-0.1984502375,-0.191422075,1
9,42,-0.192211777,-0.07592643797,1
9,50,-0.1367516965,0.09698268026,1
9,58,-0.1304105669,0.1804901361,1
9,66,0.02058030665,0.09043137729,1
9,74,0.01108668745,0.07889094949,1
9,82,-0.1416871697,0.0730984658,1
9,90,-0.09088394046,0.05109377205,1
9,98,0.007644440979,-0.01496979594,1
9,106,0.04640898108,0.006907092407,1
9,114,-0.008089140058,-0.1381428242,1
9,122,0.007561020553,-0.1118272692,1
9,130,0.08511403203,-0.03288989514,1
9,138,0.1653398424,0.03228684515,1
9,146,0.2116138935,0.09201900661,1
9,154,0.2590419054,0.00486898981,1
9,162,0.1040562019,0.01749078184,1
9,170,-0.3377415836,0.2667222023,1
17,10,0.0243666023,-0.3076488674,1
17,18,-0.2994933724,-0.1044823974,1
17,26,-0.1850295514,0.03820860386,1
17,34,-0.05308294296,-0.09099903703,1
17,42,-0.2092678398,-0.008506964892,1
17,50,-0.1789049953,0.1236791089,1
17,58,-0.1007372215,0.07030837238,1
17,66,0.03781282902,0.010745354,1
17,74,-0.04548891634,0.06316045672,1
17,82,-0.171867162,0.1793531924,1
17,90,-0.06178967655,0.1134814322,1
17,98,-0.01343435794,-0.02592862584,1
17,106,-0.009175490588,0.03401329741,1
17,114,-0.03043783084,-0.1222028732,1
17,122,-0.02819453552,-0.0570756942,1
17,130,0.1132258177,-0.05288490653,1
17,138,0.03542957082,-0.02271408588,1
17,146,0.06555687636,0.07322189212,1
17,154,0.1266742349,0.03397966176,1
17,162,0.05843493715,0.02208296955,1
17,170,-0.1171651185,0.1814942658,1
25,10,0.02342104539,-0.1031556576,1
25,18,-0.002773988992,0.08585288376,1
25,26,0.01768950745,0.09407621622,1
25,34,0.1006507501,-0.01422028244,1
25,42,-0.1168904901,-0.03269860148,1
25,50,-0.21435754,0.005777773447,1
25,58,-0.1546863765,-0.07491280884,1
25,66,-0.07537254691,0.148845166,1
25,74,-0.07981090248,0.1416444778,1
25,82,-0.105402194,0.1617715657,1
25,90,-0.07598903775,0.09002713859,1
25,98,-0.05635608733,0.005280246958,1
25,106,-0.1119547337,-0.120900929,1
25,114,-0.08644890785,-0.02431916073,1
25,122,-0.1840937138,0.03599867225,1
25,130,-0.1281712502,-0.05695466325,1
25,138,-0.02253332362,-0.09250379354,1
25,146,-0.01837274991,-0.0549547486,1
25,154,-0.01499258727,-0.004960415885,1
25,162,0.02749976516,-0.0003069154918,1
25,170,0.0410771966,0.08324551582,1
33,10,0.03951945901,-0.06835229695,1
33,18,-0.1494124532,0.09095268697,1
33,26,-0.2377431393,0.1338447183,1
33,34,-0.0246796608,0.05374547094,1
33,42,-0.0128564164,0.06958145648,1
33,50,-0.0682271421,-0.0236546956,1
33,58,-0.112696752,-0.1263743937,1
33,66,-0.01724004745,0.05204688385,1
33,74,-0.01659835875,0.1172086075,1
33,82,-0.09773166478,-0.01107697934,1
33,90,-0.02230783552,-0.04056004062,1
33,98,0.002771876752,0.0007144510746,1
33,106,-0.2601465583,-0.1863364577,1
33,114,-0.2065191567,0.02659413777,1
33,122,-0.2411390543,0.1004219055,1
33,130,-0.2345442176,0.03516620398,1
33,138,-0.08414500952,-0.06100134552,1
33,146,-0.0198266115,-0.05897881836,1
33,154,0.01805037633,-0.1342628896,1
33,162,0.02794997767,0.006391249597,1
33,170,0.02843301743,0.1864779294,1
41,10,0.03813330084,0.04951556772,1
41,18,-0.03519742936,0.1438235343,1
41,26,-0.1229948103,0.1122702658,1
41,34,0.03641734645,0.01614287123,1
41,42,0.07263797522,0.1185603067,1
41,50,0.03498575464,-0.1176743805,1
41,58,-0.0835667029,-0.118988961,1
41,66,-0.05937430263,-0.07999539375,1
41,74,-0.04132688046,-0.09140436351,1
41,82,-0.1281580329,-0.08293953538,1
41,90,-0.04291070625,-0.05224130675,1
41,98,0.07238993794,0.02241671085,1
41,106,-0.1277089119,-0.0908941552,1
41,114,-0.2434378266,0.007700037211,1
41,122,-0.07132607698,0.04035138339,1
41,130,-0.2006664574,0.06177299842,1
41,138,-0.2235435247,0.05668390915,1
41,146,0.01203512121,0.0839035511,1
41,154,0.04573730379,-0.001085832715,1
41,162,-0.0469596833,0.06378654391,1
41,170,-0.05659206584,0.2197554111,1
49,10,0.0736842528,0.156196475,1
49,18,0.1764276326,0.05530700088,1
49,26,0.1198955327,-0.1413735747,1
49,34,-0.07701226324,0.07150755823,1
49,42,0.06875824183,0.02325015143,1
49,50,0.06591966748,-0.2487591207,1
49,58,-0.1067948863,-0.1140143126,1
49,66,-0.0810135603,0.01721367985,1
49,74,-0.04593299329,-0.08615022898,1
49,82,-0.1355393827,-0.0003992216662,1
49,90,-0.08292552829,-0.02204794064,1
49,98,-0.004048667848,0.02288784087,1
49,106,-0.07566217333,0.003348531201,1
49,114,-0.0818593055,-0.04383803532,1
49,122,-0.04111894965,-0.01643126085,1
49,130,-0.1342139542,0.0322091803,1
49,138,-0.1640625447,0.1080352962,1
49,146,-0.064531371,0.1335840225,1
49,154,0.0418148227,0.06899926066,1
49,162,-0.0276597403,0.07750123739,1
49,170,0.005895044655,0.1637285054,1
57,10,0.0185200423,0.001877710223,1
57,18,0.2214281559,-0.1611844897,1
57,26,0.101304844,-0.1924191117,1
57,34,0.0159060061,-0.105806157,1
57,42,0.01505179331,-0.08517881483,1
57,50,-0.0551424697,-0.264772594,1
57,58,-0.0850802809,-0.1065403223,1
57,66,-0.07958021015,0.023859974,1
57,74,-0.09708822519,0.03718450665,1
57,82,-0.02743851021,0.0993578434,1
57,90,0.04457964748,-0.01841219887,1
57,98,-0.006605155766,-0.02437625453,1
57,106,0.004543446004,0.01544454694,1
57,114,0.03859823942,-0.04893304408,1
57,122,-0.06008213758,0.00904341042,1
57,130,-0.03470856696,0.1131917462,1
57,138,0.04934099317,0.1601606905,1
57,146,0.04788213223,0.09970127046,1
57,154,0.03624873608,0.0846215263,1
57,162,-0.01966609806,0.1172091663,1
57,170,-0.0939040184,0.1447487324,1
65,10,0.09957404435,-0.1747118533,1
65,18,0.04335098341,-0.07818644494,1
65,26,-0.05162677169,-0.05144742876,1
65,34,0.001102704555,0.009628683329,1
65,42,-0.02524005622,0.0004928484559,1
65,50,-0.05770423263,-0.1322489083,1
65,58,-0.05565113574,-0.1540027857,1
65,66,-0.04635141045,-0.05095530301,1
65,74,-0.03133067861,0.1437684,1
65,82,-0.002720337361,0.1319165677,1
65,90,0.04137200117,-0.04522280395,1
65,98,0.003692142665,-0.03807004541,1
65,106,-0.03137394413,-0.0119106397,1
65,114,-0.0122994259,-0.06348589063,1
65,122,-0.03960214183,0.08755466342,1
65,130,-0.02885696664,0.1868457198,1
65,138,0.02549966611,0.1715065986,1
65,146,0.01279451698,0.05430693924,1
65,154,0.003043666482,0.05932436138,1
65,162,-0.02298636734,0.08676299453,1
65,170,-0.1001255214,0.1750219762,1
73,10,0.1628469825,-0.128873229,1
73,18,-0.02038773894,-0.01683679596,1
73,26,-0.1332461238,-0.007129207253,1
73,34,-0.1692185998,0.1563038677,1
73,42,-0.1167172492,0.1561658531,1
73,50,-0.06272403151,0.02506997064,1
73,58,-0.1432774514,-0.05761547014,1
73,66,-0.06073360145,-0.007124283817,1
73,74,-0.02455294505,0.061184939,1
73,82,-0.08944304287,0.06610028446,1
73,90,-0.1147829965,-0.04463380575,1
73,98,-0.08447254449,0.0079127606,1
73,106,-0.06143362075,0.03712609038,1
73,114,-0.05859437585,-0.004531741142,1
73,122,-0.06668105721,0.1119693667,1
73,130,-0.04748808593,0.1027074605,1
73,138,-0.06201613694,0.0910223797,1
73,146,-0.1763731539,0.0125271827,1
73,154,-0.1117622927,-0.01473646984,1
73,162,0.07281997055,0.04829838872,1
73,170,0.03415931761,0.06535422802,1
81,10,0.09192246199,-0.1214102134,1
81,18,-0.0453100875,0.01874743029,1
81,26,-0.1781222075,0.105576776,1
81,34,-0.1580070853,0.2601415217,1
81,42,-0.04873718321,0.2378952205,1
81,50,-0.1586624086,0.04174607992,1
81,58,-0.2295195758,-0.0513833873,1
81,66,-0.03823272884,0.08288651705,1
81,74,-0.009757593274,0.02102440782,1
81,82,-0.0713198036,0.01259003207,1
81,90,-0.170355171,0.06157884747,1
81,98,-0.1467493474,0.06503514946,1
81,106,-0.06233610958,0.06779723614,1
81,114,-0.02844434232,0.05467387289,1
81,122,-0.03166641295,0.09156513214,1
81,130,0.009104058146,-0.01693365723,1
81,138,-0.01008255407,0.04667133093,1
81,146,-0.03946144879,-0.005757898092,1
81,154,-0.001079019159,0.03525404632,1
81,162,-0.08567751944,0.1349799931,1
81,170,-0.07689277083,0.05961131677,1
89,10,0.233322829,-0.0481813103,1
89,18,-0.1146297082,-0.01070076413,1
89,26,-0.2593351603,0.09121968597,1
89,34,-0.1422973275,0.1006321535,1
89,42,-0.1252698898,0.1324059367,1
89,50,-0.2098810077,0.04107632861,1
89,58,-0.1438692808,0.01633611321,1
89,66,-0.0334097743,0.044927001,1
89,74,-0.03475143015,0.08234931529,1
89,82,-0.07984444499,0.024392711,1
89,90,-0.1105356216,0.04794983566,1
89,98,-0.1793405414,0.02234438062,1
89,106,-0.1952318251,0.1165682077,1
89,114,-0.10866642,0.05245894939,1
89,122,-0.0912694931,0.09117631614,1
89,130,-0.05294627696,-0.1629402936,1
89,138,0.02267540246,0.103722468,1
89,146,0.04644549266,0.08761940151,1
89,154,0.04843299463,0.09656812251,1
89,162,0.02370706014,0.1326773465,1
89,170,0.07237071544,-0.04077474773,1
97,10,0.3399242461,-0.03351354599,1
97,18,-0.01023892779,-0.04747238755,1
97,26,-0.08811422437,0.04841988534,1
97,34,-0.00152605772,0.0481442064,1
97,42,-0.009471461177,0.02698014677,1
97,50,-0.09596887231,0.03552425653,1
97,58,-0.04771870375,0.0552489832,1
97,66,-0.08856998384,-0.09186813235,1
97,74,-0.1764573008,-0.07933471352,1
97,82,-0.1741181761,0.1225555241,1
97,90,-0.1711040884,0.01285737008,1
