PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 35, filenames: A:[35]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[36]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.1148764789,-0.4622929096,1
9,18,-0.03322866559,-0.1650693417,1
9,26,0.09921403229,-0.101668641,1
9,34,0.04500713944,0.006233302876,1
9,42,-0.1221043468,0.1187813208,1
9,50,-0.06822247803,0.1993371546,1
9,58,-0.06147127599,0.01352105662,1
9,66,-0.05783314258,-0.05132486299,1
9,74,0.01486628503,0.01684553176,1
9,82,0.110853374,0.02784091234,1
9,90,0.01460304856,0.07986436784,1
9,98,-0.07496930659,0.0672211349,1
9,106,-0.05867930502,0.0111868456,1
9,114,-0.01220354438,-0.0958634764,1
9,122,-0.08447498083,-0.2263524979,1
9,130,-0.116964519,-0.06656998396,1
9,138,-0.1230810583,0.1240033656,1
9,146,-0.08613969386,0.2208935916,1
9,154,0.06918509305,0.2177862227,1
9,162,0.2521239519,-0.02767805755,1
9,170,0.209488228,-0.03098539263,2
17,10,0.1896333247,0.005877114832,1
17,18,0.07095251232,-0.02357828617,1
17,26,0.0531306155,-0.07464849949,1
17,34,0.04506903887,-0.03618323058,1
17,42,0.04643319547,0.1132861599,1
17,50,0.04375547543,0.1684531868,1
17,58,-0.05225589126,-0.122790657,1
17,66,-0.124095574,-0.1048781499,1
17,74,-0.06266543269,-0.06016711891,1
17,82,-0.045739986,-0.1193619296,1
17,90,0.03174739704,-0.001582998782,1
17,98,0.07884569466,-0.0254111141,1
17,106,0.00873415079,-0.1301944405,1
17,114,-0.02348836139,-0.1040149555,1
17,122,0.006671465933,-0.1723073423,1
17,130,-0.01423875242,0.001740980893,1
17,138,0.03751669824,0.1053451002,1
17,146,0.07862196863,0.09711532295,1
17,154,0.1269002557,0.09734521806,1
17,162,0.2636312544,0.03855079412,1
17,170,0.1668525189,-0.03429272771,1
25,10,0.3389001489,0.1420436352,1
25,18,0.1221643612,0.1462880224,1
25,26,-0.009224966168,-0.07567061484,1
25,34,0.1202950403,-0.08713015914,1
25,42,0.181601882,-0.05607233942,1
25,50,0.02565444633,-0.1064000875,1
25,58,-0.03700080886,-0.1007626951,1
25,66,-0.02089051157,-0.1047616154,1
25,74,0.009899647906,-0.1375343651,1
25,82,-0.02594109252,-0.1949442625,1
25,90,-0.02754309773,-0.0233515203,1
25,98,0.03127124161,-0.03939356655,1
25,106,-0.07199057937,-0.09738522023,1
25,114,-0.1431444287,-0.04121314362,1
25,122,0.01182132773,0.1826773882,1
25,130,0.05628181621,0.1297095418,1
25,138,0.09122830629,0.05454110727,1
25,146,0.08504152298,-0.02887305245,1
25,154,0.1363771111,0.0561863333,1
25,162,0.1461015642,0.1099841967,1
25,170,0.0316580683,0.3306717575,1
33,10,0.4084947109,0.1607088745,1
33,18,0.2796632051,0.1473245919,1
33,26,0.1648592949,0.04363217205,1
33,34,-0.04366518557,-0.04410753399,1
33,42,0.07747429609,-0.03084811196,1
33,50,0.038597323,-0.06913588941,1
33,58,-0.001829829067,-0.04026798904,1
33,66,0.1291866899,-0.05955925584,1
33,74,0.1020282134,-0.1240617633,1
33,82,0.06774328649,-0.2102372497,1
33,90,0.06489213556,-0.1848823726,1
33,98,-0.007115021348,-0.03974548727,1
33,106,-0.0530589819,-0.06011953205,1
33,114,-0.0227131471,0.08897434175,1
33,122,-0.006314111874,0.185218364,1
33,130,-0.004668757319,0.1651905328,1
33,138,0.05089720339,-0.02525259927,1
33,146,0.07758138329,-0.1020190641,1
33,154,-0.02642222866,0.04200706631,1
33,162,-0.02272586152,0.006648972631,1
33,170,0.0830911696,0.2457604706,1
41,10,0.3487198353,0.121281907,1
41,18,0.02663132548,0.1095330715,1
41,26,-0.1027279049,0.1057936996,1
41,34,-0.2068683207,0.08347091079,1
41,42,-0.02086916938,0.02753893286,1
41,50,0.08497554064,-0.1474063098,1
41,58,0.04279165715,-0.1190188825,1
41,66,0.06061921269,0.07103025168,1
41,74,-0.01639095321,-0.0734494254,1
41,82,0.08514462411,-0.2212449759,1
41,90,0.1510976702,-0.1349222958,1
41,98,-0.02381457202,0.01796134003,1
41,106,-0.1109662578,0.02902498096,1
