PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 107, filenames: A:[107]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[108]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.02477826178,-0.3335351348,1
9,18,-0.2044261992,-0.09458063543,1
9,26,-0.1350013316,-0.009175911546,1
9,34,-0.2087373734,-0.06084322929,1
9,42,-0.07348617911,0.08401181549,1
9,50,0.07637156546,0.1272040606,1
9,58,-0.001283913851,0.1661440879,1
9,66,-0.1359131634,0.08538848162,1
9,74,-0.1680443734,0.05326288939,1
9,82,-0.05135819316,-0.01816941425,1
9,90,-0.1501987576,-0.03807248548,1
9,98,0.01021230221,0.06612658501,1
9,106,0.1073061749,0.3019013107,1
9,114,-0.1750566363,0.493406117,1
9,122,-0.2194961309,0.3992874026,1
9,130,-0.132725209,0.2641138136,1
9,138,-0.08236342669,0.04404446483,1
9,146,-0.008060105145,0.01354863867,1
9,154,0.09075964242,-0.04639241099,1
9,162,0.06413155794,-0.0549262464,1
9,170,-0.2429555058,0.1540896744,1
17,10,-0.06857462227,-0.01721195504,1
17,18,-0.1699960381,-0.05595249683,1
17,26,-0.2211423367,-0.05566636473,1
17,34,-0.23079364,-0.1229085624,1
17,42,-0.1057871282,-0.050545834,1
17,50,-0.002532690763,0.05507472157,1
17,58,-0.1452461779,0.1663503945,1
17,66,-0.1305828094,0.06204179674,1
17,74,-0.03277672827,0.005802050233,1
17,82,-0.07615852356,0.09375114739,1
17,90,-0.1229357719,0.1302508414,1
17,98,-0.188309893,0.08574023098,1
17,106,-0.1701104343,0.09882752597,1
17,114,-0.1432640702,0.2545899749,1
17,122,-0.1293303967,0.1962150037,1
17,130,-0.06353705376,-0.01476758718,1
17,138,-0.0248042196,0.01923687756,1
17,146,-0.1381389946,0.01909518614,1
17,154,-0.08985375613,-0.0119509194,1
17,162,0.06394720078,-0.04669388756,1
17,170,-0.1076811701,0.06951238215,1
25,10,-0.06767260283,0.120997563,1
25,18,-0.1775058508,0.03486846387,1
25,26,-0.2115461826,-0.04763805494,1
25,34,-0.2288991809,-0.1253161132,1
25,42,-0.1100253612,0.02869955823,1
25,50,-0.1363585591,0.1266543865,1
25,58,-0.1907751262,0.1485764235,1
25,66,-0.01002568752,0.0314052403,1
25,74,0.06598229706,0.01469184458,1
25,82,-0.02340706438,0.09968259931,1
25,90,-0.1421744972,0.1130228043,1
25,98,-0.3721486926,-0.04982269555,1
25,106,-0.328671515,-0.006484076381,1
25,114,0.005543678999,0.08944564313,1
25,122,-0.05868304521,0.04180369526,1
25,130,-0.05080286413,-0.08988949656,1
25,138,-0.02572049946,0.01450735703,1
25,146,-0.1293859184,-0.001108258963,1
25,154,-0.1521389037,0.002512421459,1
25,162,-0.1306790113,0.02381771058,1
25,170,-0.1198228523,0.1750931293,1
33,10,-0.06875179708,-0.003688048571,1
33,18,-0.1057800502,0.005293037742,1
33,26,-0.04206701368,-0.02703689039,1
33,34,-0.03869053721,0.03351492062,1
33,42,-0.08243783563,0.1233711243,1
33,50,-0.1037397012,0.1117870733,1
33,58,-0.09055735171,0.0567523241,1
33,66,-0.08052057028,0.02125792578,1
33,74,-0.09807955474,-0.1409720182,1
33,82,-0.008750639856,0.02842885256,1
33,90,-0.06993491948,0.09874507785,1
33,98,-0.2006395161,0.09180279821,1
33,106,-0.2179340571,0.01355790347,1
33,114,-0.1538877487,0.04790392518,1
33,122,-0.0901299268,-0.07660465688,1
33,130,-0.08725423366,-0.04583720863,1
33,138,-0.09665165842,0.0166002214,1
33,146,-0.1599113047,0.10197144,1
33,154,-0.2043206543,0.1100330055,1
33,162,-0.1099431813,0.1069901139,1
33,170,0.08394262195,0.1966064721,1
41,10,-0.09223999083,-0.06972682476,1
41,18,0.01435945928,-0.00132807903,1
41,26,-0.0493835099,-0.008846485056,1
41,34,-0.1117892265,-0.0181222409,1
41,42,0.04182415456,0.03117809817,1
41,50,0.004724249244,0.05368178338,1
41,58,-0.06296546012,0.01564019546,1
41,66,-0.05748390406,0.05379233882,1
41,74,-0.08065269142,-0.1011879146,1
41,82,-0.03110063076,0.07435835898,1
41,90,0.09382735938,0.1331771761,1
41,98,0.1640497446,0.08421990275,1
41,106,-0.0539740026,-0.0107722953,1
41,114,-0.1157509238,-0.0215966329,1
41,122,-0.1362659037,-0.0624409914,1
41,130,-0.1633453816,-0.1096854657,1
41,138,-0.1233207583,-0.0209089946,1
41,146,-0.0418940112,0.09413910657,1
41,154,-0.06043154746,0.09302166104,1
41,162,-0.06008590013,0.08152006567,1
41,170,0.04627881572,0.09234705567,1
49,10,0.02254539728,-0.1126362234,1
49,18,0.03581016511,0.1694422811,1
49,26,0.07513600588,0.08381507546,1
49,34,0.01065707766,-0.08341477811,1
49,42,-0.07243987173,-0.07842516154,1
49,50,-0.004896938801,-0.06477044523,1
49,58,0.01019961387,-0.2419084609,1
49,66,-0.0142852515,-0.03332738578,1
49,74,-0.06285952777,-0.1455492675,1
