PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 287, filenames: A:[287]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[288]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.08396790922,0.197148174,1
9,18,-0.03641489893,-0.02957163751,1
9,26,-0.07052285224,0.02961600199,1
9,34,-0.1015331298,0.001196553931,1
9,42,-0.01452543586,-0.09577579796,1
9,50,0.003771454096,-0.07894259691,1
9,58,0.03081913292,-0.2067973316,1
9,66,0.2753593326,-0.333402127,1
9,74,0.1643552184,-0.2580156922,1
9,82,0.01356823742,-0.1735425293,1
9,90,0.04879511893,-0.06912237406,1
9,98,0.09209343791,-0.1067193151,1
9,106,0.1369797587,-0.208821997,1
9,114,0.02189863846,-0.150626272,1
9,122,-0.1235467121,0.05369155109,1
9,130,-0.01526942104,0.08557508886,1
9,138,0.1214470491,-0.0683952868,1
9,146,0.0910898298,-0.1320460588,1
9,154,0.04734489322,-0.1797342896,1
9,162,0.07717642188,0.09616369754,1
9,170,-0.08505341411,0.3959358633,1
17,10,0.08528306335,0.1720782518,1
17,18,0.05310532451,0.1321112514,1
17,26,0.02079353109,0.03318082914,1
17,34,-0.09981504083,-0.002848658711,1
17,42,-0.04530728236,-0.04501836374,1
17,50,0.0009582880884,-0.0286776647,1
17,58,0.0291100964,-0.04910832644,1
17,66,0.1236253232,-0.1262157559,1
17,74,0.08945119381,-0.1541548818,1
17,82,0.02276860178,-0.1357125491,1
17,90,0.003271840513,-6.016343832e-05,1
17,98,0.09436780959,-0.0738446936,1
17,106,0.1426713467,-0.06059515104,1
17,114,0.1131809577,0.001367721707,1
17,122,-0.02575991489,-0.01856230758,1
17,130,-0.02290661447,0.01361048967,1
17,138,0.0428731814,-0.04051459581,1
17,146,-0.001758946106,-0.01940547675,1
17,154,-0.03330397606,-0.0009353421628,1
17,162,-0.002521842718,-0.06006488949,1
17,170,-0.04718020558,-0.01218368113,1
25,10,0.09902387857,0.2036525011,1
25,18,0.04996519536,0.1080845296,1
25,26,-0.04859309644,0.05684133619,1
25,34,-0.1010284573,0.03009813093,1
25,42,-0.1147304103,-0.09349137545,1
25,50,-0.04441706836,-0.02450593188,1
25,58,-0.05581822619,0.00392446667,1
25,66,0.02837095223,-0.01785928756,1
25,74,0.03002011403,0.01609126106,1
25,82,-0.04620862752,-0.04194030538,1
25,90,-0.08326122165,0.03572984412,1
25,98,-0.04122185335,0.06287626177,1
25,106,-0.03018737212,0.1042341143,1
25,114,-0.04304771125,0.02266234159,1
25,122,0.1781853139,-0.1085716859,1
25,130,0.06160832196,-0.01509137638,1
25,138,0.03654494137,0.04170715809,1
25,146,-0.06591942161,0.05389050767,1
25,154,-0.09466566145,0.1048891246,1
25,162,-0.03904987127,-0.05442420766,1
25,170,-0.182211414,-0.07825942338,1
33,10,0.09382916987,0.2945386469,1
33,18,-0.002434782684,0.1519831866,1
33,26,-0.08687344193,0.05760601908,1
33,34,-0.1122238263,0.009903095663,1
33,42,-0.08477273583,-0.1506543905,1
33,50,-0.1233243197,-0.04350567237,1
33,58,-0.2100444138,0.05696711689,1
33,66,-0.1100217924,0.07386620343,1
33,74,0.08736806363,0.06531447172,1
33,82,-0.02297253162,-0.04219001159,1
33,90,-0.02269446477,0.08301220834,1
33,98,-0.04822134227,0.0609484762,1
33,106,-0.05409408361,0.1533997804,1
33,114,0.01779536903,0.03236458451,1
33,122,0.04585919157,-0.1486303955,1
33,130,0.02909442596,-0.06120461971,1
33,138,-0.02478687465,0.050769642,1
33,146,-0.03372623771,0.1411931366,1
33,154,-0.05752667412,0.1145693958,1
33,162,-0.04567584395,0.05172676593,1
33,170,0.07491300255,-0.1277822703,1
41,10,0.3003277779,0.3076396286,1
41,18,0.2709623575,0.1377254128,1
41,26,0.07742086053,0.02769970149,1
41,34,-0.06759662926,0.01465578377,1
41,42,-0.04379253462,-0.1316603869,1
41,50,-0.01904199272,-0.1165042371,1
41,58,-0.1510370672,-0.038162902,1
41,66,-0.2585634589,0.02545205504,1
41,74,-0.1405252516,-0.1011029109,1
41,82,-0.004497639835,-0.02197106183,1
41,90,0.04371026903,0.1693662703,1
41,98,-0.01726549864,0.02663367242,1
41,106,-0.1695396304,0.006829477847,1
41,114,-0.08072289824,0.006316677667,1
41,122,0.0005478896201,-0.09095259011,1
41,130,0.008612304926,-0.0555405654,1
41,138,0.02126992121,0.0001579951495,1
41,146,0.03519143909,0.1576023549,1
41,154,-0.006166689098,0.2061572224,1
41,162,-0.07291463017,0.1448745281,1
41,170,-0.03411978111,-0.06923844665,1
49,10,0.26809448,0.2294736654,1
49,18,0.175575316,0.08393032849,1
49,26,0.04385398328,0.007486781105,1
49,34,-0.05425828695,-0.02145798132,1
49,42,-0.05992730707,-0.1167338341,1
49,50,-0.09108339995,-0.1597478688,1
49,58,-0.08727922291,-0.07651206851,1
49,66,-0.1961133033,-0.05279710889,1
49,74,-0.181384936,0.03265884146,1
49,82,-0.1214642078,0.1679924279,1
49,90,-0.003330487758,0.1293467581,1
49,98,0.01108731329,0.04549693316,1
49,106,-0.1025390774,-0.02573288605,1
49,114,-0.01162926108,-0.02801296115,1
49,122,0.04719121009,0.005463715643,1
49,130,-0.04662257805,0.005946822464,1
49,138,-0.01258961111,0.04934678227,1
49,146,0.1487035751,0.03456501663,1
49,154,0.1975629628,0.1916984618,1
49,162,0.107170783,0.1678133458,1
49,170,0.07070768625,-0.04744905978,1
57,10,-0.2524008453,0.2429775894,1
57,18,-0.08902668953,0.01075741649,1
57,26,-0.0625295788,-0.1549464613,1
57,34,-0.1752022207,-0.08495259285,1
57,42,0.001552805305,-0.08199669421,1
57,50,-0.008884288371,-0.05545911938,1
57,58,-0.1488755047,-0.03353492171,1
57,66,-0.185652554,0.06853589416,1
57,74,-0.1645671576,0.03485406563,1
57,82,-0.1830670834,0.07955269516,1
57,90,-0.03213252127,0.08672295511,1
57,98,0.009696723893,0.04828625545,1
57,106,0.05865697935,-0.01502490602,1
57,114,0.02009702474,0.06507677585,1
57,122,-0.03212635219,-0.03058037534,1
57,130,-0.00765260309,-0.07134003937,1
57,138,0.1032865942,0.03556868806,1
57,146,0.1734035164,-0.03343638033,1
57,154,0.09872478247,0.03132836521,1
57,162,0.03898510337,0.1215376854,1
57,170,0.000118217431,0.07376115024,1
65,10,0.09976295382,0.2377653271,1
65,18,0.3237425089,0.03184235841,1
65,26,0.1036169901,-0.2557131052,1
65,34,-0.002517361194,-0.1032435,1
65,42,0.01005193964,-0.1514199078,1
65,50,-0.0005872175097,-0.1341818571,1
65,58,-0.1544223428,-0.04209935665,1
65,66,-0.1712312698,0.08677218854,1
65,74,-0.155995965,-0.00835146755,1
65,82,-0.1225364655,-0.05998883769,1
65,90,0.08525349945,-0.02283556014,1
65,98,0.1020741314,0.08240771294,1
65,106,0.06303366274,0.05348607898,1
65,114,-0.08904513717,0.0745530352,1
65,122,-0.2146234065,-0.07256950438,1
65,130,-0.07554385066,-0.1617021114,1
65,138,0.09942357987,-0.078258425,1
65,146,0.1040387899,0.04318439215,1
65,154,0.06950061023,0.02637842298,1
65,162,0.05592289567,0.1167904809,1
65,170,-0.006894405931,0.3121371269,1
73,10,0.003103166819,0.1680628359,1
73,18,0.1984265447,0.04393213987,1
73,26,0.2512218952,-0.01396298781,1
73,34,0.2061017156,-0.00146278739,1
73,42,0.05962954462,-0.1760470867,1
73,50,-0.08691385388,-0.1737939566,1
73,58,-0.1292012483,0.04094663262,1
73,66,-0.06587192416,0.1041178182,1
73,74,-0.1593448222,-0.0003173900768,1
73,82,-0.06788311154,-0.1215379238,1
73,90,0.1009330526,-0.08512312919,1
73,98,0.06068649516,0.0541450046,1
73,106,0.08552871644,-0.02924425714,1
73,114,0.008350463584,-0.1377353072,1
73,122,-0.09147235751,0.01495237648,1
73,130,-0.03831696138,0.03346280754,1
73,138,-0.1038042158,-0.09109808505,1
73,146,-0.1265913248,-0.03805899993,1
73,154,0.01263612881,0.02966942266,1
73,162,0.02318127081,0.09239552915,1
73,170,0.07833936065,0.2703078389,1
81,10,-0.09263788164,-0.04968522489,1
81,18,-0.02438257262,0.003287598491,1
81,26,0.03385584429,0.08779934049,1
81,34,0.09953262657,0.03914163634,1
81,42,0.0118555557,-0.1301201284,1
81,50,-0.110228166,-0.1058411151,1
81,58,-0.0904283002,0.0004440601915,1
81,66,-0.01968722045,-0.01762780733,1
81,74,0.02966538072,-0.07377260923,1
81,82,-0.1241531521,-0.1675503999,1
81,90,-0.1191088259,-0.06914820522,1
81,98,-0.03755471483,-0.006024328992,1
81,106,0.002189077437,-0.1195116788,1
81,114,0.04725909978,-0.1252994686,1
81,122,-0.01425816491,-0.01087263972,1
81,130,0.0585000962,-0.01737883687,1
81,138,-0.04232431948,0.06530798972,1
81,146,-0.1098777279,-0.03329158574,1
81,154,-0.04764716327,0.01335693058,1
81,162,-0.03261437267,0.1709863245,1
81,170,-0.003941420466,0.2346321344,1
89,10,-0.06475552917,-0.01558341831,1
89,18,-0.04515632242,0.1291092932,1
89,26,-0.1663895249,0.3092834949,1
89,34,-0.02809404768,0.1258066893,1
89,42,0.04153836891,0.006656786427,1
89,50,0.03767357767,0.001233456656,1
89,58,-0.03823873028,-0.02305749245,1
89,66,0.005387427285,-0.05923010409,1
89,74,0.1006216928,0.0291720219,1
89,82,0.0309429355,0.0624737218,1
89,90,-0.1016832963,0.0167610012,1
89,98,-0.21865955,0.02889950946,1
89,106,-0.2190371901,0.04261523485,1
89,114,-0.1386025101,-0.05151519179,1
89,122,-0.09867811203,0.0163170509,1
89,130,-0.04279529676,0.04643950611,1
89,138,0.0001875199378,0.1295089424,1
89,146,0.006679229438,0.08816038072,1
89,154,0.0347461924,-0.02409098111,1
89,162,0.07602754235,0.1268906593,1
89,170,0.05480916426,0.1055544317,1
97,10,-0.1379001886,0.06729256362,1
97,18,-0.1055152342,0.1639063656,1
97,26,-0.1241052225,0.1583691388,1
97,34,-0.1464359462,0.05129445717,1
97,42,0.03955514356,0.03642065451,1
97,50,0.0696823746,0.03718616441,1
97,58,0.1783558726,0.03519241512,1
97,66,0.08097866178,0.09899902344,1
97,74,-0.0983343944,0.1847899109,1
97,82,-0.07537522167,0.1486400217,1
97,90,-0.07892105728,0.102792263,1
97,98,-0.2015839517,0.09378574789,1
97,106,-0.05376265943,0.09491936862,1
97,114,-0.09644604474,-0.04022082314,1
97,122,-0.02562184632,0.06441584229,1
97,130,0.05896567181,0.1180503815,1
97,138,0.06378342956,0.09911315143,1
97,146,0.03548935428,0.06960621476,1
97,154,-0.04796917737,-0.1383045316,1
97,162,0.03721050173,-0.04844072834,1
97,170,0.006817359477,-0.09269651771,1
105,10,0.02032630146,0.04822378233,1
105,18,0.06427271664,0.1130350977,1
105,26,0.1640387326,0.05825614184,1
105,34,0.1076226309,-0.02712497115,1
105,42,0.05778809637,0.02481644973,1
105,50,-0.004812929779,0.1036228016,1
105,58,0.006871953607,0.08299058676,1
105,66,-0.2239192873,0.09790449589,1
105,74,-0.2295998633,0.07130172104,1
105,82,-0.08926586807,0.02073145658,1
105,90,-0.1504273862,0.1583218277,1
105,98,-0.205165118,0.1396197379,1
105,106,-0.1536912769,0.08635143936,1
105,114,-0.1331548393,-0.05855203047,1
105,122,-0.05178527161,-0.04267549515,1
105,130,0.03762938082,0.07703955472,1
105,138,0.1355799139,0.1920076013,1
105,146,0.1435038298,0.1119572073,1
105,154,0.04423949122,-0.06663124263,1
105,162,-0.01730349846,0.00902261585,1
105,170,-0.04111393541,-0.0139092505,1
113,10,0.180529505,0.007704615593,1
113,18,0.2017807662,0.02471967414,1
113,26,0.286092937,0.0258275494,1
113,34,0.414419353,-0.06205685437,1
113,42,0.1520457566,0.03764414787,1
113,50,-0.02641931176,0.2298308611,1
113,58,-0.03835270926,0.1791635156,1
113,66,-0.08061401546,0.2504244745,1
113,74,-0.07943327725,0.1334826946,1
113,82,-0.1348597407,0.05719432235,1
113,90,-0.2146816254,0.2550984621,1
113,98,-0.2757999599,0.2125980556,1
113,106,-0.1521540433,0.07043339312,1
113,114,-0.08111824095,-0.004410641268,1
113,122,-0.1496518403,-0.1855708361,1
113,130,-0.0345421955,-0.02663444355,1
113,138,0.1297172159,0.2448006272,1
113,146,0.1668075025,0.1081520393,1
113,154,0.2073963583,0.04390639812,1
113,162,0.009976204485,0.1525349468,1
113,170,-0.1214502007,0.1360895634,1
121,10,0.07207049429,0.01502776146,1
121,18,0.02811984718,0.04147036746,1
121,26,0.1069703922,0.01594576612,1
121,34,0.1581975073,-0.06305557489,1
121,42,0.1625506729,0.09941314906,1
121,50,0.09380990267,0.3727092147,1
121,58,0.0237166062,0.2092234194,1
121,66,0.09970228374,0.2092511356,1
121,74,0.1358645707,0.005459904671,1
121,82,0.03939636052,-0.002150725573,1
121,90,-0.0591481775,0.1457747519,1
121,98,-0.1144852191,0.2065549195,1
121,106,-0.06005832553,0.04804990813,1
121,114,0.05265361816,0.04048378021,1
121,122,-0.08177194744,-0.2685938478,1
121,130,-0.1381300837,-0.09522648901,1
121,138,0.01364242285,0.01998247206,1
121,146,0.0480218716,0.07478116453,1
121,154,0.1574137509,0.0458926335,1
121,162,0.1642122269,0.03965670615,1
121,170,-0.0501742363,0.123050265,1
129,10,-0.06974504143,0.04926069081,1
129,18,-0.04074122012,0.08672487736,1
129,26,0.06639781594,0.02545328066,1
129,34,0.157852605,0.09414613992,1
129,42,0.138266325,0.1235277951,1
