PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 157, filenames: A:[157]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[158]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.1093088388,-0.06785804033,1
9,18,-0.2361594141,0.1555075943,1
9,26,-0.385951221,0.106972307,1
9,34,-0.2664400637,0.03643550724,1
9,42,0.05984771252,-0.08539324999,1
9,50,-0.01997789741,0.01641190052,1
9,58,-0.1680624634,0.06509582698,1
9,66,0.03209047019,0.07615692914,1
9,74,0.05986632407,0.04972805828,1
9,82,0.02092033625,-0.007338102907,1
9,90,-0.04278309271,-0.08251481503,1
9,98,-0.1219251156,-0.008371755481,1
9,106,-0.1686454117,-0.05413571,1
9,114,-0.04467353225,-0.09496241808,1
9,122,0.04949696362,0.01778372005,1
9,130,-0.1720292866,-0.1085895747,1
9,138,-0.3258532882,-0.1280438304,1
9,146,-0.287740171,-0.06924133003,1
9,154,-0.09829267859,0.07392608374,1
9,162,0.04378290847,0.00155621767,1
9,170,0.1079395264,0.04699620605,1
17,10,0.08068047464,-0.07537810504,1
17,18,-0.1558231115,0.07226353884,1
17,26,-0.239272967,0.05522333831,1
17,34,-0.2342263013,0.01798819751,1
17,42,-0.07798868418,-0.0123799108,1
17,50,-0.04862691462,-0.02406254224,1
17,58,-0.1354923397,-0.05188591778,1
17,66,-0.09393712878,-0.06456457824,1
17,74,-0.05449983478,-0.2393082082,1
17,82,-0.05324247479,-0.1202279106,1
17,90,-0.05574312061,-0.05093147606,1
17,98,-0.1283813417,0.05059727654,1
17,106,-0.08006210625,0.04359003156,1
17,114,0.01517854631,0.01514868438,1
17,122,-0.07475338131,0.1065462902,1
17,130,-0.187719062,-0.09116925299,1
17,138,-0.2600202858,-0.02212202922,1
17,146,-0.1989437491,0.01841315441,1
17,154,0.08610641956,0.1683270633,1
17,162,0.04941084608,0.1251837313,1
17,170,-0.01000809669,0.1824935675,1
25,10,0.05184358358,-0.05029068515,1
25,18,-0.1091216654,-0.01242926903,1
25,26,-0.1474909484,-0.01744070277,1
25,34,-0.0425477922,0.01930290833,1
25,42,-0.04335395992,0.07729353756,1
25,50,-0.1898352206,0.01475965232,1
25,58,-0.1824019104,-0.005102854222,1
25,66,-0.02643789351,-0.08020349592,1
25,74,-0.1524923593,-0.2968624532,1
25,82,-0.2677109838,-0.1419649422,1
25,90,-0.08201343566,0.06110087782,1
25,98,-0.05046722293,0.1894143522,1
25,106,-0.07228191942,0.1620068103,1
25,114,-0.0425658673,0.121561408,1
25,122,-0.05807501078,0.1366693377,1
25,130,-0.0712563917,-0.1017686054,1
25,138,-0.08765828609,-0.02979747765,1
25,146,-0.008904092014,0.04856127128,1
25,154,0.06296651065,0.1185596287,1
25,162,0.03537715971,0.2116045654,1
25,170,-0.007182663307,0.1868265569,1
33,10,-0.001897791401,-0.01005964726,1
33,18,-0.07962616533,0.007081437856,1
33,26,-0.1760904938,-0.03389389813,1
33,34,-0.01003801078,-0.06998109818,1
