PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 93, filenames: A:[93]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[94]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.1001387164,-0.1802404225,1
9,18,-0.08537185192,0.03515589982,1
9,26,-0.005544155836,0.02973598242,1
9,34,0.1279491037,0.02086152136,1
9,42,0.2252147198,0.1104938239,1
9,50,0.1172920913,0.01356167346,1
9,58,0.1175804213,-0.1106214821,1
9,66,0.005591161549,0.07027289271,1
9,74,-0.1766652167,0.2867404819,1
9,82,-0.2761628926,0.3177410662,1
9,90,-0.317022562,0.23843804,1
9,98,-0.2437939644,0.1055185348,1
9,106,-0.2502968311,-0.001504555345,1
9,114,-0.05684220791,0.04312707856,1
9,122,-0.02058382332,-0.000347379595,1
9,130,0.07023299485,-0.02068012953,1
9,138,0.1204835325,0.009776651859,1
9,146,0.0598583594,-0.0945320949,1
9,154,-0.01514441893,-0.0284223929,1
9,162,-0.1487214863,0.1089780033,1
9,170,-0.4145731926,0.03057285398,1
17,10,-0.1219400391,0.0004080887884,1
17,18,-0.1071662158,-0.08212828636,1
17,26,-0.02689837292,-0.09715811908,1
17,34,-0.06856195629,0.00644145906,1
17,42,-0.102273047,-0.003231469542,1
17,50,-0.07167796791,0.05645859614,1
17,58,-0.05828789994,-0.1625316292,1
17,66,-0.1353096664,0.06829342246,1
17,74,-0.2213217616,0.1274433732,1
17,82,-0.2809199095,0.1841466725,1
17,90,-0.2428195775,0.1386478543,1
17,98,-0.1265752912,0.02762362733,1
17,106,-0.1977728158,-0.05882760137,1
17,114,-0.2952008247,-0.02700562961,1
17,122,-0.141866222,-0.01154739223,1
17,130,-0.03917198628,0.06006063148,1
17,138,-0.04484508932,0.1039273217,1
17,146,-0.05188301206,0.06993061304,1
17,154,-0.04901824147,0.1642403305,1
17,162,-0.03178298473,0.1726486385,1
17,170,-0.1273412704,-0.005671885796,1
25,10,0.09343156219,0.1597795635,1
25,18,-0.01677894592,-0.001174908131,1
25,26,0.009231701493,-0.05244421959,1
25,34,-0.1967422366,-0.01611269265,1
25,42,-0.2692439854,-0.004978137091,1
25,50,-0.131709367,-0.08442644775,1
25,58,-0.001551002264,-0.04116425291,1
25,66,-0.07439130545,0.08754636347,1
25,74,-0.1945217401,0.1259119511,1
25,82,0.01259948313,0.03818663955,1
25,90,0.04889076948,-0.001800224185,1
25,98,-0.002989433706,0.03537585959,1
25,106,-0.09942449629,-0.01946199685,1
25,114,-0.194293499,-0.08091779798,1
25,122,-0.2197863907,-0.01131122559,1
25,130,-0.06903251261,-8.335709572e-05,1
25,138,-0.03001395613,0.0449879393,1
25,146,-0.0545325689,0.1302251816,1
25,154,-0.06652966142,0.1073430628,1
25,162,-0.07753769308,0.1125115678,1
25,170,-0.09842731059,-0.00406903401,1
33,10,0.03658259287,0.06939288974,1
33,18,-0.07009302825,0.1518478543,1
33,26,-0.1075660065,0.0185880512,1
33,34,-0.04852691293,-0.04493782297,1
33,42,-0.07824891806,-0.06612917036,1
33,50,-0.04851285368,-0.1827655584,1
33,58,0.01015438139,-0.03512183577,1
33,66,-0.09784844518,0.1358990818,1
33,74,-0.1323056966,0.03498449177,1
33,82,0.01800304651,-0.06226067245,1
33,90,-0.003392137587,-0.1015406176,1
33,98,-0.02006427944,0.007124520838,1
33,106,-0.04600223899,-0.0372948274,1
33,114,-0.1181326658,-0.0223858729,1
33,122,-0.1003811881,0.09129093587,1
33,130,-0.110686928,0.007172271609,1
33,138,-0.07530847192,-0.004840232432,1
33,146,0.07086851448,0.08517505229,1
33,154,-0.1141882315,0.05810318887,1
33,162,-0.1366341412,0.07321003079,1
33,170,-0.1277591139,0.0498846285,1
41,10,-0.08583027869,0.04585190117,1
41,18,-0.05868651345,0.08130583167,1
41,26,-0.05585279316,0.006207780913,1
41,34,-0.05627202988,-0.05428224429,1
41,42,-0.07911217213,-0.1737633348,1
41,50,-0.02465800941,-0.1771525592,1
41,58,-0.0238757357,-0.1612802744,1
41,66,-0.02713596076,0.06287088245,1
41,74,-0.1108533442,-0.04613576084,1
41,82,-0.2398172617,0.02313771471,1
41,90,-0.1381041706,-0.03039964288,1
41,98,-0.0706506148,0.05984442681,1
41,106,-0.1564995348,-0.002391569316,1
41,114,-0.1734055877,0.06067635491,1
41,122,-0.08929365128,0.1601142734,1
41,130,-0.04892298579,0.08555351198,1
41,138,-0.09006045014,-0.008582942188,1
41,146,0.01519411802,0.04837266356,1
41,154,-0.09361082315,0.0802071169,1
41,162,-0.09632951766,0.1023385376,1
41,170,-0.09571163356,0.136518389,1
49,10,-0.1553824246,-0.065776214,1
49,18,-0.1096343696,0.03978258371,1
49,26,-0.01629087329,0.003466662019,1
49,34,-0.08842887729,-0.1475532353,1
49,42,-0.0539730899,-0.2534635961,1
49,50,0.07494541258,-0.2463336885,1
49,58,-0.1133595109,-0.1235433519,1
49,66,-0.02307752892,0.01412840001,1
49,74,-0.09436493367,-0.1467016637,1
49,82,-0.06086914241,-0.01301527582,1
49,90,0.05341354758,-0.05335669592,1
49,98,0.005060754716,0.08287023008,1
49,106,-0.07824251801,0.1048950851,1
49,114,-0.03059464693,-0.01055581868,1
49,122,0.028456375,0.07749237865,1
49,130,0.0106883347,-0.03607403114,1
49,138,-0.03367722034,-0.0730637759,1
49,146,-0.07223157585,0.07665254176,1
49,154,-0.168405816,0.09305122495,1
49,162,-0.1794179976,0.06936622411,1
49,170,-0.1105336696,0.1457912922,1
57,10,-0.07776463032,-0.03825620189,1
57,18,0.04101975262,0.07267735898,1
57,26,0.1156082749,-0.04299604893,1
57,34,0.0142785348,-0.1274529696,1
57,42,-0.05315155908,-0.1523220837,1
57,50,0.02431808785,-0.1945892572,1
57,58,-0.01781874523,-0.1204386652,1
57,66,-0.08246138692,0.1015554965,1
57,74,-0.04884874076,0.00767512992,1
57,82,0.006408341229,-0.007583852857,1
57,90,0.02960609645,0.04257293046,1
57,98,-0.03807321191,0.1321580112,1
