PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 99, filenames: A:[99]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[100]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,0.2410403192,0.1776085198,1
9,18,0.06464070082,0.07242040336,1
9,26,0.01942136139,0.2131705284,1
9,34,-0.03558104485,0.133240521,1
9,42,-0.04785061628,0.07890558988,1
9,50,-0.0801525563,0.1254709661,1
9,58,-0.1937886626,0.2121243477,1
9,66,-0.2315859199,0.405801326,1
9,74,-0.00315284729,0.4396624565,1
9,82,-0.06743133068,0.2837327123,1
9,90,-0.3031048775,0.1220717579,1
9,98,-0.4936339855,0.1015343368,1
9,106,-0.4120373726,0.006909094751,1
9,114,-0.03092843294,-0.1004518196,1
9,122,-0.02934680879,0.001735448837,1
9,130,0.0192309916,-0.06646059453,1
9,138,-0.01924812794,-0.04819183052,1
9,146,-0.1729327887,0.03115913272,1
9,154,-0.183324188,0.1473977268,1
9,162,-0.05917108059,0.0408699438,1
9,170,-0.03084345162,0.02073635161,1
17,10,0.06668120623,0.174873814,1
17,18,-0.1124804989,0.1248094887,1
17,26,-0.05742995441,0.09683956206,1
17,34,-0.08538278192,-0.06765952706,1
17,42,-0.1337833852,-0.02853108756,1
17,50,-0.2233424485,0.1259929836,1
17,58,-0.2070674002,0.2121513188,1
17,66,-0.1823768467,0.2453671098,1
17,74,-0.165612787,0.2758952975,1
17,82,-0.210819006,0.222243607,1
17,90,-0.3061758578,0.04740181938,1
17,98,-0.2689167559,0.007569704205,1
17,106,-0.1938822418,-0.05014154688,1
17,114,-0.1528687775,0.009381618351,1
17,122,-0.1063784808,0.04527175799,1
17,130,-0.08038718253,-0.06668301672,1
17,138,-0.0712750107,0.1175780892,1
17,146,-0.07741653919,0.2104336917,1
17,154,-0.09045886248,0.205727756,1
17,162,-0.1927226186,0.05996315181,1
17,170,-0.1299681365,-0.1207400039,1
25,10,-0.1841858178,0.1146434546,1
25,18,-0.1881933212,0.09195295721,1
25,26,-0.0399332568,-0.1350331903,1
25,34,-0.1074296162,-0.1709552407,1
25,42,-0.2370865345,-0.04663907737,1
25,50,-0.2931552529,0.01415728591,1
25,58,-0.2947556078,0.04873979837,1
25,66,-0.2163062692,-0.05672046915,1
25,74,-0.01393529773,-0.08446228504,1
25,82,0.0469238162,0.09574131668,1
25,90,-0.1902931333,-0.01526939496,1
25,98,-0.2793658078,-0.06762036681,1
25,106,-0.1757754087,-0.08363299817,1
25,114,-0.04984452575,0.1036809385,1
25,122,-0.1357004195,0.0785472542,1
25,130,-0.1700763404,0.1140094399,1
25,138,-0.1406015158,0.1184004471,1
25,146,0.00180979073,0.06393092871,1
25,154,-0.1212804168,0.1245715022,1
25,162,-0.3536316752,0.09466460347,1
25,170,-0.09535036981,-0.03154004738,1
33,10,-0.2738088369,0.228094995,1
33,18,-0.1274305582,0.07278592885,1
33,26,-0.1066307425,-0.1511178911,1
33,34,-0.200986743,-0.069299303,1
33,42,-0.2166108489,-0.04900296777,1
33,50,-0.1458889842,-0.0323856324,1
33,58,-0.1277311295,-0.04362714291,1
33,66,-0.09267211705,-0.1522323787,1
33,74,0.07384815067,-0.08551313728,1
33,82,-0.03987970948,0.0670228675,1
33,90,-0.1049185842,-0.06538123637,1
33,98,-0.05457448959,-0.1495581716,1
33,106,-0.05827885866,-0.06163229421,1
33,114,-0.02210476995,0.1836575419,1
33,122,0.04886693135,0.1427688003,1
33,130,0.005819756538,0.186270386,1
33,138,-0.09207682312,0.1436221004,1
33,146,-0.04260480404,0.1130101234,1
33,154,-0.01734095812,0.02476355433,1
33,162,-0.01235068589,0.1152675152,1
33,170,-0.07437287271,0.06173160672,1
41,10,-0.2895855904,0.07688178867,1
41,18,-0.06397306919,-0.1258010566,1
41,26,-0.01499833167,-0.05187508464,1
41,34,-0.2073323131,0.001638967544,1
41,42,-0.1522898078,0.02188284509,1
41,50,-0.09057573974,-0.006056858227,1
41,58,-0.04942109436,-0.03244423494,1
41,66,0.03115446866,-0.1025409028,1
41,74,0.01051663235,-0.07944776118,1
41,82,0.005011565983,0.01310534868,1
41,90,0.02981781587,-0.02871697769,1
41,98,-0.02251844853,0.0337574929,1
41,106,-0.1080423146,-0.02146326005,1
41,114,-0.1168287545,0.1371881664,1
41,122,-0.01006920263,0.2304161936,1
41,130,-0.03742966801,0.3775286078,1
41,138,-0.1373995692,0.2417073846,1
41,146,-0.1886711568,0.1261036396,1
41,154,-0.2379174381,0.03791021556,1
41,162,-0.1624340266,0.09989190102,1
41,170,-0.1499385387,0.08634758741,1
49,10,-0.06720848382,-0.1015796363,1
49,18,0.06561915576,-0.02557182685,1
49,26,0.04585222155,0.0787686035,1
49,34,-0.1276299357,0.1556737572,1
49,42,-0.1041212827,0.07760795206,1
49,50,0.1308071315,0.001285735518,1
49,58,0.1305456311,-0.03469465673,1
49,66,0.01140078902,-0.06398609281,1
49,74,-0.01024504006,0.01668868773,1
49,82,-0.0005998499691,0.06310202181,1
49,90,0.01857767627,0.04952386022,1
49,98,-0.09147799015,0.03215794265,1
49,106,-0.06010688096,-0.04690223187,1
49,114,0.08298998326,0.04391151667,1
49,122,0.04260887206,0.1736069918,1
49,130,-0.1006230414,0.3000146151,1
49,138,-0.144557476,0.2017555982,1
49,146,-0.1567640603,0.1265877783,1
49,154,-0.2157193124,0.1494548321,1
49,162,-0.1456224918,0.07342596352,1
49,170,-0.004093278199,0.03925601393,1
57,10,0.01173611917,-0.115189895,1
57,18,-0.01022287179,0.01844591647,1
57,26,0.08980815113,-0.01421526819,1
57,34,-0.0375960581,0.1826425642,1
57,42,-0.1168178096,-0.09087818861,1
57,50,-0.08101782203,-0.0530371666,1
57,58,-0.02735082805,-0.03462252393,1
57,66,-0.009819526225,0.03771354631,1
57,74,-0.02702981979,0.0409662351,1
57,82,-0.04437509924,0.08095744997,1
57,90,-0.07423504442,0.1468705833,1
57,98,-0.06882160902,0.06685964763,1
57,106,-0.04910805821,-0.06854067743,1
57,114,0.03820420057,-0.04379847273,1
57,122,-0.03815031797,0.02747136727,1
57,130,-0.1091724113,0.08623660356,1
57,138,-0.1627482474,0.01868247986,1
57,146,-0.2295857519,-0.003106229007,1
57,154,-0.2100913525,0.1172013879,1
57,162,-0.1730283797,0.00687822327,1
57,170,-0.1002575606,-0.07810924202,1
65,10,0.006693549454,-0.09613749385,1
65,18,-0.1587836593,-0.1306142211,1
65,26,-0.05938075483,-0.1824755818,1
65,34,0.003755137324,-0.06263338029,1
65,42,-0.03575322032,-0.04280150309,1
65,50,-0.07062188536,-0.07280492038,1
65,58,0.01016135886,0.09980910271,1
65,66,0.03460997716,0.05395323038,1
65,74,-0.1101035178,-0.008593054488,1
65,82,-0.2065152228,0.01181193255,1
65,90,-0.1983755529,0.09558013082,1
65,98,-0.1250707805,0.07968173921,1
65,106,-0.01891226694,-0.01082040183,1
65,114,-0.0115968734,0.01177164912,1
65,122,-0.1025430784,0.07350921631,1
65,130,-0.1092673242,0.01391042024,1
65,138,-0.2164713144,-0.06177505851,1
65,146,-0.2510827184,-0.1903436631,1
65,154,-0.184510082,-0.1403617561,1
65,162,-0.1559866518,0.06998390704,1
65,170,-0.2560549378,0.1447832584,1
73,10,-0.2272740602,-0.1581756026,1
73,18,-0.4729289711,-0.1693965346,1
73,26,-0.2250517309,-0.1450921446,1
73,34,-0.004669040442,-0.02042544633,1
73,42,-0.2141485512,-0.02089606971,1
73,50,-0.1958194077,-0.005214775912,1
73,58,-0.09224493057,0.1254720539,1
73,66,-0.07366579026,0.04385444149,1
73,74,-0.08560734987,-0.0283158347,1
73,82,-0.04314893484,-0.0693937391,1
73,90,0.03467144817,-0.05671817064,1
73,98,0.05397193879,-0.008588555269,1
73,106,0.01837002486,-0.07575412095,1
73,114,-0.08033355325,-0.02479889989,1
73,122,-0.1548151821,0.0108026918,1
73,130,-0.09926842153,-0.06120815873,1
73,138,-0.0739402622,-0.007384969387,1
73,146,-0.1405047178,0.02086385153,1
73,154,-0.03258956969,-0.1381553859,1
73,162,-0.09132085741,0.05067624897,1
73,170,-0.256449759,0.1912357211,1
81,10,-0.4429028928,-0.1012896448,1
81,18,-0.3944401145,-0.159648791,1
81,26,-0.2502122819,-0.09998358786,1
81,34,-0.1841178238,-0.06029483676,1
81,42,-0.2015350908,-0.09665605426,1
81,50,-0.09451037645,0.02629356086,1
81,58,-0.09591586143,0.02043247968,1
81,66,-0.1636701077,0.01113431901,1
81,74,-0.01159138605,-0.0844565928,1
81,82,0.07646241039,-0.02717065997,1
81,90,0.06641573459,-0.03022596799,1
81,98,0.0127838105,-0.04007354751,1
