PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 9, filenames: A:[9]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[10]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.04550170153,0.002444818616,1
9,18,0.1578486115,0.03161416203,1
9,26,0.1624973863,0.08523768187,1
9,34,-0.06311579049,0.08768075705,1
9,42,-0.179523468,0.04445397854,1
9,50,-0.06606152654,0.05648998916,1
9,58,0.135841012,-0.001557126641,1
9,66,0.1492337584,-0.01409677602,1
9,74,0.2000410557,0.05016466975,1
9,82,0.1793675423,-0.07911816239,1
9,90,0.03018242121,-0.1944232881,1
9,98,-0.1079865992,0.01175135747,1
9,106,-0.05853036791,0.1440806836,1
9,114,0.08949501812,0.2214202881,1
9,122,0.04635810107,0.1338489056,1
9,130,0.0120754689,-0.03722721338,1
9,138,0.02497041225,-0.08998946846,1
9,146,-0.1607938409,-0.01987066865,1
9,154,-0.2511824965,0.1090388298,1
9,162,-0.1972347498,0.1600921154,1
9,170,0.06722466648,0.09875885397,1
17,10,-0.1373591572,0.1387410164,1
17,18,-0.09218230844,-0.1174322739,1
17,26,-0.1081141084,-0.06480646133,1
17,34,-0.07627443969,0.05505395681,1
17,42,-0.002477839589,0.08210743219,1
17,50,-0.04941250384,0.1020323485,1
17,58,0.01243129373,0.02589304,1
17,66,0.05824110657,-0.01061415859,1
17,74,0.2028337866,-0.03956831247,1
17,82,0.3200418949,-0.132811591,1
17,90,0.1263008118,-0.07911989093,1
17,98,-0.03662831336,-0.03228633478,1
17,106,0.01611361094,0.09870924056,1
17,114,0.04745109379,0.2032740712,1
17,122,0.09512728453,0.1669172347,1
17,130,-0.01927700639,0.06906081736,1
17,138,-0.1359688491,-0.0001929141581,1
17,146,-0.2054968029,-0.027599819,1
17,154,-0.2533240914,0.04471059144,1
17,162,-0.2522672415,0.03994293883,1
17,170,-0.04445889592,0.08505854756,1
25,10,0.2348940074,0.1706054956,1
25,18,-0.1495004296,0.06079362333,1
25,26,-0.2638710141,0.001269698143,1
25,34,-0.1531592011,0.1217108667,1
25,42,-0.0169076249,0.1250097603,1
25,50,0.05403237417,0.1320277452,1
25,58,0.05134459585,0.1620518714,1
25,66,-0.004080288112,0.03063789755,1
25,74,0.1174567789,-0.05766309053,1
25,82,0.1264089048,-0.1374823153,1
25,90,0.03989451379,-0.05551687256,1
25,98,-0.04872354493,-0.01441277936,1
25,106,0.05589643121,0.06037997827,1
25,114,0.01980026439,0.07365730405,1
25,122,0.08835993707,0.06658020616,1
25,130,0.0668753013,0.07249026746,1
25,138,-0.01774764992,0.09788167477,1
25,146,-0.06323435903,0.03103776649,1
25,154,-0.1037617996,-0.04633511603,1
25,162,-0.1713411808,-0.001335475594,1
25,170,-0.09747169167,0.1601165831,1
33,10,-0.1497095525,0.1337991655,1
33,18,-0.07228413224,0.1329486221,1
33,26,-0.00281920284,0.01695362851,1
33,34,0.0562778376,0.1112217605,1
33,42,0.04752204567,0.05263156071,1
33,50,0.06586664915,0.04351893067,1
33,58,0.04478917643,0.1323344707,1
33,66,0.09680619091,-0.001229164656,1
33,74,0.1380927265,-0.1287451386,1
33,82,0.1203977019,-0.1641144007,1
33,90,0.04361661151,-0.05246004462,1
33,98,-0.02363436669,-0.01314260811,1
33,106,-0.009786758572,0.04288846999,1
33,114,0.02569378167,0.09649965912,1
33,122,0.06720431149,0.003613963723,1
33,130,0.06599458307,0.04250069708,1
33,138,-0.02720966004,0.131498307,1
33,146,-0.03230395168,0.1390414387,1
33,154,-0.03314069659,0.009893983603,1
33,162,-0.08385493606,-0.002384211868,1
33,170,-0.1401977241,0.05748690665,1
41,10,-0.253739059,0.06941874325,1
41,18,-0.1693564653,0.1231718361,1
41,26,0.02704615146,0.01910994947,1
41,34,-0.0007464550436,0.08971825987,1
