PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 87, filenames: A:[87]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[88]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.002585202456,0.2589281797,1
9,18,-0.226249963,0.008938524872,1
9,26,-0.09356612712,-0.1200623512,1
9,34,0.03531682119,-0.02392354235,1
9,42,0.04519315809,0.05296063423,1
9,50,-0.2123709172,0.09796641767,1
9,58,-0.2533596754,0.1950911283,1
9,66,-0.2422061563,0.1870086789,1
9,74,-0.1764119565,0.2000867724,1
9,82,-0.1181575954,0.06095936522,1
9,90,0.01953455806,0.09552501142,1
9,98,0.02248701453,0.1997311562,1
9,106,-0.05523966253,0.2015203685,1
9,114,-0.006454065442,0.3178091049,1
9,122,-0.1470836848,0.1692981869,1
9,130,-0.2210702747,0.07545845211,1
9,138,-0.3503081501,0.09876982868,1
9,146,-0.2881593704,0.09575551748,1
9,154,-0.07753679156,0.07676877081,1
9,162,-0.2072381079,-0.07915515453,1
9,170,0.2381873727,-1.320242882e-05,1
17,10,0.1776657403,0.0707192421,1
17,18,-0.1302315742,-0.08229848742,1
17,26,-0.08707435429,-0.008183568716,1
17,34,-0.05617672205,0.02294045687,1
17,42,-0.07325991988,0.009089872241,1
17,50,-0.1153112948,0.007708217949,1
17,58,-0.07197120786,0.08182543516,1
17,66,-0.1325182319,0.2357997149,1
17,74,-0.2521505952,0.2183694541,1
17,82,-0.224388808,0.1075278521,1
17,90,-0.1122005731,-0.03547678888,1
17,98,-0.04093686491,-0.03051157668,1
17,106,-0.02667540312,0.06227119267,1
17,114,-0.08657988906,0.1629538238,1
17,122,-0.148738876,0.1272599995,1
17,130,-0.1592028886,0.05027892441,1
17,138,-0.2340218127,0.0580316484,1
17,146,-0.1953332722,0.05910421908,1
17,154,0.01092202961,0.08141661435,1
17,162,-0.06776932627,0.1037526429,1
17,170,-0.03288562596,0.01412737276,1
25,10,-0.03593599051,-0.02516584098,1
25,18,-0.06830574572,-0.09140962362,1
25,26,0.01101628691,0.009080475196,1
25,34,0.0374257192,-0.03422180563,1
25,42,-0.01901255548,-0.08854531497,1
25,50,-0.03658987582,-0.08094957471,1
25,58,-0.08512776345,0.1561433077,1
25,66,-0.03784674406,0.07238146663,1
25,74,-0.07632644475,-0.03491640091,1
25,82,-0.1232087612,0.04143277183,1
25,90,-0.04077754542,-0.07551458478,1
25,98,-0.05861233175,-0.01343135908,1
25,106,-0.04722458869,0.02210003138,1
25,114,-0.08021901548,0.08873728663,1
25,122,-0.07851243019,0.03721489757,1
25,130,-0.06160184741,0.04320692271,1
25,138,-0.1855791211,0.03517444432,1
25,146,-0.09587427974,0.03570506722,1
25,154,0.01684616506,0.01113270968,1
25,162,0.09893777966,0.1140839085,1
25,170,-0.2275227457,0.1032471433,1
33,10,-0.3075435758,-0.147689864,1
33,18,-0.07251676917,-0.01532429643,1
33,26,-0.007549412549,-0.05367830396,1
33,34,0.01270598918,-0.09617817402,1
33,42,-0.03828714043,-0.08176468313,1
33,50,-0.05883525312,-0.02470557019,1
33,58,0.003520347178,0.1602003425,1
33,66,0.06986991316,-0.02786545455,1
33,74,-0.01050326973,-0.07750742882,1
33,82,-0.04891424626,0.02773662657,1
33,90,-0.02160306647,0.09688150883,1
33,98,-0.07790355384,0.07070890069,1
33,106,-0.1811406612,0.06349553913,1
33,114,-0.1451908648,0.08242376149,1
33,122,-0.2262012362,0.01152427867,1
33,130,-0.1693480313,-0.009445887059,1
33,138,-0.0173791945,0.003693133593,1
33,146,-0.001980394125,0.03310003877,1
33,154,-0.02875402942,-0.01241242141,1
33,162,-0.03608602285,0.06317132711,1
33,170,-0.1656064987,0.1073446348,1
41,10,-0.2973315716,0.01946230233,1
41,18,-0.1610177457,-0.01176237315,1
41,26,-0.09198967367,-0.07026045024,1
41,34,-0.02727041021,-0.09904633462,1
41,42,0.06281178445,-0.07665500045,1
41,50,-0.003331141546,0.03926882893,1
41,58,-0.04955226928,0.156635344,1
41,66,-0.05842150003,0.09141911566,1
41,74,-0.04973357171,0.04081632197,1
41,82,0.01860681176,0.07739386708,1
41,90,-0.1018776298,0.1488280594,1
41,98,-0.2185146809,0.131381318,1
41,106,-0.2348750532,0.1379815191,1
41,114,-0.1374073029,0.1161598116,1
41,122,-0.1743362993,0.01533558592,1
41,130,-0.174821049,-0.0313369818,1
41,138,-0.0303017199,-0.003226898611,1
41,146,-0.04188409448,0.04142941162,1
41,154,-0.05983117968,0.1106803045,1
41,162,-0.06293743104,0.06462492794,1
41,170,-0.09512089193,0.2198653519,1
49,10,-0.326551944,0.2317060679,1
49,18,-0.1350199282,-0.01948484965,1
49,26,-0.07535083592,-0.2145143747,1
49,34,-0.08538547158,-0.1576415747,1
49,42,-0.009936600924,-0.0941837281,1
49,50,0.01433962956,0.03932160884,1
49,58,-0.115515545,0.1302253008,1
49,66,-0.1855853349,0.226677686,1
49,74,-0.1687994301,0.0636555329,1
49,82,-0.05700857937,0.02822604775,1
49,90,-0.1357418448,0.0772613287,1
49,98,-0.2348992974,0.1370532811,1
49,106,-0.2151345909,0.204924807,1
49,114,-0.2266249061,0.1798609346,1
49,122,-0.2303708196,0.04742856324,1
49,130,-0.2129110694,0.005101436749,1
49,138,-0.1280353367,-0.008241716772,1
49,146,-0.08685606718,0.03471731395,1
49,154,-0.103380248,0.09005690366,1
49,162,-0.1148583218,0.1491957605,1
49,170,-0.02384800464,0.2613223493,1
57,10,-0.2565690875,0.1518744677,1
57,18,-0.1812734753,0.01478581131,1
57,26,-0.1628367752,-0.1659986973,1
57,34,-0.1197973862,-0.1289690733,1
57,42,-0.05872263014,-0.1232869923,1
57,50,-0.1014151275,-0.04535185173,1
57,58,-0.1867044568,0.08231365681,1
57,66,-0.2792362571,0.159332484,1
57,74,-0.1882837713,0.01131011173,1
57,82,-0.1735316217,0.03156331927,1
57,90,-0.3751341105,0.150162667,1
57,98,-0.3456713557,0.1525876522,1
57,106,-0.1071467996,0.07181464136,1
57,114,-0.2866796851,0.2099904865,1
57,122,-0.2378692627,0.1000771523,1
57,130,-0.170958668,-0.0003579966724,1
57,138,-0.186866954,-0.001245129853,1
57,146,-0.14424707,0.009659387171,1
57,154,-0.1884263307,0.08996196091,1
57,162,-0.2613781691,0.1146957055,1
57,170,-0.1082147956,0.06492798775,1
65,10,-0.2222881913,0.0085920766,1
65,18,-0.2609300315,-0.01029261202,1
65,26,-0.2775654793,-0.05138420314,1
65,34,-0.1509018242,-0.04465502501,1
65,42,-0.08090111613,-0.001766294241,1
65,50,-0.1401841342,-0.02329603024,1
65,58,-0.3790007234,-0.0872291103,1
65,66,-0.3684105575,-0.04153138399,1
65,74,-0.2738093436,-0.001782670617,1
65,82,-0.3429828882,0.04372122139,1
65,90,-0.4420436621,0.1117868796,1
65,98,-0.2754157484,0.1131028906,1
65,106,-0.1986301392,-0.007099151611,1
65,114,-0.2805607617,0.08180422336,1
65,122,-0.1102290899,-0.01937066205,1
65,130,-0.111012429,-0.08975026011,1
65,138,-0.1605550945,0.02773211524,1
65,146,-0.1577041,0.12096861,1
65,154,-0.1613766849,0.1399091482,1
65,162,-0.1461662948,0.009340953082,1
65,170,-0.1913635135,-0.07755334675,1
73,10,-0.201281637,-0.01703619957,1
73,18,-0.2895833254,-0.04474173859,1
73,26,-0.06223577261,-0.03294213116,1
73,34,-0.07275612652,-0.06288684905,1
73,42,-0.2572613358,-0.02616530657,1
73,50,-0.3325089812,-0.06151064485,1
73,58,-0.3476799428,-0.1155977547,1
73,66,-0.306874156,-0.04904024303,1
73,74,-0.2821717262,0.06140295789,1
73,82,-0.2638273835,0.2475869954,1
73,90,-0.2340236455,-0.02356013656,1
73,98,-0.1240180284,0.009461946785,1
73,106,-0.1368241012,0.1054606661,1
73,114,-0.225230515,-0.03164904192,1
73,122,-0.1905447841,-0.07448732853,1
73,130,-0.121407792,-0.01619637385,1
73,138,-0.06196926534,0.1155753508,1
73,146,-0.09843372554,0.1277005374,1
73,154,-0.1123697832,0.06903719902,1
73,162,-0.1565515548,0.01546570286,1
73,170,-0.2678391933,-0.1111319661,1
81,10,-0.1681215018,0.1300417334,1
81,18,-0.1327178776,0.03682218865,1
81,26,-0.05107606947,0.03325695172,1
81,34,-0.01381693035,0.02195369452,1
81,42,-0.06959107518,-0.05639399588,1
81,50,-0.1336997002,-0.1383288801,1
81,58,-0.192415297,-0.04999352247,1
81,66,-0.1792372167,0.04729773477,1
81,74,-0.1240816712,0.05198241398,1
81,82,-0.02850875258,0.3071519136,1
81,90,-0.0272976011,0.1036885083,1
81,98,-0.06110809743,0.02335356921,1
81,106,-0.02939993143,0.2015664279,1
81,114,-0.2726311088,-0.02767939866,1
81,122,-0.3743149042,0.009871050715,1
81,130,-0.2601491213,0.09000825882,1
81,138,-0.1056762785,0.1424688995,1
81,146,-0.06280769408,0.05260609835,1
81,154,-0.09735956788,-0.01426508278,1
81,162,-0.1222010106,0.08298141509,1
81,170,-0.2129437327,0.02230733633,1
89,10,-0.3330213428,0.1304613352,1
89,18,-0.0601041317,0.1066539139,1
