PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 1, filenames: A:[1]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[2]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,0.02519777417,0.4188803434,1
9,18,-0.2766670585,0.07288329303,1
9,26,-0.0002356171608,0.0848896727,1
9,34,-0.1607934237,0.1507536918,1
9,42,-0.4169660807,0.2771673799,1
9,50,-0.2877730429,0.1454374641,1
9,58,-0.2639628351,0.09028658271,1
9,66,-0.2466840744,0.0709888339,1
9,74,-0.01833811402,0.03772932291,1
9,82,0.04555022717,0.47668764,1
9,90,-0.1573831886,0.7538552284,1
9,98,-0.2437951863,0.6247878075,1
9,106,-0.1708486676,0.7405033708,1
9,114,-0.2079208195,0.6403181553,1
9,122,-0.2296876013,0.468105495,1
9,130,-0.2285901904,0.4662339091,1
9,138,-0.1834427714,0.543217659,1
9,146,-0.1553489268,0.7759251595,1
9,154,-0.1542465091,0.7221981287,1
9,162,-0.07446399331,0.4074262381,1
9,170,-0.2236541808,0.1723825634,2
17,10,-0.1356702745,0.1310813129,1
17,18,-0.4211962223,0.06823702157,1
17,26,-0.5328345299,0.111678943,1
17,34,-0.4330989122,0.2188912481,1
17,42,-0.3588291407,0.284442246,1
17,50,-0.3158661723,0.2738507986,1
17,58,-0.2361875772,0.2209487259,1
17,66,-0.1468806416,0.4144816995,1
17,74,-0.103832081,0.3475460112,1
17,82,-0.1958560646,0.555131793,1
17,90,-0.3340755105,0.6027266979,1
17,98,-0.3618201017,0.4861629605,1
17,106,-0.4119054675,0.6854439974,1
17,114,-0.3641530871,0.7117443085,1
17,122,-0.3393024802,0.4450699389,1
17,130,-0.5697740316,0.7764879465,1
17,138,-0.4791572094,0.5252344012,1
17,146,-0.3823780119,0.5072213411,1
17,154,-0.3697228134,0.4610790014,1
17,162,-0.339266628,0.4835739732,1
17,170,-0.3728443682,-0.06266111135,1
25,10,-0.3036674261,0.1549923122,1
25,18,-0.286793977,0.09567731619,1
25,26,-0.2794301212,0.1090276688,1
25,34,-0.3444508314,0.2450625002,1
25,42,-0.3011616468,0.1584198922,1
25,50,-0.2132834643,0.1218123883,1
25,58,-0.1360866129,0.4164394736,1
25,66,-0.1152295619,0.6606740952,1
25,74,-0.2200088799,0.5980808139,1
25,82,-0.2819625735,0.4443902075,1
25,90,-0.3824086189,0.4469980896,1
25,98,-0.5213554502,0.4190922976,1
25,106,-0.4371347427,0.3842425346,1
25,114,-0.4251618385,0.5378248692,1
25,122,-0.5062760711,0.4274918735,1
25,130,-0.5953401327,0.3802861273,1
25,138,-0.5498190522,0.3854691386,1
25,146,-0.4617322981,0.3059030473,1
