PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 252, filenames: A:[252]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[253]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,-0.3897332251,-0.0253816545,1
9,18,0.08419771492,0.06166987121,1
9,26,0.3328953385,0.09724709392,1
9,34,0.350069195,0.07046239823,1
9,42,0.1681509018,-0.09250821173,1
9,50,0.08413285762,-0.2046468854,1
9,58,0.058375936,-0.04458221793,1
9,66,0.06493850052,-0.108570613,1
9,74,0.01472718641,-0.002099391073,1
9,82,-0.1206859648,0.0974701196,1
9,90,-0.09361495078,0.03739449382,1
9,98,-0.06566721201,-0.2102704197,1
9,106,-0.04294866323,-0.216261059,1
9,114,-0.0631569773,-0.1567013711,1
9,122,-0.03305870295,0.0685466677,1
9,130,0.01224286854,0.2773062587,1
9,138,0.1072595268,0.06840917468,1
9,146,0.1948994845,-0.1044665352,1
9,154,0.08437991142,-0.09624838084,1
9,162,0.1351136863,-0.02343020029,1
9,170,0.2665875554,0.176117301,1
17,10,-0.2985065877,-0.003508536145,1
17,18,-0.09187354892,-0.01464934275,1
17,26,0.0883801356,0.02760303766,1
17,34,0.0828871876,0.004910952412,1
17,42,0.0396714434,-0.06561470777,1
17,50,0.007592797279,-0.1075760797,1
17,58,-0.06095413119,-0.1578232944,1
17,66,-0.0005683787167,-0.09614499658,1
17,74,0.07682076842,0.05596257001,1
17,82,0.03039851412,0.07183471322,1
17,90,0.009863464162,-0.04977806285,1
17,98,0.02770739421,-0.08100344986,1
17,106,0.08152294159,-0.14347969,1
17,114,0.007085552439,-0.1402095407,1
17,122,-0.01576950774,0.03921561688,1
17,130,-0.02641562186,0.1382002234,1
17,138,0.03068394959,0.05375497788,1
17,146,0.1518340707,-0.0278111212,1
17,154,0.06426393986,-0.07265992463,1
17,162,0.001847989857,-0.08051217347,1
17,170,-0.1651658416,0.1001221687,1
25,10,-0.2902671993,-0.1372638494,1
25,18,-0.07581549138,-0.07187308371,1
25,26,0.05393458158,-0.06646826863,1
25,34,-0.005977679044,-0.0755436942,1
25,42,0.03969261423,-0.1120100617,1
25,50,0.04866652936,-0.04584131017,1
25,58,-0.07677647471,-0.2208056748,1
25,66,-0.05746058375,-0.09033928812,1
25,74,0.04613281786,0.1385824978,1
25,82,0.1391634196,0.09776037186,1
25,90,0.1310341209,-0.05520071834,1
25,98,0.08635281026,0.003886785358,1
25,106,0.1258199662,-0.03716212139,1
25,114,0.1150539815,-0.03417401016,1
25,122,0.01890661567,0.02031479031,1
25,130,0.06608929485,-0.004630031995,1
25,138,0.06865621358,-0.0538475588,1
25,146,0.06006749347,0.0697356686,1
25,154,0.05171542615,0.06303668022,1
25,162,0.03589595109,-0.02513979003,1
25,170,-0.1614282131,-0.003497648984,1
33,10,0.1042554528,-0.1428281665,1
33,18,0.1944401562,0.00608856976,1
33,26,0.03941716999,-0.03818482906,1
33,34,-0.02715536579,-0.05580215156,1
33,42,0.05177031457,0.0577330254,1
33,50,0.07523779571,0.06434112787,1
33,58,0.009471241385,-0.02886521444,1
33,66,-0.03616128117,-0.04140498489,1
33,74,-0.04636016488,-0.06768576801,1
33,82,0.07937370241,-0.04882915318,1
33,90,0.06997194886,-0.01308099553,1
33,98,0.008886925876,0.002966750413,1
33,106,0.2296689451,0.03799671307,1
33,114,0.08727922291,0.06742573529,1
33,122,-0.03214269504,0.04811789468,1
33,130,-0.008032361045,-0.02976984903,1
33,138,-0.006227087229,-0.1358547062,1
33,146,-0.01294392347,-0.1330075562,1
33,154,-0.02974821627,-0.03763024509,1
33,162,0.006584435701,-0.03279830888,1
33,170,-0.05851119757,-0.07503142208,1
41,10,-0.06030085683,0.03075835109,1
41,18,0.2127787471,0.1688464582,1
41,26,0.2226645052,0.02356621809,1
