PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 4, filenames: A:[4]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[5]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,0.3499228954,-0.1561709642,1
9,18,0.006554014981,0.07095105946,1
9,26,-0.04227678478,0.02564692497,1
9,34,-0.2677820921,-0.1312421262,1
9,42,-0.3123046756,-0.2829731703,1
9,50,-0.1067232862,-0.2016198933,1
9,58,0.0173368156,-0.0771221444,1
9,66,0.00209005177,0.01459419727,1
9,74,0.02984508127,0.2717469335,1
9,82,-0.04764219373,0.2673479915,1
9,90,-0.209104687,0.05239595473,1
9,98,-0.2679373026,0.08008980751,1
9,106,-0.2005378604,0.1047522575,1
9,114,-0.147313118,-0.03986939788,1
9,122,-0.04630186409,0.04851906002,1
9,130,0.001240469515,0.2602747381,1
9,138,-0.05196016282,0.2026489377,1
9,146,-0.0745420903,-0.0222889632,1
9,154,-0.114543587,-0.105301559,1
9,162,0.04153928906,0.1589750946,1
9,170,0.009676553309,0.1980025023,2
17,10,0.001946136355,-0.1864101887,1
17,18,-0.08669731021,-0.1650021672,1
17,26,-0.03983026743,-0.1107165366,1
17,34,0.005467608571,-0.1900908351,1
17,42,-0.0765298456,-0.2620282769,1
17,50,-0.08054081351,-0.1366106421,1
17,58,-0.05703193694,-0.005746206269,1
17,66,-0.02567601949,0.1854825467,1
17,74,0.08143784106,0.1982379258,1
17,82,-0.03576667607,0.2185732722,1
17,90,-0.1218387634,0.06843709946,1
17,98,-0.1640908718,0.06106480956,1
17,106,-0.1868888438,0.1310526133,1
17,114,-0.1497767866,0.05670212954,1
17,122,-0.1608042717,0.0969748348,1
17,130,-0.115549393,0.1990581304,1
17,138,0.01127414405,0.2394559085,1
17,146,-0.024969019,0.07247192413,1
17,154,-0.08100003004,0.0220913887,1
17,162,-0.1449037492,0.01511796564,1
17,170,-0.02218618244,0.2370299101,1
25,10,-0.1902220249,-0.1019759998,1
25,18,-0.08527356386,-0.2665010691,1
25,26,0.004880063236,-0.1595950574,1
25,34,0.1301796287,-0.2186691612,1
25,42,0.1059505492,-0.2216228843,1
25,50,-0.06548626721,-0.02862733603,1
25,58,-0.07535208762,0.1106549203,1
25,66,0.05926507711,0.09805390239,1
25,74,0.03635267913,0.02398161963,1
25,82,-0.08068655431,0.05497580022,1
25,90,-0.06920768321,0.0112131983,1
25,98,-0.02832053602,0.02519924939,1
25,106,-0.0487497896,0.2615860105,1
25,114,0.01510631293,0.07984732836,1
25,122,0.007930859923,0.1296418011,1
25,130,-0.1100359559,0.1647672653,1
25,138,-0.07319706678,0.1618246436,1
25,146,-0.001512356102,0.06033892184,1
25,154,-0.08985035121,0.07298262417,1
25,162,-0.1424870789,0.006135419011,1
25,170,-0.1711846292,-0.01391394436,1
33,10,-0.4980877638,-0.1025547758,1
33,18,-0.2329731286,-0.1409340352,1
33,26,-0.1112525612,-0.1001172438,1
33,34,0.03309783712,-0.1127578616,1
33,42,0.02183884382,-0.1695205718,1
33,50,-0.02272015437,-0.1909483373,1
33,58,-0.05059689283,-0.003830082715,1
33,66,-0.07747339457,0.05492545292,1
33,74,-0.01141340286,0.002576760948,1
33,82,-0.02431202307,-0.007686309516,1
33,90,-0.09479015321,0.03065075353,1
33,98,-0.07762061805,-0.005571559072,1
33,106,0.1025097817,0.1389541775,1
33,114,0.08443024755,0.09982317686,1
33,122,0.08000347018,0.07387514412,1
33,130,-0.07329242676,0.05915690958,1
33,138,-0.1617503166,0.07596486062,1
33,146,-0.1444397569,0.1381514519,1
33,154,-0.1493658721,0.1337455958,1
33,162,-0.2003287375,0.07428944111,1
33,170,-0.2524323463,-0.1190774292,1
41,10,-0.4059211314,-0.07178238034,1
41,18,-0.2483753562,0.02836003155,1
41,26,-0.1984573007,0.1649661958,1
41,34,-0.06195294857,0.06802203506,1
41,42,-0.06234334409,-0.05481021106,1
41,50,-0.1537947357,-0.2204280496,1
41,58,-0.2524601519,-0.1427068561,1
41,66,-0.2210056633,0.03231649846,1
41,74,-0.09738764167,0.05488129333,1
41,82,-0.07576842606,-0.1628022641,1
41,90,-0.08916689456,-0.04200451449,1
41,98,-0.08549066633,0.008962926455,1
41,106,-0.1206293702,0.02877710015,1
41,114,-0.1054010317,0.1418865919,1
41,122,-0.03141764551,0.1206914186,1
41,130,-0.07795176655,0.05029628426,1
41,138,-0.2203899026,0.1493197381,1
41,146,-0.1753825396,0.1253723651,1
41,154,-0.1520904601,0.1027701944,1
41,162,-0.1917962432,0.07027304918,1
41,170,-0.01499221101,-0.06042570621,1
49,10,-0.2588300705,-0.09443607926,1
49,18,-0.1259433329,0.0101888217,1
49,26,-0.04536740482,-0.03972041607,1
49,34,0.03785961866,0.03029245883,1
49,42,-0.03300845623,-0.02956731617,1
49,50,-0.2815391123,-0.1386530399,1
49,58,-0.197480917,-0.176078245,1
49,66,-0.01432080567,-0.05141212791,1
49,74,0.08175372332,0.04761689529,1
49,82,-0.02606835961,-0.2119098008,1
49,90,-0.07818302512,-0.1265616417,1
49,98,-0.1352017969,0.002083484083,1
49,106,-0.1544421613,0.06050249934,1
49,114,-0.1653159261,0.112500973,1
49,122,-0.124413982,0.09948819876,1
49,130,-0.0644094944,0.06314875931,1
49,138,-0.1633765399,0.1794527471,1
49,146,-0.2220570445,0.002494335175,1
49,154,-0.2341612279,0.007015019655,1
49,162,-0.1530425996,0.07589458674,1
49,170,0.03173708171,0.1028780341,1
57,10,-0.1258845627,-0.1595169753,1
57,18,0.06936362386,-0.02923352271,1
57,26,-0.04415185004,-0.02284825593,1
57,34,-0.07822161168,-0.003488834947,1
57,42,-0.09084239602,-0.1289330274,1
57,50,-0.1310816705,-0.148922354,1
57,58,-0.03458687663,-0.1180962473,1
57,66,0.0139253512,-0.09959945083,1
57,74,0.01461698115,0.05353330076,1
57,82,-0.004364859313,0.02979288995,1
57,90,-0.03343784809,-0.003485204652,1
57,98,-0.1544313729,0.03757955879,1
57,106,-0.2143241465,0.1330960989,1
57,114,-0.1620188057,0.1235566512,1
57,122,-0.08614900708,0.1402093768,1
57,130,-0.07604645938,0.09424362332,1
57,138,-0.1760384291,0.15523839,1
57,146,-0.30241853,0.100405708,1
57,154,-0.2608887255,-0.01974121667,1
57,162,-0.1494311541,0.06179490685,1
57,170,-0.003175120801,0.2080749869,1
65,10,-0.1295206994,-0.09851719439,1
65,18,-0.06972579658,0.06412754953,1
65,26,-0.1154762655,0.06147523597,1
65,34,-0.02184166759,0.06468246877,1
65,42,-0.05087538809,-0.04356632382,1
65,50,-0.08528771996,-0.1382475793,1
65,58,0.008078161627,-0.2028514892,1
65,66,-0.01884588599,-0.1953626722,1
65,74,-0.1079332083,-0.005137363449,1
65,82,-0.08302817494,0.1203596741,1
65,90,-0.04563513398,-0.05532653257,1
65,98,-0.08703276515,0.02104814351,1
65,106,-0.2577026784,0.08235967159,1
65,114,-0.2164835334,0.02822738141,1
65,122,-0.1043394506,0.1350686699,1
65,130,-0.1175523922,0.121132955,1
65,138,-0.1712878048,0.132945776,1
65,146,-0.2957927287,0.1104705185,1
65,154,-0.3090956211,-0.0436212495,1
65,162,-0.2672936022,0.00857231766,1
65,170,-0.1697267145,0.03942225873,1
73,10,-0.229838565,-0.03367690742,1
73,18,-0.08262781054,0.07904715836,1
73,26,0.03457642719,0.08652225882,1
73,34,-0.1119216904,0.08039534092,1
73,42,-0.1519695371,0.05395518988,1
73,50,-0.05972046405,-0.04031329602,1
73,58,-0.07326471806,-0.2694090903,1
73,66,-0.2664225698,-0.1734004915,1
73,74,-0.09970629215,0.105340071,1
