PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 41, filenames: A:[41]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[42]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,10,0.4600521326,0.01218861341,1
9,18,-0.03279811144,0.07563330233,1
9,26,-0.0960849151,0.1676739156,1
9,34,0.004689138383,0.1440457851,1
9,42,0.1583728194,-0.01490143687,1
9,50,0.2344571203,-0.1792588532,1
9,58,0.226912275,-0.1801637262,1
9,66,0.1650481522,-0.09877221286,1
9,74,0.05215345696,-0.09462033212,1
9,82,-0.003876961768,-0.08997962624,1
9,90,-0.01180911064,-0.04735539854,1
9,98,0.09036210179,-0.2222738415,1
9,106,0.1204532981,-0.2616307139,1
9,114,0.1633646488,-0.1313157231,1
9,122,0.216794908,-0.04305094481,1
9,130,0.140787825,-0.1965836883,1
9,138,-0.07698705792,-0.2010058463,1
9,146,-0.05775395036,-0.1554051638,1
9,154,0.07784095407,-0.3089083731,1
9,162,0.1443549544,-0.02497699112,1
9,170,0.2304383665,0.11093916,2
17,10,0.1567491293,-0.1432633996,1
17,18,0.01868330687,0.09256127477,1
17,26,0.04463208467,0.2466938645,1
17,34,0.09339922667,0.2404014766,1
17,42,0.1436491907,0.1077842116,1
17,50,0.005893580616,-0.08071425557,1
17,58,-0.008614227176,-0.08697552979,1
17,66,0.01023221761,-0.1144497916,1
17,74,0.08466238528,-0.01392228156,1
17,82,0.1878760904,0.03646465763,1
17,90,0.1333450228,-0.04366671667,1
17,98,0.05212008581,-0.09804695845,1
17,106,0.01569132507,-0.0862801671,1
17,114,0.1025151089,-0.06633468717,1
17,122,0.140650183,0.08191960305,1
17,130,-0.0394343026,-0.0497014299,1
17,138,-0.1634957641,-0.1701406986,1
17,146,-0.03169029951,-0.1544401348,1
17,154,-0.02229157835,-0.1996303797,1
17,162,0.07191506028,-0.04632966965,1
17,170,0.3165217936,0.2468553185,1
25,10,-0.07925967872,-0.2016057372,1
25,18,0.009722027928,0.06031123921,1
25,26,0.1512500048,0.2088534832,1
25,34,0.08324342221,0.1342740804,1
25,42,0.06761395931,0.0536608547,1
25,50,-0.000137893483,0.09379151464,1
25,58,0.03966738656,0.03340359777,1
25,66,0.08797676116,0.03003377095,1
25,74,0.118193455,0.006703892723,1
25,82,0.1904453337,-0.0007800981402,1
25,90,0.1741643548,0.06203445047,1
25,98,0.04549566656,0.1066664308,1
25,106,-0.08492350578,0.02749594674,1
25,114,0.0353480354,0.01282140985,1
25,122,-0.01879003644,-0.02914388105,1
