PIVlab, ASCII chart output - 11-Jul-2025
FRAME: 300, filenames: A:[300]FullStack_Pos0034_TgUtrmcherry_K4K8MO-1.avi & B:[301]FullStack_Pos0034_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
9,11,0.008305422962,-0.05735061318,1
9,19,0.06580045819,0.1212566793,1
9,27,0.07286405563,0.2536333799,1
9,35,0.1564033926,0.3325735629,1
9,43,-0.1238686591,0.2148745805,1
9,51,-0.2157188952,-0.02006740123,1
9,59,-0.1744547635,-0.06891490519,1
9,67,-0.1063406169,0.07511442155,1
9,75,0.1304845661,-0.07362270355,1
9,83,0.03195876628,-0.1097298115,1
9,91,-0.1518429369,-0.1663684249,1
9,99,-0.1844457388,-0.3214904666,1
9,107,-0.1403200775,-0.3815305531,1
9,115,-0.01627269387,-0.282322824,1
9,123,0.2169459015,0.06266205013,1
9,131,0.0982696116,0.3861218989,1
9,139,-0.1064284295,0.3526315689,1
9,147,-0.09211608768,0.2173858583,1
9,155,0.0367905423,0.2349025309,1
9,163,0.1982187629,0.3225645423,1
9,171,-0.02729561552,0.2455358505,1
9,179,-0.241811797,0.1889638007,1
9,187,-0.1758202314,0.4193817377,1
9,195,-0.2669644356,0.4848791957,1
9,203,-0.1997491121,0.3517384231,1
9,211,-0.1033724323,0.3283566833,1
9,219,0.26071015,0.4278136492,1
17,11,0.03310035169,0.1877592355,1
17,19,-0.03961840272,0.1697717309,1
17,27,-0.1615463644,0.0651461482,1
17,35,-0.1848513186,0.138324976,1
17,43,-0.4257256687,0.04085670412,1
17,51,-0.1380306631,-0.07382001728,1
17,59,-0.1031929702,-0.1684412211,1
17,67,-0.2083885819,-0.001164515503,1
17,75,0.005074920133,0.04242110252,1
17,83,0.01833272353,-0.001766281202,1
17,91,-0.07692041993,0.03734172508,1
17,99,-0.120900467,-0.1505483687,1
17,107,-0.1877389401,-0.1777801812,1
17,115,-0.1924125552,-0.1086516976,1
17,123,-0.005461640656,0.0006495416164,1
17,131,0.04851335287,0.20258376,1
17,139,0.03561484069,0.2600818872,1
17,147,0.0780519098,0.1989936978,1
17,155,0.09280374646,0.1061343253,1
17,163,0.0317863673,0.1260237098,1
17,171,0.01254066639,0.1343569458,1
17,179,0.08065081388,0.2034617364,1
17,187,0.1336852014,0.3492263556,1
17,195,-0.01600364223,0.438285619,1
17,203,-0.04233273119,0.3609915674,1
17,211,-0.06627582014,0.06619162858,1
17,219,-0.008970882744,0.05719560385,1
25,11,0.07587572932,0.1550660729,1
25,19,-0.3617286384,0.2035688311,1
25,27,-0.545612216,-0.1094105691,1
25,35,-0.3420159519,0.1016923413,1
25,43,-0.09875774384,0.1957286447,1
25,51,-0.02074642479,0.02731324732,1
25,59,-0.03718663752,-0.02834877372,1
25,67,-0.1108741835,0.01108491886,1
25,75,-0.04415022582,0.08944140375,1
25,83,0.1752127111,0.003583490849,1
25,91,-0.07686643302,0.1120358109,1
25,99,-0.1855750233,0.04729998112,1
25,107,-0.2342332006,0.06218399107,1
25,115,-0.3134247959,0.07312910259,1
25,123,-0.1726789922,-0.1066601649,1
25,131,-0.09076271206,0.07828069478,1
25,139,0.02448619157,0.3149393201,1
25,147,0.003675200045,0.1247303784,1
25,155,0.007964558899,0.02657230198,1
25,163,0.08300337195,-0.001399315894,1
25,171,0.04613135755,-0.04623552784,1
25,179,-0.03158069402,-0.001222535968,1
25,187,0.1288883984,0.114689976,1
25,195,0.1995479167,0.2937857509,1
25,203,0.1248166114,0.2856476307,1
25,211,0.007309630513,-0.01188343763,1
25,219,-0.1252394319,-0.06709157676,1
33,11,-0.04186250269,0.1211631149,1
33,19,-0.1896588504,0.2072380483,1
33,27,-0.3569639623,0.01853975654,1
33,35,-0.240656063,0.1111177057,1
33,43,-0.03336390853,0.2636128068,1
33,51,-0.0956210494,0.09899866581,1
33,59,-0.2180235684,-0.03674472123,1
33,67,-0.1419263184,0.0401270017,1
33,75,0.0129975453,0.1440285444,1
33,83,0.07243418694,-0.05464708805,1
33,91,-0.06944779307,0.01103766263,1
33,99,-0.1929726005,0.09887511283,1
33,107,-0.3005297482,-0.005343742669,1
33,115,-0.2844198942,0.03656898439,1
33,123,-0.21319291,-0.05367853492,1
33,131,-0.05044086277,0.03686985373,1
33,139,0.1622393131,0.3147786856,1
33,147,0.1132854521,0.1946794987,1
33,155,0.0494813621,0.1502687484,1
33,163,0.1549135149,0.1573852301,1
33,171,0.1088991389,-0.03500179201,1
33,179,0.01496090926,0.05642956495,1
33,187,0.1132852957,0.09289589524,1
33,195,0.1491096616,0.1478830278,1
33,203,0.1631592214,0.3110280633,1
33,211,0.1044929922,0.2469936907,1
33,219,-0.03562510014,-0.1185253114,1
41,11,0.1180001944,-0.1480757594,1
41,19,0.1887125969,-0.1056027189,1
41,27,-0.005511417985,0.1135053784,1
41,35,-0.1823585331,0.2688740492,1
